,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bent_cigar,2,10,20,predicted,295.18,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",978359.0248567119,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
1,bbob.bent_cigar,2,10,20,predicted,295.18,0,2,,,,"[0.959026476063805, -2.0165276355285293]",7730484.13081327,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
2,bbob.bent_cigar,2,10,20,predicted,295.18,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",22183757.62890271,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
3,bbob.bent_cigar,2,10,20,predicted,295.18,0,4,,,,"[1.3933642242328208, 3.270503439016002]",16101844.668893602,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
4,bbob.bent_cigar,2,10,20,predicted,295.18,0,5,,,,"[-2.543624991465423, -4.935072423787768]",1394147.5198870336,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
5,bbob.bent_cigar,2,10,20,predicted,295.18,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
6,bbob.bent_cigar,2,10,20,predicted,295.18,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",1563524043.500746,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
7,bbob.bent_cigar,2,10,20,predicted,295.18,0,8,,,,"[4.270344553570055, 0.8243443793974414]",42762127.49975354,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
8,bbob.bent_cigar,2,10,20,predicted,295.18,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",310569237.6854836,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
9,bbob.bent_cigar,2,10,20,predicted,295.18,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",31173273.088613044,,,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
10,bbob.bent_cigar,2,10,20,predicted,295.18,0,11,0.5,4.0321228728283165,,"[5.0, -5.0]",38866356.45864985,111807822.04344232,1.124685287475586,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
11,bbob.bent_cigar,2,10,20,predicted,295.18,0,12,0.5,4.0449099844646215,,"[5.0, 5.0]",63859459.53626669,140187082.91065145,1.179443120956421,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
12,bbob.bent_cigar,2,10,20,predicted,295.18,0,13,0.5,4.0116741685060955,,"[-5.0, -3.47092095657005]",15724081.833467485,88566724.0983495,1.2340455055236816,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
13,bbob.bent_cigar,2,10,20,predicted,295.18,0,14,0.5,4.1708975952173795,,"[1.6518715016570107, -5.0]",8633414.482724883,38013384.52978301,1.253875732421875,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
14,bbob.bent_cigar,2,10,20,predicted,295.18,0,15,0.5,4.406859981719082,,"[-2.85840674960764, -2.1552395768056227]",1045193.565739286,10196053.064594716,1.3132476806640625,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
15,bbob.bent_cigar,2,10,20,predicted,295.18,0,16,0.5,4.685852851921636,,"[-5.0, -5.0]",12787718.611132655,32415253.061978742,1.2690176963806152,"[-1.8158535541215324, -0.002738500170147873]",388.83157219585905
