,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",31349747.719188064,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
1,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",28803812.653173544,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
2,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",18103583.579458676,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
3,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",179752597.49580345,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
4,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",7115921.467042966,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
5,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",51612421.5898268,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
6,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",34798649.29707337,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
7,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",25952932.24547065,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
8,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",49983604.32918283,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
9,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",43003309.55942924,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
10,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",3371087.6407135623,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
11,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",9234573.259012789,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
12,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",8353835.104450237,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
13,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",9544352.29831029,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
14,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",23983622.740892578,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
15,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",22698153.877016228,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
16,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",56777109.997940324,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
17,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",44917851.41185963,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
18,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",61569577.783935905,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
19,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",10972890.120720608,,,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
20,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,21,0.5,0.8868759486302291,-2.9907938591246284,"[-0.3841851305425157, -2.6616529144821848, 1.0301536460904486, -1.3084398389454275]",2390171.3800473968,25348551.173196316,1.7169067859649658,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
21,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,22,0.5,1.6728630791372037,-0.5508563177572364,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048,17082374.343477,2.1521389484405518,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
22,bbob.bent_cigar,4,20,40,R2_cv,295.18,0,23,0.5,2.3011322665533727,-23.66486524116958,"[-1.3169302208444236, -2.9328026619515692, -0.914134207177501, -2.935162294187844]",8653927.263187341,15324980.075776462,2.2536239624023438,"[-1.5437052253492378, -2.689187862629318, 1.543056131383648, -2.78894960763563]",544590.675061048
