,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bent_cigar,4,20,40,none,295.18,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",31349747.719188064,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
1,bbob.bent_cigar,4,20,40,none,295.18,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",28803812.653173544,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
2,bbob.bent_cigar,4,20,40,none,295.18,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",18103583.579458676,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
3,bbob.bent_cigar,4,20,40,none,295.18,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",179752597.49580345,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
4,bbob.bent_cigar,4,20,40,none,295.18,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",7115921.467042966,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
5,bbob.bent_cigar,4,20,40,none,295.18,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",51612421.5898268,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
6,bbob.bent_cigar,4,20,40,none,295.18,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",34798649.29707337,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
7,bbob.bent_cigar,4,20,40,none,295.18,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",25952932.24547065,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
8,bbob.bent_cigar,4,20,40,none,295.18,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",49983604.32918283,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
9,bbob.bent_cigar,4,20,40,none,295.18,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",43003309.55942924,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
10,bbob.bent_cigar,4,20,40,none,295.18,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",3371087.6407135623,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
11,bbob.bent_cigar,4,20,40,none,295.18,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",9234573.259012789,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
12,bbob.bent_cigar,4,20,40,none,295.18,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",8353835.104450237,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
13,bbob.bent_cigar,4,20,40,none,295.18,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",9544352.29831029,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
14,bbob.bent_cigar,4,20,40,none,295.18,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",23983622.740892578,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
15,bbob.bent_cigar,4,20,40,none,295.18,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",22698153.877016228,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
16,bbob.bent_cigar,4,20,40,none,295.18,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",56777109.997940324,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
17,bbob.bent_cigar,4,20,40,none,295.18,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",44917851.41185963,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
18,bbob.bent_cigar,4,20,40,none,295.18,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",61569577.783935905,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
19,bbob.bent_cigar,4,20,40,none,295.18,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",10972890.120720608,,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
20,bbob.bent_cigar,4,20,40,none,295.18,0,21,2.5,1.450152897962129,,"[-0.7008744321605306, -2.8827040432973186, 1.5805263747757636, -2.2539641981490313]",1295087.499848573,13991804.275311515,0.3693711757659912,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
21,bbob.bent_cigar,4,20,40,none,295.18,0,22,2.5,1.9747750296769422,,"[-2.569689111225898, -4.501005209563526, 2.259954747348316, -2.8554964780036296]",5666717.524913847,17650600.06124478,0.4302363395690918,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
22,bbob.bent_cigar,4,20,40,none,295.18,0,23,2.5,2.14458528150139,,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029,20578218.772745922,0.31595277786254883,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
23,bbob.bent_cigar,4,20,40,none,295.18,0,24,2.5,2.295780968487384,,"[-4.5568189126937195, 1.7003185666716483, -1.7480297986785749, 3.5338089418248413]",8389925.678392984,17958914.14158764,0.4620211124420166,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
24,bbob.bent_cigar,4,20,40,none,295.18,0,25,2.5,2.369572491305636,,"[-3.6322694860227935, -0.5380114013535229, -1.7437067860420443, -1.0079840402472238]",11169904.721058158,18825657.742483757,0.36256909370422363,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
25,bbob.bent_cigar,4,20,40,none,295.18,0,26,2.5,2.4264199779031626,,"[-4.633758987397954, 2.3689069439722235, 1.6551765933183984, 1.4949949810378103]",16837119.56718316,19075036.523858517,0.3788182735443115,"[-1.9482728154620177, 0.8260800643587101, -0.7337187517340408, 1.609253644503238]",1132180.556320029
