,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",31349747.719188064,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
1,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",28803812.653173544,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
2,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",18103583.579458676,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
3,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",179752597.49580345,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
4,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",7115921.467042966,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
5,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",51612421.5898268,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
6,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",34798649.29707337,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
7,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",25952932.24547065,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
8,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",49983604.32918283,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
9,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",43003309.55942924,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
10,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",3371087.6407135623,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
11,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",9234573.259012789,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
12,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",8353835.104450237,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
13,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",9544352.29831029,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
14,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",23983622.740892578,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
15,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",22698153.877016228,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
16,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",56777109.997940324,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
17,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",44917851.41185963,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
18,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",61569577.783935905,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
19,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",10972890.120720608,,,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
20,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,21,3.0,1.4868575524327807,13.801626142909997,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906,13002665.058605697,0.9985718727111816,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
21,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,22,1.0,1.9796902343106202,11.48318399537653,"[-2.3520562555532467, -1.7760270391501387, -0.13575180154792588, -2.4021406139344994]",4278646.540590723,17713019.663756404,1.2478821277618408,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
22,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,23,1.0,2.3159441617958856,12.717789172174847,"[-2.3515577174961724, -4.646528989434069, 1.9750906163001258, -3.701094093188366]",7786525.465974845,16348629.639214361,1.0475382804870605,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
23,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,24,0.5,2.501998012553169,13.493248901333798,"[-0.9095626463495339, -3.9291439224260003, -0.9486013426992432, -3.262698478209263]",11574010.993879685,14323694.224289153,0.8083095550537109,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
24,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,25,0.5,2.7515922651770013,13.662384986634795,"[-2.5864758746199135, -2.1430124882882096, 1.4847461235212291, -5.0]",6859632.795547905,14885519.796747867,0.9073059558868408,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
25,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,26,0.5,3.0531568079502858,14.520086244711718,"[-4.445795139695752, 3.805144656139507, -4.3376787945554405, 5.0]",14103174.435494635,22096145.225673124,0.740424394607544,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
26,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,27,0.5,3.127297398417647,14.83656232446765,"[-5.0, -4.022512132724511, -1.3773726942997602, -5.0]",525077940.3819512,20797243.858872905,0.7776949405670166,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
27,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,28,1.0,2.528852044078808,20.151036039043927,"[-0.8047484471899544, -0.555521195026194, 4.219458901477109, -4.831952634249856]",29267592.466638263,21468958.422068704,1.3576879501342773,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
28,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,29,0.5,1.9492397732540137,19.729856720688566,"[-1.738065900348112, 0.8931382432600018, -0.1596702154945309, 0.7529879049431585]",2110636.412487847,28768532.974800613,1.1866192817687988,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
29,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,30,0.5,2.1318608234138794,19.097749493874694,"[-4.141328833066013, 1.242217709704145, -0.7559425392481025, 3.8371702117609807]",5489852.990852127,28248456.82475526,0.9970169067382812,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
30,bbob.bent_cigar,4,20,40,vm_angles_ext,295.18,0,31,0.5,2.2539402536112925,19.773459340974505,"[-3.8891708428789307, 2.9178965416596014, 2.540077033895612, 1.4062609662074348]",19802148.074642237,29579858.428345807,0.8895490169525146,"[-0.8173818955838795, -2.8323650339024384, 1.6215879056762859, -2.285522469031654]",1029604.9899470906
