,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",186.37029156903702,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
1,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,2,,,,"[0.959026476063805, -2.0165276355285293]",107.60359064595582,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
2,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",55.16641842859906,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
3,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,4,,,,"[1.3933642242328208, 3.270503439016002]",108.08426627546937,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
4,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,5,,,,"[-2.543624991465423, -4.935072423787768]",362.3542898551839,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
5,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",69.11249641235369,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
6,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",292.0284610270475,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
7,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,8,,,,"[4.270344553570055, 0.8243443793974414]",177.30172013335695,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
8,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",102.44254871632113,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
9,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",104.7369893640552,,,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
10,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,11,0.5,1.6815932498670991,-571.7745784086526,"[0.5754034244393912, 0.8081363552990009]",49.942886794056434,107.02986284703228,1.633223533630371,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
11,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,12,1.5,2.538115171257192,-1.2454173611519093,"[5.0, -5.0]",604.7957061307721,138.5031771060859,1.5820286273956299,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
12,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,13,0.5,3.508668521450278,-2107.888822350377,"[5.0, 5.0]",530.940856932907,165.99333234923458,1.6931915283203125,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
13,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,14,1.0,3.435056627213421,-28.438596984208196,"[-5.0, -1.2558872406353028]",127.27180990469863,159.47709241397692,1.8522968292236328,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
14,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,15,1.5,3.4513423001687213,-0.021391257475189707,"[-1.3662306577128076, 2.303610209350281]",111.26827347830098,110.87414115528772,1.7639167308807373,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
15,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,16,2.0,3.4772518531909853,0.11432600945093226,"[2.2403325191283145, -0.07801617438140072]",41.213380504237946,34.56397162093009,1.9978909492492676,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
16,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,17,2.5,3.542708374906956,-1.0740418435298713,"[-3.5328798241733543, 0.2623851524714693]",91.26891040098064,74.88858258868484,2.024078369140625,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
17,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,18,0.5,4.689930230301206,-1.9916470499302978,"[0.0014731778353961147, -0.4633805743297768]",46.002700537922365,66.0722842237723,2.0627236366271973,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
18,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,19,1.0,4.70633303328011,-0.30013445072040607,"[1.7469585824612224, 1.0413920164052088]",46.47069872963534,34.35149669907565,2.613614320755005,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
19,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,20,3.0,3.4832547192694463,0.08433132790765618,"[-1.984714176288874, -1.5062831731046336]",101.20389469040893,104.34684328220322,3.0966930389404297,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
20,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,21,3.0,3.545221441253739,0.1979318542705989,"[1.2850773690482213, -0.41829489743211246]",47.58728843608699,44.04417242110054,3.4303793907165527,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
21,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,22,1.5,4.662676724198782,0.3583688992353477,"[0.7951187930511185, 2.038034799778014]",78.52593347417145,55.57431048235841,3.288104295730591,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
22,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,23,2.0,4.159810934917943,0.2812408184041465,"[-0.6093255391155287, 0.5544664769377173]",54.830018965870465,52.71695527797894,3.8137269020080566,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
23,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,24,2.5,3.8929883100162685,0.3578434368135775,"[2.4657851260944375, -0.9655992873931831]",61.9252702363579,52.73191865069889,3.5131642818450928,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
24,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,25,2.5,3.899845837474861,0.21723256880934044,"[2.5592201939648667, 0.7870644610879385]",41.451542852789615,50.167561022349346,3.86232852935791,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
25,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,26,2.0,4.29460751291049,0.22474045852541563,"[2.977126820713867, -0.1344317898974379]",39.82642294284707,51.96904270741962,3.949810028076172,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
26,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,27,2.0,4.237432687997224,0.24940255896190058,"[0.559063764327574, 0.04471006540103358]",65.67585830600036,41.60842555524944,4.393140077590942,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
27,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,28,1.5,4.33200327994565,-0.08398601152000942,"[-0.6403823885199657, -1.1365712219539805]",90.14799647158742,53.53605154844159,4.517972946166992,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
28,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,29,1.0,5.349278458361197,0.14127089420436598,"[-2.360364604895605, 1.1484828825416633]",76.34988749110065,88.10371558166781,4.474797964096069,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
29,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,0,30,0.5,7.117724445720935,0.1413341893804358,"[1.5953395748038712, 0.33358215878157904]",55.57170179733136,42.11726365631864,4.692367076873779,"[2.977126820713867, -0.1344317898974379]",39.82642294284707
30,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,1,,,,"[3.488178375299743, 2.0495363036740644]",71.38646598631911,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
31,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,2,,,,"[4.855840387280367, 0.051350552862755805]",292.7779629453119,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
32,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",171.35990968990419,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
33,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",61.168653499394864,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
34,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,5,,,,"[-4.54959368767306, -4.027559113243068]",298.03307594745036,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
35,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,6,,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
36,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,7,,,,"[2.670268283500908, -3.788428703428404]",242.22488263383693,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
37,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,8,,,,"[0.6968051707083553, -2.4534978894806514]",125.86381012762914,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
38,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,9,,,,"[-3.1340416972471647, -1.4031129864471295]",95.76123758548609,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
39,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,10,,,,"[-1.2034552406761496, 4.73768665955815]",260.3484660003737,,,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
40,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,11,inf,1.6675101253373856,-0.21069990573182767,"[2.380644439925619, 3.583014055363147]",141.75752662780872,87.76010984750106,1.3300786018371582,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
41,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,12,3.0,1.4488353501784568,-3.116183651158273,"[0.9880972059810098, -0.08628192031674775]",47.86632188248409,78.65312997606347,1.3933355808258057,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
42,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,13,3.0,1.8764520243569716,0.03968944945184447,"[-4.0197628799042455, 0.9425476573105929]",95.74558146078367,117.99763900118498,1.6209735870361328,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
43,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,14,inf,1.8727800601385296,-0.5243466817273612,"[-5.0, 5.0]",303.9709848319963,146.7450868069571,1.501549243927002,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
44,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,15,1.0,2.3059343036025055,0.16329273459989527,"[-0.5482704144652091, 1.266087013549679]",65.5509032877066,70.24422330963407,1.9273006916046143,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
45,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,16,1.0,2.664163354019524,0.23682449244756826,"[4.970078955092761, 4.973106640340486]",526.5504504810067,152.59545571172154,2.021237373352051,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
46,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,17,inf,2.0821756703835965,0.20987268947139767,"[-0.9897788129210401, -4.9814298489744635]",337.85174246296367,196.17374666286503,2.044464588165283,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
47,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,18,2.0,2.7876624832885892,0.32735285767763017,"[-2.347582611394239, 0.5578637755748663]",76.66601101391757,63.19943650669195,2.1742441654205322,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
48,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,19,1.5,3.119513428940379,0.3483248307146259,"[2.44632771809852, 1.030040125946549]",40.7913556945506,44.53100053670593,2.0275046825408936,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
49,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,20,1.0,3.6719287223897776,0.4416294599519741,"[2.1999758966392875, 2.0745202850765527]",56.662538950096064,37.56794852791134,2.6763761043548584,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
50,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,21,1.0,3.82100902166775,0.4500742813353412,"[-4.965566292869489, -0.4463474305818407]",101.27312305269054,124.30789504688566,2.9078502655029297,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
51,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,22,1.0,3.8908301104657035,0.31569611899309236,"[0.40842800352868613, 0.6747809043496581]",57.3702050724561,42.30535359766803,3.0210914611816406,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
52,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,23,1.5,3.5170810767302556,0.3874914024103514,"[2.0681238525761194, -0.5886431975115126]",57.17282805688461,83.15848066459017,2.828552484512329,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
53,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,24,1.0,4.136462947536812,0.19836514400502633,"[1.6930817623675043, 0.5587575445197995]",54.47606671100603,34.929231772982305,3.351311206817627,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
54,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,25,1.5,3.527850062331052,0.27709062855503397,"[0.4823337493374223, 2.467977536002072]",98.09422693487545,76.61658759088377,3.2969322204589844,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
55,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,26,1.0,4.225735755666947,0.3525495039406601,"[0.41921463436589507, -0.9694884524956925]",67.3864296790093,60.508534282810686,3.6762499809265137,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
56,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,27,1.0,4.322862969852182,0.31288193285249444,"[-2.0342320475178477, -0.7574681357114565]",69.41291345754549,74.30193574408547,3.809136390686035,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
57,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,28,1.0,4.414344932047253,0.26486435086080296,"[-3.315002980225701, -0.2569104170471572]",66.93982010518312,74.34632372256256,3.9062740802764893,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
58,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,29,1.0,4.493319400547603,0.22686162730583295,"[2.83155336457558, 1.5812984391780882]",57.60517112146,43.7162278787513,4.017660140991211,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
59,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,1,30,1.0,4.502780675379828,0.24840817285108327,"[1.8828806221459018, 1.3624381292564003]",65.78842986675072,38.43044433924415,4.207946300506592,"[1.246486891325194, 1.4618566867807221]",38.416630167964996
60,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,1,,,,"[0.7383878657506839, 2.7015088565858765]",118.33310009158336,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
61,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,2,,,,"[-0.8142257405942805, -3.091915942135097]",170.26472239827413,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
62,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,3,,,,"[3.3998994740343456, 4.271439473188206]",174.3217893622572,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
63,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,4,,,,"[1.8120989266333964, 1.9448533726669321]",83.4963994687907,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
64,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,5,,,,"[-1.274969367906038, -0.6574330148755925]",85.76001374319509,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
65,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,6,,,,"[-3.562265662780428, 0.8499377366946632]",83.45134406312374,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
66,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,7,,,,"[2.5673692091952125, -1.66929729857452]",98.03965563486238,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
67,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,8,,,,"[-2.4227846732701277, -2.6331843992741164]",177.0523909313683,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
68,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,9,,,,"[4.032564047506323, 3.3169351776903753]",174.44448251096645,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
69,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,10,,,,"[-4.3916248330800265, -4.187252569720098]",312.0210148028334,,,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
70,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,11,inf,2.332114661648206,-519.0876582934773,"[-5.0, 4.6070723132315505]",258.93334162571404,138.66987552336204,1.583247423171997,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
71,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,12,inf,2.367528183095946,-206.62709279089927,"[5.0, -5.0]",604.7957061307721,152.33297965463115,1.6132307052612305,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
72,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,13,inf,3.0095493418871766,-564.3410932689046,"[-5.0, -0.352979452309429]",108.83385571533714,106.36588892827024,1.8831000328063965,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
73,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,14,inf,3.081906627570784,-40.05956114839101,"[4.670200937500423, 0.019351021692257518]",263.90241893117957,130.31212335138505,1.9318428039550781,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
74,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,15,3.0,3.377655299208293,-200.69705277673074,"[1.1320551731115231, -0.284729676713099]",35.98449399578293,27.24925160681414,2.0828399658203125,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
75,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,16,inf,2.8768032213069037,-59.887459480696826,"[1.1000259863460522, -1.275437831020125]",66.82563364710681,44.119901745812,2.0211050510406494,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
76,bbob.bueche_rastrigin,2,10,20,R2_cv,20.91,2,17,inf,2.5595621839588514,-13.185282149674666,"[-1.5991958213300668, 5.0]",274.2982800912977,225.54652845369353,2.6197783946990967,"[1.1320551731115231, -0.284729676713099]",35.98449399578293
