,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",254.00313299886471,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
1,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",247.45063711981888,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
2,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",348.72840499384347,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
3,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",3334.8297497448866,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
4,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",332.79528349993114,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
5,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",340.3855812306637,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
6,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",207.27264761365427,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
7,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",217.35302514663897,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
8,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",410.6017369086911,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
9,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",388.7608276481723,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
10,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",136.74329451931018,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
11,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",348.52927494541467,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
12,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",577.0477637361555,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
13,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",228.51131282449074,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
14,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",2814.0208811200264,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
15,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",178.7411823809325,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
16,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",318.94806594469475,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
17,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",1466.5844281222805,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
18,bbob.bueche_rastrigin,4,20,40,suitability_ext,20.91,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",214.70297046535245,,,"[1.234920241544084, 2.380040308012383, 0.5597785827218621, 1.1287738946546382]",83.72079963917787
