,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.different_powers,2,10,20,R2_cv,-57.9,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",80.89248494989718,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
1,bbob.different_powers,2,10,20,R2_cv,-57.9,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-25.971664826837674,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
2,bbob.different_powers,2,10,20,R2_cv,-57.9,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-56.68365146513035,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
3,bbob.different_powers,2,10,20,R2_cv,-57.9,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-55.263017489791075,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
4,bbob.different_powers,2,10,20,R2_cv,-57.9,0,5,,,,"[-2.543624991465423, -4.935072423787768]",391.0876564901607,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
5,bbob.different_powers,2,10,20,R2_cv,-57.9,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",38.905787751124016,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
6,bbob.different_powers,2,10,20,R2_cv,-57.9,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2.5495577968359413,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
7,bbob.different_powers,2,10,20,R2_cv,-57.9,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-56.254659139733405,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
8,bbob.different_powers,2,10,20,R2_cv,-57.9,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",219.5061456644875,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
9,bbob.different_powers,2,10,20,R2_cv,-57.9,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-55.313738218763305,,,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
10,bbob.different_powers,2,10,20,R2_cv,-57.9,0,11,1.5,4.078993159670409,-1106.646834407348,"[5.0, 5.0]",-2.7554365302116324,-9.981353655310812,1.7688724994659424,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
11,bbob.different_powers,2,10,20,R2_cv,-57.9,0,12,2.5,3.563385166907109,-3.6458807716899733,"[5.0, -5.0]",-51.403807848908166,9.641025227891063,1.7239243984222412,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
12,bbob.different_powers,2,10,20,R2_cv,-57.9,0,13,inf,2.610651768558534,-1.5409471997458781,"[2.410555716380548, -4.918050482150123]",-20.332922126517488,-20.24751500620262,1.9070863723754883,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
13,bbob.different_powers,2,10,20,R2_cv,-57.9,0,14,inf,2.700538556906417,-1.428005845149227,"[-1.0952847397870338, 5.0]",-51.56842829128699,-39.07711249512293,1.8448455333709717,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
14,bbob.different_powers,2,10,20,R2_cv,-57.9,0,15,3.0,3.804936375037692,0.2652890514883963,"[5.0, -2.7110016189495636]",-53.554770809152004,-57.67687538706642,2.279935121536255,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
15,bbob.different_powers,2,10,20,R2_cv,-57.9,0,16,3.0,3.9870250770984064,0.4202596199758461,"[2.0155884569406735, 5.0]",-53.67787595825469,-38.264098051116086,2.1729979515075684,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
16,bbob.different_powers,2,10,20,R2_cv,-57.9,0,17,3.0,4.08115761871451,-27.109841645203197,"[0.5653701062514667, 0.9445289280727057]",-49.188983621122475,-47.09887940414923,2.276811361312866,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
17,bbob.different_powers,2,10,20,R2_cv,-57.9,0,18,1.5,4.9942436711310725,-3.3845735338510776,"[5.0, 2.4830315752288232]",-41.049172096414594,-33.23674225724789,2.245927333831787,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
18,bbob.different_powers,2,10,20,R2_cv,-57.9,0,19,3.0,4.342906544651885,-0.1032616799047033,"[5.0, -0.6348768151194815]",-55.14080068179788,-54.68172902912139,2.6177525520324707,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
19,bbob.different_powers,2,10,20,R2_cv,-57.9,0,20,3.0,4.463739309371287,0.4294425748036309,"[0.3458591256368271, 4.999990120313898]",-53.241863782217195,-60.2186351258967,2.6117498874664307,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
20,bbob.different_powers,2,10,20,R2_cv,-57.9,0,21,3.0,4.51303374475937,0.3708922192017057,"[3.6314470472992473, -3.6077708078444695]",-51.68508994772947,-52.65116437009901,2.8546388149261475,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
21,bbob.different_powers,2,10,20,R2_cv,-57.9,0,22,1.5,5.447218106741732,-2.5477131506113997,"[2.321966724736256, 0.029869308232689542]",-56.771516269221785,-56.10674687815251,2.6597273349761963,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
22,bbob.different_powers,2,10,20,R2_cv,-57.9,0,23,1.0,6.156362514158613,-0.6769172037921595,"[-0.44513455299543897, 3.016554457315348]",-50.18131604084023,-39.156450870791254,2.992563486099243,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
23,bbob.different_powers,2,10,20,R2_cv,-57.9,0,24,1.5,5.613495417135523,-1.2343969983585965,"[3.226172031604386, 3.3662684267053766]",-54.31717621855046,-46.90905037056153,2.969581365585327,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
24,bbob.different_powers,2,10,20,R2_cv,-57.9,0,25,3.0,4.742424486385421,-0.6306127334737441,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492,-59.104586759133184,3.2614989280700684,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
25,bbob.different_powers,2,10,20,R2_cv,-57.9,0,26,2.5,5.039838141220699,-0.27519367551414964,"[3.6543780289883725, -0.1796046922497554]",-56.4205321267077,-58.238285373317964,3.2060203552246094,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
26,bbob.different_powers,2,10,20,R2_cv,-57.9,0,27,3.0,4.845010722395686,-0.09606831664087068,"[3.5603954360215617, 2.1390447409336923]",-56.3013198961031,-56.27050111156946,4.133468389511108,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
27,bbob.different_powers,2,10,20,R2_cv,-57.9,0,28,3.0,4.9047978362763,-0.14111108607411377,"[4.052136698024768, -4.9676933012244575]",-48.58750642790957,-48.548110325645666,4.334540843963623,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
28,bbob.different_powers,2,10,20,R2_cv,-57.9,0,29,inf,3.0709359051348155,-0.4125392789174252,"[-0.4823661909264443, 4.168805294051621]",-52.84090717213222,-55.36880826290562,4.060271739959717,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
29,bbob.different_powers,2,10,20,R2_cv,-57.9,0,30,inf,3.0478407697408776,-0.0417787433701093,"[5.0, 0.5505840029676147]",-53.45846861284851,-55.69657486458121,4.424492359161377,"[3.117796460482546, 1.0568023193494511]",-57.76030112150492
30,bbob.different_powers,2,10,20,R2_cv,-57.9,1,1,,,,"[3.488178375299743, 2.0495363036740644]",-56.666785853463786,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
31,bbob.different_powers,2,10,20,R2_cv,-57.9,1,2,,,,"[4.855840387280367, 0.051350552862755805]",-55.23210787284587,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
32,bbob.different_powers,2,10,20,R2_cv,-57.9,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",-23.011782099919266,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
33,bbob.different_powers,2,10,20,R2_cv,-57.9,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",2.9100688229231437,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
34,bbob.different_powers,2,10,20,R2_cv,-57.9,1,5,,,,"[-4.54959368767306, -4.027559113243068]",660.1471275642111,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
35,bbob.different_powers,2,10,20,R2_cv,-57.9,1,6,,,,"[1.246486891325194, 1.4618566867807221]",-55.81322785458409,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
36,bbob.different_powers,2,10,20,R2_cv,-57.9,1,7,,,,"[2.670268283500908, -3.788428703428404]",-40.69415890234187,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
37,bbob.different_powers,2,10,20,R2_cv,-57.9,1,8,,,,"[0.6968051707083553, -2.4534978894806514]",-10.636704647851275,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
38,bbob.different_powers,2,10,20,R2_cv,-57.9,1,9,,,,"[-3.1340416972471647, -1.4031129864471295]",207.80879790795146,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
39,bbob.different_powers,2,10,20,R2_cv,-57.9,1,10,,,,"[-1.2034552406761496, 4.73768665955815]",-50.62458747100313,,,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
40,bbob.different_powers,2,10,20,R2_cv,-57.9,1,11,1.5,5.581204538636154,-98.24796888149487,"[5.0, 5.0]",-2.7554365302116324,-22.179507947212166,1.673004150390625,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
41,bbob.different_powers,2,10,20,R2_cv,-57.9,1,12,3.0,4.961990233768949,0.10223296020184905,"[-5.0, 5.0]",59.53854888665048,16.37521845619733,1.9611973762512207,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
42,bbob.different_powers,2,10,20,R2_cv,-57.9,1,13,inf,3.9468049833898853,-6.249341408877628,"[1.917590091908824, 5.0]",-53.76594134069274,-64.6837619912991,1.8591663837432861,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
43,bbob.different_powers,2,10,20,R2_cv,-57.9,1,14,inf,4.068299493328376,0.4156449310674601,"[5.0, -5.0]",-51.403807848908166,3.3933866091104505,2.074768304824829,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
44,bbob.different_powers,2,10,20,R2_cv,-57.9,1,15,2.0,5.5954307471371125,-49.245039046987635,"[5.0, -2.593938051640631]",-53.65660485106855,-68.45760272321691,2.3556063175201416,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
45,bbob.different_powers,2,10,20,R2_cv,-57.9,1,16,2.0,5.709160097048446,-39.643769940773296,"[2.682496957192684, -0.9431647673751943]",-55.66608989315684,-72.18808188994731,2.255091905593872,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
46,bbob.different_powers,2,10,20,R2_cv,-57.9,1,17,1.5,6.142993950617972,-19.721486849519152,"[0.33943236048592157, 3.380015119432554]",-54.450098192793845,-63.47729439932313,2.2694098949432373,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
47,bbob.different_powers,2,10,20,R2_cv,-57.9,1,18,0.5,7.6824067832962815,-2.8103413759934623,"[5.0, 2.3044365547206227]",-42.727916273111376,-40.46290307666564,2.4881112575531006,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
48,bbob.different_powers,2,10,20,R2_cv,-57.9,1,19,2.5,5.7516990682849976,-18.210334328039426,"[0.3573481665527676, 5.0]",-53.24752678839925,-61.07066519517511,2.3468708992004395,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
49,bbob.different_powers,2,10,20,R2_cv,-57.9,1,20,1.5,6.499335516563606,-20.7788997304453,"[2.2938197737734, 3.3279413619365514]",-55.64376854664254,-56.98410839955731,2.5338945388793945,"[2.9689342014533544, 0.634804747173211]",-57.467063014669975
