,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.different_powers,2,10,20,predicted,-57.9,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",80.89248494989718,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
1,bbob.different_powers,2,10,20,predicted,-57.9,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-25.971664826837674,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
2,bbob.different_powers,2,10,20,predicted,-57.9,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-56.68365146513035,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
3,bbob.different_powers,2,10,20,predicted,-57.9,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-55.263017489791075,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
4,bbob.different_powers,2,10,20,predicted,-57.9,0,5,,,,"[-2.543624991465423, -4.935072423787768]",391.0876564901607,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
5,bbob.different_powers,2,10,20,predicted,-57.9,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",38.905787751124016,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
6,bbob.different_powers,2,10,20,predicted,-57.9,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2.5495577968359413,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
7,bbob.different_powers,2,10,20,predicted,-57.9,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-56.254659139733405,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
8,bbob.different_powers,2,10,20,predicted,-57.9,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",219.5061456644875,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
9,bbob.different_powers,2,10,20,predicted,-57.9,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-55.313738218763305,,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
10,bbob.different_powers,2,10,20,predicted,-57.9,0,11,0.5,4.953598150393023,,"[5.0, 5.0]",-2.7554365302116324,-16.38596548976888,1.1849753856658936,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
11,bbob.different_powers,2,10,20,predicted,-57.9,0,12,0.5,4.886618532359218,,"[5.0, -4.781125095910858]",-51.66347220346602,19.96383897923574,1.2168395519256592,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
12,bbob.different_powers,2,10,20,predicted,-57.9,0,13,0.5,4.908247019173258,,"[-0.07479325292541493, 5.0]",-53.02913909181859,-18.629086950771843,1.3149287700653076,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
13,bbob.different_powers,2,10,20,predicted,-57.9,0,14,0.5,5.360049674817616,,"[5.0, -2.5336737945435246]",-53.709028904581274,-49.758936874394614,1.295168399810791,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
14,bbob.different_powers,2,10,20,predicted,-57.9,0,15,0.5,5.798668276657064,,"[2.274732151259849, 5.0]",-53.16185998432479,-38.940733573147,1.3439674377441406,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
15,bbob.different_powers,2,10,20,predicted,-57.9,0,16,0.5,6.156748172352091,,"[1.994808808406461, 0.11463680325723248]",-56.04530205941696,-49.71325810101064,1.344564437866211,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
16,bbob.different_powers,2,10,20,predicted,-57.9,0,17,0.5,6.506336904867427,,"[5.0, 2.434941928717761]",-41.512899862924264,-37.82455238272021,1.2585575580596924,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
17,bbob.different_powers,2,10,20,predicted,-57.9,0,18,0.5,6.738234198389104,,"[5.0, -0.5571559632805548]",-55.15019911891491,-55.03411415223691,1.2482433319091797,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
18,bbob.different_powers,2,10,20,predicted,-57.9,0,19,0.5,6.9998779618486875,,"[0.44432106202384747, 1.705871154061502]",-51.97291427626518,-35.97845610626273,1.3240303993225098,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
19,bbob.different_powers,2,10,20,predicted,-57.9,0,20,0.5,7.20429467641073,,"[3.3238996864100763, -3.3615586974006764]",-50.95936158994125,-32.13134275196888,1.322721004486084,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
20,bbob.different_powers,2,10,20,predicted,-57.9,0,21,0.5,7.3351505312148735,,"[3.214800818686526, 3.251644756158443]",-54.71040993252155,-47.28028655011053,1.3500041961669922,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
21,bbob.different_powers,2,10,20,predicted,-57.9,0,22,0.5,7.517149970894728,,"[3.2529230949654444, -0.000736981641016209]",-56.774120379151356,-58.68964590207471,1.3419756889343262,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
22,bbob.different_powers,2,10,20,predicted,-57.9,0,23,0.5,7.701098066700702,,"[-0.23098132738048083, 3.3794366449382753]",-52.79481660695782,-39.426449031048854,1.3088734149932861,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
23,bbob.different_powers,2,10,20,predicted,-57.9,0,24,0.5,7.828921496109136,,"[1.0922202657320403, 5.0]",-53.609478999823196,-55.17017461635617,1.331101655960083,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
24,bbob.different_powers,2,10,20,predicted,-57.9,0,25,0.5,7.970848231775796,,"[3.272541661669739, 1.5735791164457702]",-57.57213963877,-56.89169120441976,1.3914587497711182,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
25,bbob.different_powers,2,10,20,predicted,-57.9,0,26,0.5,8.114767770451026,,"[2.4234983440259272, -1.3947128677177045]",-53.43987787469152,-51.159093307383976,1.3146426677703857,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
26,bbob.different_powers,2,10,20,predicted,-57.9,0,27,0.5,8.234742870061444,,"[5.0, -3.6412034348573123]",-52.7447021285134,-54.767948058683075,1.361046314239502,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
27,bbob.different_powers,2,10,20,predicted,-57.9,0,28,0.5,8.34064839993606,,"[-1.4722829858920885, 5.0]",-49.66462814978901,-32.3134463127455,1.4005672931671143,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
28,bbob.different_powers,2,10,20,predicted,-57.9,0,29,0.5,8.39317109719709,,"[1.5276547396954703, 1.1330423875039863]",-56.31596269855575,-55.768722349271215,1.3883869647979736,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
29,bbob.different_powers,2,10,20,predicted,-57.9,0,30,0.5,8.497073256736124,,"[4.968649210054348, -1.588587997046873]",-54.54338873437513,-55.24419533402629,1.4070014953613281,"[3.272541661669739, 1.5735791164457702]",-57.57213963877
30,bbob.different_powers,2,10,20,predicted,-57.9,1,1,,,,"[3.488178375299743, 2.0495363036740644]",-56.666785853463786,,,"[2.8139222623722433, 0.7033296160357454]",-57.602960975341354
31,bbob.different_powers,2,10,20,predicted,-57.9,1,2,,,,"[4.855840387280367, 0.051350552862755805]",-55.23210787284587,,,"[2.8139222623722433, 0.7033296160357454]",-57.602960975341354
32,bbob.different_powers,2,10,20,predicted,-57.9,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",-23.011782099919266,,,"[2.8139222623722433, 0.7033296160357454]",-57.602960975341354
33,bbob.different_powers,2,10,20,predicted,-57.9,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",2.9100688229231437,,,"[2.8139222623722433, 0.7033296160357454]",-57.602960975341354
34,bbob.different_powers,2,10,20,predicted,-57.9,1,5,,,,"[-4.54959368767306, -4.027559113243068]",660.1471275642111,,,"[2.8139222623722433, 0.7033296160357454]",-57.602960975341354
