,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",80.89248494989718,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
1,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-25.971664826837674,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
2,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-56.68365146513035,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
3,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-55.263017489791075,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
4,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,5,,,,"[-2.543624991465423, -4.935072423787768]",391.0876564901607,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
5,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",38.905787751124016,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
6,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2.5495577968359413,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
7,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-56.254659139733405,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
8,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",219.5061456644875,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
9,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-55.313738218763305,,,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
10,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,11,0.5,4.953598150393023,0.9609929078014184,"[5.0, 5.0]",-2.7554365302116324,-16.38596548976888,0.41568899154663086,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
11,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,12,0.5,4.886618532359218,0.9692982456140351,"[5.0, -4.781125095910858]",-51.66347220346602,19.96383897923574,0.49407458305358887,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
12,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,13,0.5,4.908247019173258,0.9557902973395931,"[-0.07479325292541493, 5.0]",-53.02913909181859,-18.629086950771843,0.4952681064605713,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
13,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,14,0.5,5.360049674817616,0.9438652766639936,"[5.0, -2.5336737945435246]",-53.709028904581274,-49.758936874394614,0.4967625141143799,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
14,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,15,0.5,5.798668276657064,0.9467704607616242,"[2.274732151259849, 5.0]",-53.16185998432479,-38.940733573147,0.4859333038330078,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
15,bbob.different_powers,2,10,20,suitability_ext,-57.9,0,16,0.5,6.156748172352091,0.9352750809061489,"[1.994808808406461, 0.11463680325723248]",-56.04530205941696,-49.71325810101064,0.585989236831665,"[2.473878157756413, 0.9742054467802462]",-57.78060679679886
