,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.different_powers,8,40,80,none,-57.9,0,1,,,,"[-1.4092404218303631, 2.4325533215590323, -1.5102433809840488, -4.004131908882132, -3.203317559800068, 1.0218111056805697, 3.0983410560582048, -4.432374140246]",49.32867414635917,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
1,bbob.different_powers,8,40,80,none,-57.9,0,2,,,,"[1.3640937521336447, -3.7337681059469423, -2.703963388530383, -0.0006846250425374123, 4.2856489308531085, 1.7416036061736335, -0.4324138616074862, 0.9560860948493595]",-26.276806094321287,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
2,bbob.different_powers,8,40,80,none,-57.9,0,3,,,,"[2.7842052694125288, -1.3853653050622725, 0.17507202736565386, 3.144328194700586, -1.2570799177863656, 0.9689291808751088, 1.5823438963265923, -3.4117973778935626]",-33.3156189919883,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
3,bbob.different_powers,8,40,80,none,-57.9,0,4,,,,"[4.846153722129687, 3.9040806114345283, 1.5006975160526972, -3.9952088346940577, 1.8286145038798267, -3.4126148190669543, -3.922111682642735, 1.1527696440052253]",-13.401404408219094,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
4,bbob.different_powers,8,40,80,none,-57.9,0,5,,,,"[2.2162258737443974, -0.4303720850485204, 4.868661419381068, 4.1724395311102604, 4.628541160292052, -2.72237195858725, -1.7335108789890623, 1.9105512008227326]",34.07518552655856,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
5,bbob.different_powers,8,40,80,none,-57.9,0,6,,,,"[-4.392882457682441, 2.1695326522310143, -4.898575007549924, 2.6655221936232163, -1.5979047501320403, 2.027431411998802, -0.5567893983833452, -0.9057967861715106]",17.71781839560672,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
6,bbob.different_powers,8,40,80,none,-57.9,0,7,,,,"[-0.5210038358955966, -1.9581610369133493, -4.446774576872171, 3.440157639251762, 3.030878942297324, -1.2646420087012986, 0.16597073486358482, 4.212430133276291]",-15.056926928104026,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
7,bbob.different_powers,8,40,80,none,-57.9,0,8,,,,"[3.637415158337678, 2.8009189324281767, -1.307660552248437, 1.9869946747338973, 0.8988620400446177, -0.2996282611273138, -2.5226882614047805, 2.1049169035032875]",-43.83805172092549,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
8,bbob.different_powers,8,40,80,none,-57.9,0,9,,,,"[2.6753259667952705, 2.5820012805109105, 4.200121139007946, -4.985528277626624, -4.841277542061207, 2.473626180107443, -1.4072770378849278, 2.518211361733033]",10.117316858806994,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
9,bbob.different_powers,8,40,80,none,-57.9,0,10,,,,"[-3.8600942886789458, -2.4886476234226844, -0.6249739534219119, 1.143692843787731, -2.1550533630038444, -2.998774126308831, -2.4872359187344415, 4.384988715172726]",101.68362063677066,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
10,bbob.different_powers,8,40,80,none,-57.9,0,11,,,,"[0.5605677886729268, -1.624355673871905, 3.3676719599508083, -2.446446425178452, 2.896336037661083, -4.433620892947182, 2.8222142805025623, 2.2669850783466554]",-15.139414706339473,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
11,bbob.different_powers,8,40,80,none,-57.9,0,12,,,,"[-1.5287331583202262, -2.6822537792690775, -3.98185598215614, -3.4919815474811617, 1.246323423758657, 2.5340899774386063, 4.504701239983413, 0.26069745509725806]",51.897117889027335,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
12,bbob.different_powers,8,40,80,none,-57.9,0,13,,,,"[-3.2871910030581244, 1.2568427965442623, 4.27751611106987, 2.044406543114232, 2.6300030190480417, -3.5580932299098262, 4.299529855320422, -0.7308825399458669]",35.96800231249312,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
13,bbob.different_powers,8,40,80,none,-57.9,0,14,,,,"[4.6834674319269265, 4.6152663980944535, 0.8893117927563674, -2.7327543289952887, -2.510127677797109, 4.56699845108586, 3.8464066882627517, -3.75709134127838]",256.7847480336129,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
14,bbob.different_powers,8,40,80,none,-57.9,0,15,,,,"[-4.679804943206685, 3.4960020676191075, 3.560512249410893, -3.1281896808155194, -4.482276055199252, -1.5165206241810187, 4.039670680096904, 0.23332749780822404]",14.081600788223305,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
15,bbob.different_powers,8,40,80,none,-57.9,0,16,,,,"[-2.836077494701031, 0.39242531701304184, -2.2415155201960175, 1.3594420394428859, 2.4352838517072666, -1.0604189285235863, -3.722029580164795, 0.6935326428956685]",-14.38278950597578,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
16,bbob.different_powers,8,40,80,none,-57.9,0,17,,,,"[1.2188613235411792, -0.8220826892518946, -0.39653076620318295, 3.8614773744566833, 0.29757230602180584, -4.1401189880015465, -2.8221053036078025, -0.3532240856702229]",-0.8731037182680268,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
17,bbob.different_powers,8,40,80,none,-57.9,0,18,,,,"[3.7954697572572726, 4.093373384395061, 3.010230589325639, -1.0923511027729207, 1.361847122369678, -1.8984810504032925, -0.9620728020687652, -2.536368384546633]",-35.211209173457505,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
18,bbob.different_powers,8,40,80,none,-57.9,0,19,,,,"[-4.851627584187032, 3.5225102595844255, -1.0107667221420509, -0.7056765700453758, -3.6038460093428064, 0.5425490036804739, -4.252488640201823, -1.8412615394395675]",8.640803561471877,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
19,bbob.different_powers,8,40,80,none,-57.9,0,20,,,,"[-0.2696575092914095, -2.9131536440841597, -2.3184622746498897, -3.6756630176649465, -0.7359503567355228, -2.2817042755653114, -3.466194573850194, -4.0148660379000845]",19.29742634220107,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
20,bbob.different_powers,8,40,80,none,-57.9,0,21,,,,"[-3.0951926270777226, -1.1074435152946442, -0.872212386708366, 4.755884419515988, -3.943922797025457, 1.4227856593201853, -3.0674591963752, 3.0342199489526713]",5.224300043147032,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
21,bbob.different_powers,8,40,80,none,-57.9,0,22,,,,"[0.7796732068155778, 4.872323373614089, -3.086073932740581, 2.2512706629597705, 3.6710141136580745, 3.95432190526836, -1.2200245303260173, -1.2030838495278133]",119.72956766012379,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
22,bbob.different_powers,8,40,80,none,-57.9,0,23,,,,"[4.083027648607162, 3.0103965920555122, -4.731428644303604, -2.9370621258254386, -4.715175352386919, 2.938213314919473, 0.4646883607747423, 3.5824845376712666]",87.13159745757324,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
23,bbob.different_powers,8,40,80,none,-57.9,0,24,,,,"[2.3213453658363115, -0.0417632321955681, -0.09888931827621938, 1.5224360584459866, 1.6096498081124446, 3.6054160212684323, -4.548532443222698, 1.6184944378455315]",-6.480247240847966,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
24,bbob.different_powers,8,40,80,none,-57.9,0,25,,,,"[1.6191413181512697, -4.272233910061568, 0.25451432671832386, 0.6071510998860568, -2.7516022206660775, 0.30683769969365304, 4.755433571539964, -2.8974675070802376]",-1.844761032837397,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
25,bbob.different_powers,8,40,80,none,-57.9,0,26,,,,"[-0.07992040907066666, -3.296876928931946, 2.0818683415207833, -1.2987768496142014, 4.1055780268705355, -0.1505597940949066, -4.240605773281096, -3.5180663163824692]",16.197591086926643,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
26,bbob.different_powers,8,40,80,none,-57.9,0,27,,,,"[4.375006794085346, 1.0639756301793382, 4.705693314881335, 4.65298331705387, -0.015723874613742694, 0.06852978405605548, 2.2280580283101283, -2.3487729270894917]",-33.578209257465566,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
27,bbob.different_powers,8,40,80,none,-57.9,0,28,,,,"[3.031619342219816, -0.6180750841875025, -4.228155483410221, -0.9414792794347182, 3.271169009972059, 1.9681492477377738, 1.9816092736673419, 3.482418436607695]",-38.21939984285922,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
28,bbob.different_powers,8,40,80,none,-57.9,0,29,,,,"[1.7827864264131694, 1.841482505163139, -3.374142923449713, -4.29088585404912, 2.081566640568181, 4.92049565303855, 0.8222800341835139, 4.884911167783169]",107.29305940069142,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
29,bbob.different_powers,8,40,80,none,-57.9,0,30,,,,"[-1.1268674651361317, 1.5525835668850334, 1.226813631119155, -4.644689625830876, -0.2993087368239671, 4.047965812046607, -2.122211509032315, 4.5028261666580445]",2.545350040692881,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
30,bbob.different_powers,8,40,80,none,-57.9,0,31,,,,"[3.4542641688310702, -4.740754785031067, 2.7997707408478476, 3.6296848758561833, -2.4533835160449087, 3.0992877736897206, 2.586219734002155, -2.2284226906768474]",-9.410441071257992,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
31,bbob.different_powers,8,40,80,none,-57.9,0,32,,,,"[-3.516317604102823, 0.7912529490104001, 3.9045463050084397, 2.918613595974824, 0.5014933071975038, -2.1952976255190944, 1.3786162153051027, -1.6056570991061951]",12.15571866358355,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
32,bbob.different_powers,8,40,80,none,-57.9,0,33,,,,"[-4.219382226467949, -4.021703718053724, 1.8228953107715338, 0.05271134407371392, -1.9497990949290287, -3.830571681184958, -0.19915979568651387, -1.306332110468916]",141.65382174883322,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
33,bbob.different_powers,8,40,80,none,-57.9,0,34,,,,"[0.15942301237885736, -2.104362028051095, 0.614647504092459, 4.471846583614861, -0.8517369501598262, -0.7500751725267305, 3.3139048184131497, 3.787031021941436]",117.57638666384554,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
34,bbob.different_powers,8,40,80,none,-57.9,0,35,,,,"[0.46526708021995056, -3.1759464423166994, -1.9552757720986595, -1.9954570807179484, -1.2109476405921815, -4.6060266213610035, 2.255077822872586, -3.2434961012130885]",2.3088786070898237,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
35,bbob.different_powers,8,40,80,none,-57.9,0,36,,,,"[-2.6259192448001447, 0.5616383653540238, -3.728459416918291, -0.36903676799218843, -4.215946560274271, -4.925392141515468, 1.1765189360063601, 2.808086932504132]",22.135796547748974,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
36,bbob.different_powers,8,40,80,none,-57.9,0,37,,,,"[-2.3926711964648746, 4.476538711641673, 1.402154893423834, -2.0184352533494514, 3.8809582591957508, -0.6071349020357308, -4.855934360742612, -4.896575088397696]",69.68946913493372,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
37,bbob.different_powers,8,40,80,none,-57.9,0,38,,,,"[-2.030672665044019, -3.9834422274892107, 2.3289873879812415, 0.794054660401807, -3.47420030806594, -3.145830011730869, 3.7399454447738503, -0.1778717060294399]",204.40959083447424,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
38,bbob.different_powers,8,40,80,none,-57.9,0,39,,,,"[-0.8922564635658397, -4.9564893055426, -2.883040118368586, -1.703311023841048, 0.0007474267318769989, 4.412361297158029, 0.7072446399948316, 1.4020813001365244]",40.56636225817872,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
39,bbob.different_powers,8,40,80,none,-57.9,0,40,,,,"[-1.938262497466419, 0.1401927670354226, 2.6029049726426967, 0.4681603820195823, 4.818469122266505, 3.4299793995333747, -1.7976543901010045, -4.715737499645798]",220.14304539849584,,,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
40,bbob.different_powers,8,40,80,none,-57.9,0,41,2.5,4.331449597006212,,"[4.551831814425748, -0.7533943606603283, -1.6664315158330112, -0.6090698645182103, 2.8826567164565033, -2.421643212506167, -0.17549128184743173, 0.6263265745919424]",-46.8039651300468,-36.928370209716164,0.9336209297180176,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
41,bbob.different_powers,8,40,80,none,-57.9,0,42,2.5,4.605363201062571,,"[5.0, -1.8523866540321041, -5.0, 1.490556918737568, 3.4315162353386692, -0.23559891276702055, -2.411580624929509, 3.547395351247254]",-35.72168263493505,-26.502037970507295,0.7876322269439697,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
42,bbob.different_powers,8,40,80,none,-57.9,0,43,2.5,4.7737767146953445,,"[5.0, -0.27046126642626067, 2.1763263196413076, 1.2334255238942933, 0.8167646417303656, -4.434497350953638, 0.46317227225084406, -4.389048568560025]",-29.87465064818284,-22.97575682794737,0.7735586166381836,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
43,bbob.different_powers,8,40,80,none,-57.9,0,44,2.5,4.90686012935936,,"[5.0, -4.0908001983286235, -5.0, 2.009834284123093, 1.6179667821680508, -0.5950395601371498, 2.4005922252864793, -1.7032174194829512]",-15.047756007163514,-17.80736630776361,0.8066129684448242,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
44,bbob.different_powers,8,40,80,none,-57.9,0,45,2.5,4.945270597974619,,"[2.6112356656091307, -1.9428653783160625, -5.0, -2.1761732013828814, 5.0, -3.5338576665588066, 1.7809943264253139, 4.008253451078049]",-43.26801459849497,-20.634489672459956,1.0824952125549316,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
45,bbob.different_powers,8,40,80,none,-57.9,0,46,2.5,5.101576316410267,,"[5.0, 3.554258972187707, 3.826087678019541, 2.924898767654083, -2.3397702626958554, -2.6068330298271625, -3.8620622448611908, -1.1133830759789858]",-34.26952110417889,-17.554875452182575,0.9336068630218506,"[5.0, 1.1435046432965454, 5.0, -0.8614967342025642, 1.3375995925278263, -1.5848484539662646, 0.3460768273858395, 0.7758881972877191]",-50.84908839553369
