,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.discus,4,20,40,none,-101.09,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",8876308.385807713,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
1,bbob.discus,4,20,40,none,-101.09,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",37546.462200514026,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
2,bbob.discus,4,20,40,none,-101.09,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",3814733.597624286,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
3,bbob.discus,4,20,40,none,-101.09,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",64557872.200266905,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
4,bbob.discus,4,20,40,none,-101.09,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",1471761.6732273824,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
5,bbob.discus,4,20,40,none,-101.09,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",20842756.957393616,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
6,bbob.discus,4,20,40,none,-101.09,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",60393246.14008023,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
7,bbob.discus,4,20,40,none,-101.09,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",508575.69319280295,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
8,bbob.discus,4,20,40,none,-101.09,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",15030430.254342984,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
9,bbob.discus,4,20,40,none,-101.09,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",944507.3294904003,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
10,bbob.discus,4,20,40,none,-101.09,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",19765151.610618442,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
11,bbob.discus,4,20,40,none,-101.09,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",59465315.18202688,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
12,bbob.discus,4,20,40,none,-101.09,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",52451657.4829464,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
13,bbob.discus,4,20,40,none,-101.09,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",342700.2220231015,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
14,bbob.discus,4,20,40,none,-101.09,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",38993545.73911397,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
15,bbob.discus,4,20,40,none,-101.09,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",3167984.0468837353,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
16,bbob.discus,4,20,40,none,-101.09,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",67908579.40415889,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
17,bbob.discus,4,20,40,none,-101.09,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",103970545.7149977,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
18,bbob.discus,4,20,40,none,-101.09,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",6099737.7141008405,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
19,bbob.discus,4,20,40,none,-101.09,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",21712996.212373186,,,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
20,bbob.discus,4,20,40,none,-101.09,0,21,2.5,11.002551855136801,,"[-5.0, -5.0, -5.0, -5.0]",23966.174542507237,8134175.71005857,0.2028970718383789,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
21,bbob.discus,4,20,40,none,-101.09,0,22,2.5,11.152688415439998,,"[5.0, 5.0, -5.0, 5.0]",4156.307768480885,1912539.0534969717,0.10395550727844238,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
22,bbob.discus,4,20,40,none,-101.09,0,23,2.5,11.308780708709364,,"[-4.828250183180697, 4.227723429882037, -4.343605923116995, -4.84824973203286]",7489.66937085034,31626.229858171195,0.10996246337890625,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
23,bbob.discus,4,20,40,none,-101.09,0,24,2.5,11.467369406716355,,"[-5.0, 5.0, -5.0, 5.0]",21780657.582152147,6536149.741694763,0.19791364669799805,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
24,bbob.discus,4,20,40,none,-101.09,0,25,2.5,11.159415745390701,,"[-5.0, -0.5360999542183267, -3.6048456093405883, -2.4784783000245394]",22527.7587602513,-4101937.5470673405,0.28690195083618164,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
25,bbob.discus,4,20,40,none,-101.09,0,26,2.5,11.267031186869723,,"[-0.07520259294686452, -5.0, -5.0, 0.114657485437039]",138218.71059605147,873435.2183574624,0.26444578170776367,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
26,bbob.discus,4,20,40,none,-101.09,0,27,2.5,11.424822608077791,,"[-5.0, 0.2552188651321115, 1.4409925179746648, 5.0]",504565.41950339323,3921089.946070388,0.3336796760559082,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
27,bbob.discus,4,20,40,none,-101.09,0,28,2.5,11.550573238837039,,"[-5.0, -5.0, -2.976362041044069, 5.0]",4979646.822143987,2833043.532368783,0.2711355686187744,"[-5.0, 5.0, -2.6969461148502782, -2.297412244014165]",700.188524517649
