,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid,2,10,20,none,276.32,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",5812442.579908602,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
1,bbob.ellipsoid,2,10,20,none,276.32,0,2,,,,"[0.959026476063805, -2.0165276355285293]",1771246.2226140387,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
2,bbob.ellipsoid,2,10,20,none,276.32,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",8224989.45970892,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
3,bbob.ellipsoid,2,10,20,none,276.32,0,4,,,,"[1.3933642242328208, 3.270503439016002]",16405733.456460416,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
4,bbob.ellipsoid,2,10,20,none,276.32,0,5,,,,"[-2.543624991465423, -4.935072423787768]",17325944.42999232,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
5,bbob.ellipsoid,2,10,20,none,276.32,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",523010.8793815142,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
6,bbob.ellipsoid,2,10,20,none,276.32,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",32945464.92432596,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
7,bbob.ellipsoid,2,10,20,none,276.32,0,8,,,,"[4.270344553570055, 0.8243443793974414]",2212666.324280011,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
8,bbob.ellipsoid,2,10,20,none,276.32,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",5571164.379387235,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
9,bbob.ellipsoid,2,10,20,none,276.32,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",350859.0481912272,,,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
10,bbob.ellipsoid,2,10,20,none,276.32,0,11,2.5,3.556242614865354,,"[5.0, -5.0]",17846072.230081797,5823169.539229864,0.0938100814819336,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
11,bbob.ellipsoid,2,10,20,none,276.32,0,12,2.5,3.18792367402432,,"[-5.0, -1.341989712040488]",286933.5314188756,4071968.354255881,0.17791223526000977,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
12,bbob.ellipsoid,2,10,20,none,276.32,0,13,2.5,3.4801361302559166,,"[5.0, 5.0]",33420935.78889195,11443364.975931566,0.13402819633483887,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
13,bbob.ellipsoid,2,10,20,none,276.32,0,14,2.5,3.875443105291274,,"[2.0303982682037773, -0.18312384032409995]",423578.1909339845,-799876.5284531936,0.1879110336303711,"[0.7894087917595676, -0.7803274648630504]",282.2342115242324
