,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",3497761.3966197968,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
1,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",3990937.6588517246,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
2,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",245551.8279720266,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
3,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",1880480.5480333527,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
4,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",1849153.8604993236,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
5,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",7883506.79377292,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
6,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",28539950.53281286,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
7,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",4918369.112870988,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
8,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",46607298.53563034,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
9,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",5712396.660435619,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
10,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",10175069.834260188,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
11,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",42017256.45357101,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
12,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",13780995.148300415,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
13,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",621685.3012940161,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
14,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",21151253.393255778,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
15,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",660043.2032615043,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
16,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",38019664.085572645,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
17,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",32909719.211231705,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
18,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",138002.47531792705,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
19,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",18621280.277799647,,,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
20,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,21,1.0,9.960551202945572,0.9679916149318714,"[-3.8883985535477583, -2.693645113089379, 4.99398999742249, 4.887673789297672]",6529736.393201143,8071.8630348593,0.7708327770233154,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
21,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,22,1.0,9.643537836444542,0.9651933701657458,"[5.0, 5.0, -5.0, 5.0]",6779852.408587089,4360042.99931455,0.8600497245788574,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
22,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,23,0.5,12.131113901141422,0.9633819189841724,"[-5.0, -5.0, -5.0, 5.0]",6778267.905939554,3311914.727409402,0.7554144859313965,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
23,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,24,1.0,9.514626840674408,0.9603004291845494,"[-5.0, 5.0, -5.0, 5.0]",6779825.392295435,3837061.8922299035,1.0942294597625732,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
24,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,25,0.5,12.055602672067586,0.9564031862745098,"[0.2111702372890431, -5.0, 1.442098263856546, 5.0]",6746274.08852267,1089276.5146972723,1.0780224800109863,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
25,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,26,0.5,11.793479680090512,0.9495629303009205,"[-2.0107358168752514, 0.3435875975677794, 0.3621704328601424, 5.0]",6691615.398196847,1322787.4792608432,1.1281042098999023,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
26,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,27,0.5,11.584276158426743,0.9418407800278581,"[0.20958787739610274, 5.0, -3.004461410480659, 5.0]",6687084.654727608,1871661.2565577514,1.0561802387237549,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
27,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,28,0.5,11.462876569215947,0.9352345057015942,"[5.0, -5.0, 5.0, 5.0]",7117406.441079723,8336385.000380441,1.0501043796539307,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
28,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,29,0.5,11.520661675741916,0.9368110625595656,"[5.0, 5.0, 5.0, 5.0]",7118963.927435603,10991815.137629699,0.9679679870605469,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
29,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,30,0.5,11.470544818412236,0.9341007146307742,"[-5.0, -5.0, 0.32317582653077415, 5.0]",6691129.164320941,3541212.02131153,1.2614030838012695,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
30,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,31,0.5,11.482162944764246,0.9285824822036521,"[0.14336629532095976, -5.0, -5.0, 5.0]",6778255.928696284,5869170.921477638,1.0133275985717773,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
31,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,32,0.5,11.58637331112769,0.9254170612661179,"[-5.0, 5.0, 5.0, 5.0]",7118936.91114395,9961199.98962057,1.0698935985565186,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
32,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,33,0.5,11.579177928215179,0.9236494931259547,"[1.3885275890530433, -0.6410545480013372, 5.0, 5.0]",7115590.173925378,5270552.496849166,1.1795330047607422,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
33,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,34,0.5,11.636565996213132,0.9219883271034166,"[-5.0, 0.16908930471390116, -5.0, 5.0]",6776566.297714171,4217192.90272984,1.332364797592163,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
34,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,35,0.5,11.673263082796666,0.9190108837186448,"[1.7370568533623747, 1.320554049331096, -5.0, 3.706513249337651]",1679575.3452458573,2848273.621215257,1.2028088569641113,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
35,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,36,0.5,11.96174030145035,0.9218206634621091,"[-1.6064160279443647, -2.6130309468689887, -1.797687259330464, 2.8504416951015408]",86939.0829334521,2674131.2247251356,1.2619264125823975,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
36,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,37,0.5,12.254013413886058,0.928207677437172,"[0.5649579404748665, 0.2621988544163176, -2.0463654535640274, 2.743655972615703]",35335.91477187863,1434924.9960158635,1.4555394649505615,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
37,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,38,0.5,12.587881389469489,0.9323105522813397,"[-0.12957953752194484, -1.83313163164873, -4.994260293684647, 2.2505672170506745]",220494.44125280238,2991867.8242892,1.449718952178955,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
38,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,39,0.5,12.794584497640102,0.9323287435620574,"[0.6419300260164534, 5.0, 1.2929263073893063, 5.0]",6742386.073846546,5049595.73775328,1.5162324905395508,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
39,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,40,0.5,12.829799950838714,0.9337263038762614,"[-0.2809644531145583, -1.6592949449530527, -3.1935420735394757, 3.4043644592247286]",613000.0453999863,375531.1572564244,1.5320773124694824,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
40,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,41,0.5,13.110834024959225,0.9376098339889921,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266,1047372.1000672728,1.4834847450256348,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
41,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,42,0.5,13.394949981989376,0.9395806094740018,"[-2.5597089343423236, -5.0, -2.299959926110298, 2.1235937004369347]",209582.6343938055,3399346.2427057438,1.7061889171600342,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
42,bbob.ellipsoid,4,20,40,suitability_ext,276.32,0,43,0.5,13.509241697259311,0.9440166906760717,"[-3.7880765042371656, -2.343294431510057, -2.5879784124228955, 2.0987338276620813]",232958.73714722932,2219714.8205297235,1.451294183731079,"[-0.8153943088318736, 2.629470769474166, -2.299092413142, 2.6952684674880394]",22273.944302353266
