,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",33639659.766770095,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
1,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,2,,,,"[0.959026476063805, -2.0165276355285293]",21672277.23341285,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
2,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",233949.55484290933,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
3,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,4,,,,"[1.3933642242328208, 3.270503439016002]",423969.27875200275,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
4,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,5,,,,"[-2.543624991465423, -4.935072423787768]",59638386.451975025,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
5,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",8719262.792268759,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
6,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2377861.0263573406,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
7,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,8,,,,"[4.270344553570055, 0.8243443793974414]",2662721.035136182,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
8,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",3870931.101884414,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
9,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",14453404.563445697,,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
10,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,11,2.5,5.445422751235566,,"[5.0, 5.0]",7776525.92825344,2216828.686807379,0.07396721839904785,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
11,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,12,2.5,5.318577533045399,,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786,-241388.14364539832,0.07474708557128906,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
12,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,13,2.5,5.596465277346979,,"[-0.5726017432925339, 4.996573182964163]",4535677.517456541,2895689.0986064523,0.16092896461486816,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
13,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,14,2.5,5.7245010678417865,,"[-5.0, 3.595674581130969]",34070.220351609474,690968.9236713406,0.15958857536315918,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
14,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,15,2.5,5.93344649090878,,"[5.0, 2.526056566629595]",79343.33444186769,1583095.1802342273,0.12690973281860352,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
15,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,16,2.5,6.040065993831973,,"[-0.04083151288239351, 2.191233825034284]",348444.28362741455,378124.0608203113,0.12394094467163086,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
16,bbob.ellipsoid_rotated,2,10,20,none,-78.99,0,17,2.5,6.207536959204125,,"[-3.6707789918295277, 2.875489320915435]",153306.65774646078,-163984.20654685982,0.10097360610961914,"[-1.911734006205903, 3.0199937249956097]",1038.6643561525786
