,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",33639659.766770095,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
1,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,2,,,,"[0.959026476063805, -2.0165276355285293]",21672277.23341285,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
2,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",233949.55484290933,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
3,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,4,,,,"[1.3933642242328208, 3.270503439016002]",423969.27875200275,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
4,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,5,,,,"[-2.543624991465423, -4.935072423787768]",59638386.451975025,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
5,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",8719262.792268759,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
6,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2377861.0263573406,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
7,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,8,,,,"[4.270344553570055, 0.8243443793974414]",2662721.035136182,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
8,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",3870931.101884414,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
9,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",14453404.563445697,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
10,bbob.ellipsoid_rotated,2,10,20,predicted,-78.99,0,11,0.5,7.818729729695187,,"[5.0, 5.0]",7776525.92825344,3588255.9127016105,1.150435209274292,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
