,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",33639659.766770095,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
1,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,2,,,,"[0.959026476063805, -2.0165276355285293]",21672277.23341285,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
2,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",233949.55484290933,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
3,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,4,,,,"[1.3933642242328208, 3.270503439016002]",423969.27875200275,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
4,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,5,,,,"[-2.543624991465423, -4.935072423787768]",59638386.451975025,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
5,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",8719262.792268759,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
6,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",2377861.0263573406,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
7,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,8,,,,"[4.270344553570055, 0.8243443793974414]",2662721.035136182,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
8,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",3870931.101884414,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
9,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",14453404.563445697,,,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
10,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,11,0.5,7.818729729695187,0.9804964539007093,"[5.0, 5.0]",7776525.92825344,3588255.9127016105,0.4188969135284424,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
11,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,12,0.5,7.601181639536646,0.9799498746867168,"[-0.6882004837439769, 5.0]",4467326.270586875,2085028.9981944934,0.462817907333374,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
12,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,13,0.5,7.9014521415397905,0.9755693581780538,"[-2.0024104834376373, 2.82218584584046]",56787.18564471081,2873661.5563573353,0.5387635231018066,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
13,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,14,0.5,8.481740341859528,0.9586466165413534,"[2.219544444050272, 4.988102930390081]",6489932.956193323,3655373.4182745554,0.5257782936096191,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
14,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,15,0.5,8.614010811255953,0.9588194921070693,"[-4.985272175691931, 3.6537024169577865]",58504.01230658313,2883123.9051889926,0.5660319328308105,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
15,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,16,0.5,9.025937264381385,0.9518370454978108,"[-0.12901163554769227, 2.2914879535748613]",278816.24808432866,1678986.2316239364,0.5449700355529785,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
16,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,17,0.5,9.447904265744526,0.9503288335064036,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124,636459.0031942297,0.6521520614624023,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
17,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,18,0.5,9.848245438105314,0.9530854324936692,"[5.0, 2.4942001432191723]",59887.79587247068,4158313.4009525217,0.683903694152832,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
18,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,19,0.5,9.95767741219009,0.9388888888888889,"[3.4980699264492596, 2.752678961145557]",111914.47346557044,1083577.3121130634,0.6874213218688965,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
19,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,20,0.5,10.255498969350722,0.9364458112011929,"[-5.0, 5.0]",2163127.239226736,1945867.1968386872,0.7716209888458252,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
20,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,21,0.5,10.437440804325066,0.9398074685285095,"[-2.4058349135593495, 4.198612917418899]",1327402.2390996253,1346440.8212958332,0.7589824199676514,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
21,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,22,0.5,10.655417334898646,0.9403435274403016,"[-0.5882451472937262, 3.336168991919232]",168622.48555313572,894936.1281813662,0.8308234214782715,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
22,bbob.ellipsoid_rotated,2,10,20,suitability_ext,-78.99,0,23,0.5,10.882617081362488,0.935414884516681,"[-2.9605621736955325, 2.041476204082606]",1390906.617988885,1699706.7855480583,0.9102096557617188,"[-3.5359725688456543, 3.153265881137674]",6396.081685610124
