,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,1,,,,"[-1.4092404218303631, 2.4325533215590323, -1.5102433809840488, -4.004131908882132, -3.203317559800068, 1.0218111056805697, 3.0983410560582048, -4.432374140246]",2602701.5338258203,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
1,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,2,,,,"[1.3640937521336447, -3.7337681059469423, -2.703963388530383, -0.0006846250425374123, 4.2856489308531085, 1.7416036061736335, -0.4324138616074862, 0.9560860948493595]",17062074.393359616,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
2,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,3,,,,"[2.7842052694125288, -1.3853653050622725, 0.17507202736565386, 3.144328194700586, -1.2570799177863656, 0.9689291808751088, 1.5823438963265923, -3.4117973778935626]",1685000.2680680272,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
3,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,4,,,,"[4.846153722129687, 3.9040806114345283, 1.5006975160526972, -3.9952088346940577, 1.8286145038798267, -3.4126148190669543, -3.922111682642735, 1.1527696440052253]",4160610.95865792,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
4,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,5,,,,"[2.2162258737443974, -0.4303720850485204, 4.868661419381068, 4.1724395311102604, 4.628541160292052, -2.72237195858725, -1.7335108789890623, 1.9105512008227326]",20208929.790403936,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
5,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,6,,,,"[-4.392882457682441, 2.1695326522310143, -4.898575007549924, 2.6655221936232163, -1.5979047501320403, 2.027431411998802, -0.5567893983833452, -0.9057967861715106]",18326360.740491237,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
6,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,7,,,,"[-0.5210038358955966, -1.9581610369133493, -4.446774576872171, 3.440157639251762, 3.030878942297324, -1.2646420087012986, 0.16597073486358482, 4.212430133276291]",63015905.22016687,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
7,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,8,,,,"[3.637415158337678, 2.8009189324281767, -1.307660552248437, 1.9869946747338973, 0.8988620400446177, -0.2996282611273138, -2.5226882614047805, 2.1049169035032875]",13892680.905070728,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
8,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,9,,,,"[2.6753259667952705, 2.5820012805109105, 4.200121139007946, -4.985528277626624, -4.841277542061207, 2.473626180107443, -1.4072770378849278, 2.518211361733033]",10220656.134787738,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
9,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,10,,,,"[-3.8600942886789458, -2.4886476234226844, -0.6249739534219119, 1.143692843787731, -2.1550533630038444, -2.998774126308831, -2.4872359187344415, 4.384988715172726]",18909942.07668909,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
10,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,11,,,,"[0.5605677886729268, -1.624355673871905, 3.3676719599508083, -2.446446425178452, 2.896336037661083, -4.433620892947182, 2.8222142805025623, 2.2669850783466554]",5004800.670459799,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
11,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,12,,,,"[-1.5287331583202262, -2.6822537792690775, -3.98185598215614, -3.4919815474811617, 1.246323423758657, 2.5340899774386063, 4.504701239983413, 0.26069745509725806]",16330430.212343598,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
12,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,13,,,,"[-3.2871910030581244, 1.2568427965442623, 4.27751611106987, 2.044406543114232, 2.6300030190480417, -3.5580932299098262, 4.299529855320422, -0.7308825399458669]",10154429.993456772,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
13,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,14,,,,"[4.6834674319269265, 4.6152663980944535, 0.8893117927563674, -2.7327543289952887, -2.510127677797109, 4.56699845108586, 3.8464066882627517, -3.75709134127838]",9144294.83203346,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
14,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,15,,,,"[-4.679804943206685, 3.4960020676191075, 3.560512249410893, -3.1281896808155194, -4.482276055199252, -1.5165206241810187, 4.039670680096904, 0.23332749780822404]",7640103.112580296,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
15,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,16,,,,"[-2.836077494701031, 0.39242531701304184, -2.2415155201960175, 1.3594420394428859, 2.4352838517072666, -1.0604189285235863, -3.722029580164795, 0.6935326428956685]",16189481.389937775,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
16,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,17,,,,"[1.2188613235411792, -0.8220826892518946, -0.39653076620318295, 3.8614773744566833, 0.29757230602180584, -4.1401189880015465, -2.8221053036078025, -0.3532240856702229]",12018377.09014785,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
17,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,18,,,,"[3.7954697572572726, 4.093373384395061, 3.010230589325639, -1.0923511027729207, 1.361847122369678, -1.8984810504032925, -0.9620728020687652, -2.536368384546633]",12141416.133850576,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
18,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,19,,,,"[-4.851627584187032, 3.5225102595844255, -1.0107667221420509, -0.7056765700453758, -3.6038460093428064, 0.5425490036804739, -4.252488640201823, -1.8412615394395675]",4797979.131952111,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
19,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,20,,,,"[-0.2696575092914095, -2.9131536440841597, -2.3184622746498897, -3.6756630176649465, -0.7359503567355228, -2.2817042755653114, -3.466194573850194, -4.0148660379000845]",1856102.4336073205,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
20,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,21,,,,"[-3.0951926270777226, -1.1074435152946442, -0.872212386708366, 4.755884419515988, -3.943922797025457, 1.4227856593201853, -3.0674591963752, 3.0342199489526713]",13720187.008342305,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
21,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,22,,,,"[0.7796732068155778, 4.872323373614089, -3.086073932740581, 2.2512706629597705, 3.6710141136580745, 3.95432190526836, -1.2200245303260173, -1.2030838495278133]",11582768.215465376,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
22,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,23,,,,"[4.083027648607162, 3.0103965920555122, -4.731428644303604, -2.9370621258254386, -4.715175352386919, 2.938213314919473, 0.4646883607747423, 3.5824845376712666]",22959429.550425626,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
23,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,24,,,,"[2.3213453658363115, -0.0417632321955681, -0.09888931827621938, 1.5224360584459866, 1.6096498081124446, 3.6054160212684323, -4.548532443222698, 1.6184944378455315]",6078599.562731806,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
24,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,25,,,,"[1.6191413181512697, -4.272233910061568, 0.25451432671832386, 0.6071510998860568, -2.7516022206660775, 0.30683769969365304, 4.755433571539964, -2.8974675070802376]",989435.9640609943,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
25,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,26,,,,"[-0.07992040907066666, -3.296876928931946, 2.0818683415207833, -1.2987768496142014, 4.1055780268705355, -0.1505597940949066, -4.240605773281096, -3.5180663163824692]",13329209.417890364,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
26,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,27,,,,"[4.375006794085346, 1.0639756301793382, 4.705693314881335, 4.65298331705387, -0.015723874613742694, 0.06852978405605548, 2.2280580283101283, -2.3487729270894917]",12985415.885840904,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
27,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,28,,,,"[3.031619342219816, -0.6180750841875025, -4.228155483410221, -0.9414792794347182, 3.271169009972059, 1.9681492477377738, 1.9816092736673419, 3.482418436607695]",37958399.2044343,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
28,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,29,,,,"[1.7827864264131694, 1.841482505163139, -3.374142923449713, -4.29088585404912, 2.081566640568181, 4.92049565303855, 0.8222800341835139, 4.884911167783169]",27136136.90516297,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
29,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,30,,,,"[-1.1268674651361317, 1.5525835668850334, 1.226813631119155, -4.644689625830876, -0.2993087368239671, 4.047965812046607, -2.122211509032315, 4.5028261666580445]",1534754.2487372628,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
30,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,31,,,,"[3.4542641688310702, -4.740754785031067, 2.7997707408478476, 3.6296848758561833, -2.4533835160449087, 3.0992877736897206, 2.586219734002155, -2.2284226906768474]",6533843.815097541,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
31,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,32,,,,"[-3.516317604102823, 0.7912529490104001, 3.9045463050084397, 2.918613595974824, 0.5014933071975038, -2.1952976255190944, 1.3786162153051027, -1.6056570991061951]",13139526.814602375,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
32,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,33,,,,"[-4.219382226467949, -4.021703718053724, 1.8228953107715338, 0.05271134407371392, -1.9497990949290287, -3.830571681184958, -0.19915979568651387, -1.306332110468916]",6506457.45067908,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
33,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,34,,,,"[0.15942301237885736, -2.104362028051095, 0.614647504092459, 4.471846583614861, -0.8517369501598262, -0.7500751725267305, 3.3139048184131497, 3.787031021941436]",19678663.58872428,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
34,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,35,,,,"[0.46526708021995056, -3.1759464423166994, -1.9552757720986595, -1.9954570807179484, -1.2109476405921815, -4.6060266213610035, 2.255077822872586, -3.2434961012130885]",817280.932767703,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
35,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,36,,,,"[-2.6259192448001447, 0.5616383653540238, -3.728459416918291, -0.36903676799218843, -4.215946560274271, -4.925392141515468, 1.1765189360063601, 2.808086932504132]",25878923.65162346,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
36,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,37,,,,"[-2.3926711964648746, 4.476538711641673, 1.402154893423834, -2.0184352533494514, 3.8809582591957508, -0.6071349020357308, -4.855934360742612, -4.896575088397696]",18516275.94229443,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
37,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,38,,,,"[-2.030672665044019, -3.9834422274892107, 2.3289873879812415, 0.794054660401807, -3.47420030806594, -3.145830011730869, 3.7399454447738503, -0.1778717060294399]",2963808.112489075,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
38,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,39,,,,"[-0.8922564635658397, -4.9564893055426, -2.883040118368586, -1.703311023841048, 0.0007474267318769989, 4.412361297158029, 0.7072446399948316, 1.4020813001365244]",10227092.536178567,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
39,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,40,,,,"[-1.938262497466419, 0.1401927670354226, 2.6029049726426967, 0.4681603820195823, 4.818469122266505, 3.4299793995333747, -1.7976543901010045, -4.715737499645798]",15883006.028722042,,,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
40,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,41,inf,5.730820829331888,0.397070921480361,"[-5.0, -2.5594716907055126, 1.3536482369865035, -5.0, -2.1567953591892115, 4.106685936564494, -5.0, 1.7805484051754277]",3346986.1281353305,2934814.888382893,4.751725196838379,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
41,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,42,inf,5.759337286800809,0.39503125547340956,"[5.0, -5.0, -3.707362441878881, -1.4689898931866305, 0.5796503727601658, 3.1131931165447915, -1.0979530309090868, -5.0]",1035989.1218589148,3754919.8839443624,4.702279090881348,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
42,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,43,inf,5.8326161034571715,0.3742206508248488,"[5.0, -4.045202654757925, -1.381854777509827, 0.9377978147568942, -5.0, -3.4483922523772614, -1.855005609484605, -5.0]",3719680.508854796,3671306.2975685634,4.692746639251709,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
43,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,44,inf,5.851016911981665,0.38058207580517456,"[-5.0, 5.0, 3.9066806132819356, -1.295559769083974, -0.49192143732186394, 5.0, -5.0, 5.0]",8000774.313245566,4555854.137000725,5.308086156845093,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
44,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,45,inf,5.809473401264467,0.3764805080910338,"[3.8954220708544627, -5.0, 1.5453530259664043, -5.0, -1.0311549061234966, -1.2001971612700657, -0.24909482923788526, -0.03756549309696867]",3503877.0975765465,2721083.38754596,4.945693254470825,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
45,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,46,inf,5.834802261565727,0.3790470313853879,"[-2.029868118692427, 1.2355960431794664, 4.038682397052846, -5.0, 0.4986286303154184, -2.5266973745629833, -5.0, 5.0]",7621828.393543292,3863454.564120097,5.259474277496338,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
46,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,47,inf,5.800288670423045,0.41585021065880323,"[-3.5742739516708952, -3.6990538055459723, 5.0, -4.9168942731039085, 0.1640898021822851, 3.5598708590491257, 2.744226453389221, 4.4304531662012705]",3325582.3020339096,5320936.660867581,5.3414270877838135,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
47,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,48,inf,5.82693042576588,0.3919986893815934,"[3.7515930504054054, 1.7510981922278033, -4.060649228280734, 2.4984719961395863, -2.8988851209167135, 2.094101456244809, -5.0, -5.0]",937222.9531527036,4583677.5703099305,6.045095682144165,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
48,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,49,inf,5.889165772128562,0.42040690122721064,"[-1.014363749555987, -5.0, 3.5619722821095947, -5.0, 1.082411602241341, -5.0, 5.0, -4.6452229546902055]",18985021.606191035,4742871.610446221,5.979129076004028,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
49,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,50,inf,5.730620082635667,0.24985986137483343,"[-0.33871884212327213, -2.418754267865612, -1.484961590726661, -0.8487251445306492, -5.0, 4.8908750765050995, -2.1693884272697193, -5.0]",8213906.911223191,3191999.526959045,5.344409227371216,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
50,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,51,inf,5.702704673298724,0.23571971020810736,"[5.0, 1.4590983310696783, -5.0, -2.383519660347729, -0.2402139351842305, -4.390530910169777, -1.8324980096650996, -5.0]",1533132.8568754147,4202487.534880643,5.363520383834839,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
51,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,52,inf,5.752393697971555,0.31382187304496895,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625,5091685.679522243,5.277467489242554,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
52,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,53,inf,5.8129543967980375,0.28378599348382944,"[5.0, -2.434123509568091, -5.0, 4.1233864932371125, 5.0, 5.0, -5.0, -5.0]",6024740.420322542,6294383.665609316,5.597312927246094,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
53,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,54,inf,5.806957931504962,0.2901670205407902,"[1.06129171521893, -5.0, 3.330592966076118, -5.0, 3.1338012180924184, 5.0, -4.719551052584218, 5.0]",2847978.825964599,5008832.953885088,6.1610424518585205,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
54,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,55,inf,5.8282240529220495,0.2895682352060186,"[5.0, -2.2859669433051177, -5.0, -5.0, -5.0, -2.6537684423859664, 5.0, -5.0]",5411334.46999907,4570578.516626645,5.519350051879883,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
55,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,56,inf,5.827645989451331,0.2848229218210427,"[0.598600459237107, -5.0, -5.0, -5.0, 5.0, 5.0, -5.0, -2.0148609690648622]",4653820.148811203,5679990.2816776475,5.840195178985596,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
56,bbob.ellipsoid_rotated,8,40,80,R2_cv,-78.99,0,57,inf,5.834113973559707,0.3756955686027542,"[5.0, -5.0, 5.0, 0.6297118833835685, -3.973207279253949, -5.0, 5.0, 5.0]",4823374.814601485,6743273.4725349,6.277166128158569,"[4.282481136499722, 1.6469294943855333, -2.1646517285008144, 1.0589931919787179, -5.0, -4.5070475253987095, 5.0, -5.0]",22468.029385839625
