,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",371.8136481346548,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
1,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",366.10413875726,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
2,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",324.64007963951366,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
3,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",343.6997004136656,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
4,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",373.4079937092045,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
5,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",365.6291177489918,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
6,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",355.9796997057472,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
7,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",343.70846032409713,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
8,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",360.0993342408823,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
9,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",325.3142927007512,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
10,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",324.7356932630937,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
11,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",369.73472666364563,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
12,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",375.6876401661736,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
13,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",372.4972189959711,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
14,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",381.9042015824736,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
15,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",333.6667503023577,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
16,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",334.0678549398122,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
17,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",356.08972700563555,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
18,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",377.6679931442284,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
19,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",376.0937975726741,,,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
20,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,21,inf,0.9483099492734532,23.45922917976394,"[-3.3453559334384777, -1.6933146786211657, -4.7322966700806095, 2.6606970037020528]",324.1983460965023,338.677676590145,1.0542175769805908,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
21,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,22,inf,1.2772539254385045,19.924017726012067,"[-2.2124510818573766, -2.2655992907802185, -4.588157358946728, 3.4139703378491553]",329.1700778457542,336.51369562441954,1.5441932678222656,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
22,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,23,inf,1.3998526373918527,19.303577142004965,"[-2.5077224535595297, -1.8573637888169656, -3.4690502311156277, 1.9703886095800023]",331.7187343996464,336.3597969386664,1.1126809120178223,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
23,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,24,3.0,1.5192063620129028,19.556766401388927,"[-3.6904201630979667, -1.8241385407643858, -3.501991382026227, 3.6562422982055387]",338.22529863378867,335.9399180211624,1.1959948539733887,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
24,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,25,3.0,1.568112564470946,20.683599598430654,"[-0.34256485177908136, -1.9336338891121723, -1.3503415897363074, 0.03649934115691999]",351.7081608809579,337.444852977271,1.2781007289886475,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
25,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,26,inf,1.3968279948013231,20.778188026909408,"[-0.038579445198032, -0.7466300808531687, 1.0433857879618116, -0.6143198464559838]",352.28823778898607,337.33366521207256,1.1520278453826904,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
26,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,27,3.0,1.3647604731942227,20.803068882431848,"[-2.077200685898876, -1.540626943080664, -5.0, 1.949034879077322]",346.3771112150376,333.7021150163262,1.4963021278381348,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
27,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,28,1.0,1.340764275743935,20.947941936735855,"[-3.2648791856569983, -1.5204663252007278, -5.0, 3.7751750915419247]",360.1057842352141,332.861389646068,1.4475760459899902,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
28,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,29,1.0,0.9891103430649805,22.691969986566193,"[-3.025943404047371, -2.519462859078414, -3.7931300870537443, 2.52509676988792]",324.297213827213,334.683270169591,1.5115320682525635,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
29,bbob.gallagher101,4,20,40,vm_angles_ext,310.62,0,30,1.0,1.116468322471492,22.723894098340953,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663,327.6189857506634,1.542917251586914,"[-3.371489775544472, -1.3952412850242275, -3.876237828042742, 2.39326207045203]",317.0968639582663
