,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",75.74535722219741,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
1,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",69.7924265228132,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
2,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",136.468428426142,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
3,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",50.176656487246504,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
4,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",148.76597275658267,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
5,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",93.1947553961754,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
6,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",59.01683995933664,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
7,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",70.24430830037753,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
8,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",66.21385332607682,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
9,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",121.32176745540164,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
10,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",52.265157126365324,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
11,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",81.49872591729431,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
12,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
13,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",117.62107891867211,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
14,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",163.17171569556146,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
15,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",77.96480303845911,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
16,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",87.96539938215528,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
17,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",166.38780525647618,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
18,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",113.38938429628837,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
19,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",99.43654515285829,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
20,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,21,0.5,1.7449255602932152,,"[0.3335826505970949, -3.37702145316144, 2.7502369359063468, 0.13158755299608388]",60.53408560872563,66.31010036575937,1.692227840423584,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
21,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,22,0.5,1.9870422066148246,,"[0.07698046908878681, -4.944841833038488, 4.02949086493057, 0.058324479921438056]",57.01692400212298,66.51605593854043,1.8150267601013184,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
22,bbob.griewank_rosenbrock,4,20,40,predicted,40.46,0,23,0.5,2.281478922135858,,"[0.4244805510079386, 0.08562502755628888, 0.3245044170628587, -1.7636806526183093]",53.15610604459808,71.87515780464238,1.661756992340088,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",46.33787711746028
