,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.katsuura,2,10,20,predicted,210.41,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",288.3328103467208,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
1,bbob.katsuura,2,10,20,predicted,210.41,0,2,,,,"[0.959026476063805, -2.0165276355285293]",273.28248531571234,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
2,bbob.katsuura,2,10,20,predicted,210.41,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",235.23734953827866,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
3,bbob.katsuura,2,10,20,predicted,210.41,0,4,,,,"[1.3933642242328208, 3.270503439016002]",246.2277877634038,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
4,bbob.katsuura,2,10,20,predicted,210.41,0,5,,,,"[-2.543624991465423, -4.935072423787768]",265.1443754232085,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
5,bbob.katsuura,2,10,20,predicted,210.41,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",229.35631579559566,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
6,bbob.katsuura,2,10,20,predicted,210.41,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",272.2879460756644,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
7,bbob.katsuura,2,10,20,predicted,210.41,0,8,,,,"[4.270344553570055, 0.8243443793974414]",264.86775886090567,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
8,bbob.katsuura,2,10,20,predicted,210.41,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",259.92269705811634,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
9,bbob.katsuura,2,10,20,predicted,210.41,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",275.4736875961589,,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
10,bbob.katsuura,2,10,20,predicted,210.41,0,11,0.5,1.3795767455959906,,"[-1.4975158054545796, 0.761449340739139]",255.79861272446396,243.2125677169732,1.373161792755127,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
11,bbob.katsuura,2,10,20,predicted,210.41,0,12,0.5,0.963494458612005,,"[-2.2202760692803567, -0.29694208887495216]",280.5616805801417,242.58863207940394,1.3471975326538086,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
12,bbob.katsuura,2,10,20,predicted,210.41,0,13,0.5,9.999999999999997e-06,,"[-3.2765278992857603, 0.14300146685873827]",216.08986553338406,262.20779225653087,1.1314561367034912,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
13,bbob.katsuura,2,10,20,predicted,210.41,0,14,0.5,9.999999999999997e-06,,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434,258.6602594316734,1.1861763000488281,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
14,bbob.katsuura,2,10,20,predicted,210.41,0,15,0.5,9.999999999999997e-06,,"[2.6998936514334746, 1.6149819267935577]",249.42027026144967,255.38103597585697,1.159456491470337,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
15,bbob.katsuura,2,10,20,predicted,210.41,0,16,0.5,9.999999999999997e-06,,"[2.1034437519391025, 4.2467642021939955]",219.5403301329355,254.9836515948965,1.1287105083465576,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
16,bbob.katsuura,2,10,20,predicted,210.41,0,17,0.5,9.999999999999997e-06,,"[-2.8502300285741766, 3.21698608985489]",275.69255270228524,252.76844400352397,1.1198194026947021,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
17,bbob.katsuura,2,10,20,predicted,210.41,0,18,0.5,9.999999999999997e-06,,"[-3.1743152251586313, 3.564001923801243]",269.1064086847034,254.11692098580406,1.1514983177185059,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
18,bbob.katsuura,2,10,20,predicted,210.41,0,19,0.5,9.999999999999997e-06,,"[-1.025320445818477, 1.0844371692254366]",252.08303749468604,254.94967030240957,1.1902050971984863,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
19,bbob.katsuura,2,10,20,predicted,210.41,0,20,0.5,9.999999999999997e-06,,"[1.6458418501860086, 3.4657983226358784]",239.45953077421507,254.79879489147677,1.1376886367797852,"[3.1741540922420803, 2.0950063538396684]",212.7511310502434
