,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",288.3328103467208,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
1,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,2,,,,"[0.959026476063805, -2.0165276355285293]",273.28248531571234,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
2,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",235.23734953827866,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
3,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,4,,,,"[1.3933642242328208, 3.270503439016002]",246.2277877634038,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
4,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,5,,,,"[-2.543624991465423, -4.935072423787768]",265.1443754232085,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
5,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",229.35631579559566,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
6,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",272.2879460756644,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
7,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,8,,,,"[4.270344553570055, 0.8243443793974414]",264.86775886090567,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
8,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",259.92269705811634,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
9,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",275.4736875961589,,,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
10,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,11,1.5,1.5664507786339381,14.685342683872902,"[-0.8084453392216441, 1.1021823134780684]",234.75443673447052,242.26975557735904,0.3744511604309082,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
11,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,12,1.0,2.077003946590024,13.392240224755694,"[-2.2707651636527593, 1.1519576913488005]",267.968248992498,238.0508158892067,0.5617344379425049,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
12,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,13,1.5,0.9411557299928832,17.947978187953247,"[-0.9376193385076516, 0.03695185436810389]",220.18935563234956,237.64587780417395,0.3769230842590332,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
13,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,14,3.0,1.3608775858856186,13.369829485588653,"[0.6951237483851882, 0.7736421945548955]",229.74526416542545,237.97191053403148,0.6865129470825195,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
14,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,15,1.0,1.7295026133750828,11.60099903822583,"[-0.12367046674796132, 0.009196064435976307]",227.73996836962485,227.74045539691076,0.578216552734375,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
15,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,16,1.0,2.0341293226741075,13.322884412729522,"[5.0, 5.0]",273.3583886783122,252.45122986988142,0.605710506439209,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
16,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,17,1.0,2.0075204776066733,12.951147301979123,"[-1.120475245045757, -0.6514520323804653]",280.3161797527787,229.2471392512088,0.6232616901397705,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
17,bbob.katsuura,2,10,20,vm_angles_ext,210.41,0,18,0.5,0.6743635375243224,24.292409023578745,"[-0.6166381676654489, 0.4076070160794326]",251.25746388916644,229.70915377418345,0.39623045921325684,"[-0.9429599402453785, 0.02502490908745969]",215.2297605756096
