,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.linear_slope,2,10,20,R2_cv,51.53,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",138.59090545031722,,,"[-5.0, 5.0]",51.53
1,bbob.linear_slope,2,10,20,R2_cv,51.53,0,2,,,,"[0.959026476063805, -2.0165276355285293]",127.6543028313491,,,"[-5.0, 5.0]",51.53
2,bbob.linear_slope,2,10,20,R2_cv,51.53,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",87.84428553357694,,,"[-5.0, 5.0]",51.53
3,bbob.linear_slope,2,10,20,R2_cv,51.53,0,4,,,,"[1.3933642242328208, 3.270503439016002]",75.21832983407279,,,"[-5.0, 5.0]",51.53
4,bbob.linear_slope,2,10,20,R2_cv,51.53,0,5,,,,"[-2.543624991465423, -4.935072423787768]",153.33709924641227,,,"[-5.0, 5.0]",51.53
5,bbob.linear_slope,2,10,20,R2_cv,51.53,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",104.74153144757994,,,"[-5.0, 5.0]",51.53
6,bbob.linear_slope,2,10,20,R2_cv,51.53,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",53.00845147646707,,,"[-5.0, 5.0]",51.53
7,bbob.linear_slope,2,10,20,R2_cv,51.53,0,8,,,,"[4.270344553570055, 0.8243443793974414]",102.55690075959564,,,"[-5.0, 5.0]",51.53
8,bbob.linear_slope,2,10,20,R2_cv,51.53,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",87.08143328014103,,,"[-5.0, 5.0]",51.53
9,bbob.linear_slope,2,10,20,R2_cv,51.53,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",124.4571603214392,,,"[-5.0, 5.0]",51.53
10,bbob.linear_slope,2,10,20,R2_cv,51.53,0,11,inf,8.248082839875837,0.9310431834597412,"[-5.0, 5.0]",51.53,52.59847424587702,2.866441011428833,"[-5.0, 5.0]",51.53
11,bbob.linear_slope,2,10,20,R2_cv,51.53,0,12,inf,9.761939479974016,0.9967977187985424,"[-5.0, 5.0]",51.53,51.533823397320866,3.5980262756347656,"[-5.0, 5.0]",51.53
12,bbob.linear_slope,2,10,20,R2_cv,51.53,0,13,inf,10.443908228824702,0.7984526015661566,"[-5.0, 5.0]",51.53,51.53233028751275,3.433917999267578,"[-5.0, 5.0]",51.53
