,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.linear_slope,4,20,40,none,51.53,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",103.22435649391137,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
1,bbob.linear_slope,4,20,40,none,51.53,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",152.14314139076004,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
2,bbob.linear_slope,4,20,40,none,51.53,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",130.2962749098956,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
3,bbob.linear_slope,4,20,40,none,51.53,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",114.59904742553434,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
4,bbob.linear_slope,4,20,40,none,51.53,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",116.56193159096497,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
5,bbob.linear_slope,4,20,40,none,51.53,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",152.575680709413,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
6,bbob.linear_slope,4,20,40,none,51.53,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",163.3193954217981,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
7,bbob.linear_slope,4,20,40,none,51.53,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",136.42138730614448,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
8,bbob.linear_slope,4,20,40,none,51.53,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",177.37247911610996,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
9,bbob.linear_slope,4,20,40,none,51.53,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",115.83848915846582,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
10,bbob.linear_slope,4,20,40,none,51.53,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",150.62795527654353,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
11,bbob.linear_slope,4,20,40,none,51.53,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",184.34015236465982,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
12,bbob.linear_slope,4,20,40,none,51.53,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",145.1835497344395,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
13,bbob.linear_slope,4,20,40,none,51.53,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",97.29226024941848,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
14,bbob.linear_slope,4,20,40,none,51.53,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",138.7054268461183,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
15,bbob.linear_slope,4,20,40,none,51.53,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",130.77463249852144,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
16,bbob.linear_slope,4,20,40,none,51.53,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",164.61376047192732,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
17,bbob.linear_slope,4,20,40,none,51.53,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",169.43395606571588,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
18,bbob.linear_slope,4,20,40,none,51.53,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",121.15789628722368,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
19,bbob.linear_slope,4,20,40,none,51.53,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",142.8497084859863,,,"[-5.0, 5.0, 5.0, 5.0]",51.53
20,bbob.linear_slope,4,20,40,none,51.53,0,21,2.5,13.440185514448517,,"[-1.7337758840358009, 3.922207622370541, 5.0, 5.0]",57.11825740298105,72.16679866844336,0.26545166969299316,"[-5.0, 5.0, 5.0, 5.0]",51.53
21,bbob.linear_slope,4,20,40,none,51.53,0,22,2.5,17.980818797263616,,"[-5.0, 5.0, 5.0, 5.0]",51.53,59.312938436484956,0.17591476440429688,"[-5.0, 5.0, 5.0, 5.0]",51.53
22,bbob.linear_slope,4,20,40,none,51.53,0,23,2.5,21.2861132033976,,"[-5.0, 2.9217385838977483, 5.0, 5.0]",56.00747848980548,54.53437687355154,0.17891669273376465,"[-5.0, 5.0, 5.0, 5.0]",51.53
23,bbob.linear_slope,4,20,40,none,51.53,0,24,2.5,23.903747027447032,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.53128801698337,0.15292620658874512,"[-5.0, 5.0, 5.0, 5.0]",51.53
24,bbob.linear_slope,4,20,40,none,51.53,0,25,2.5,25.801864828467938,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.53078003140158,0.16191983222961426,"[-5.0, 5.0, 5.0, 5.0]",51.53
25,bbob.linear_slope,4,20,40,none,51.53,0,26,2.5,27.272164926643637,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.53059807785864,0.14992785453796387,"[-5.0, 5.0, 5.0, 5.0]",51.53
26,bbob.linear_slope,4,20,40,none,51.53,0,27,2.5,28.42712669780108,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.530498156784574,0.15892672538757324,"[-5.0, 5.0, 5.0, 5.0]",51.53
27,bbob.linear_slope,4,20,40,none,51.53,0,28,2.5,29.341885473526787,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.53043170785496,0.18591070175170898,"[-5.0, 5.0, 5.0, 5.0]",51.53
28,bbob.linear_slope,4,20,40,none,51.53,0,29,2.5,30.069234842675105,,"[-5.0, 5.0, 5.0, 5.0]",51.53,51.5303826036177,0.136932373046875,"[-5.0, 5.0, 5.0, 5.0]",51.53
