,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",59.87543354516566,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
1,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,2,,,,"[0.959026476063805, -2.0165276355285293]",57.809346298074274,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
2,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",88.21425096721082,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
3,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,4,,,,"[1.3933642242328208, 3.270503439016002]",112.12894562899801,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
4,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,5,,,,"[-2.543624991465423, -4.935072423787768]",95.85731426389867,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
5,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",65.28483722769428,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
6,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",135.99055965202757,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
7,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,8,,,,"[4.270344553570055, 0.8243443793974414]",81.26703364775798,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
8,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",124.27520011607346,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
9,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",55.76717949236985,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
10,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,11,0.5,5.3486307626544205,8.42096473126437,"[5.0, -5.0]",60.52278196792389,70.57640024530133,0.3347630500793457,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
11,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,12,0.5,6.032224451658992,8.103324942591374,"[2.397416511652189, -4.249102696262037]",57.26457890561798,60.241738902578376,0.4709949493408203,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
12,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,13,0.5,6.897197622102911,10.815268727372304,"[5.0, -2.8314928769056515]",80.51006744904228,59.856610639832454,0.539740800857544,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
13,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,14,0.5,5.50502072035652,14.322185749410117,"[2.41116069539734, -2.530109049222937]",62.161712343922574,57.30144105375339,0.4428060054779053,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
14,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,15,0.5,5.877570937095284,16.15426974187738,"[1.0548690228491515, -5.0]",91.17320478303354,63.512482550940945,0.48793625831604004,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
15,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,16,0.5,4.222878310820987,15.835791579820409,"[-0.46363881570703375, -1.4073534414429736]",60.81625426523475,61.56033771423473,0.46999597549438477,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
16,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,17,0.5,4.616223113381246,15.949061466850665,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926,62.915139544255545,0.5157527923583984,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
17,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,18,0.5,4.984165763140191,14.223866099590971,"[0.8086968025113417, -0.6255016184762162]",57.201312505197244,60.1670051936551,0.5475561618804932,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
18,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,19,0.5,5.344704336980452,14.432161559662552,"[2.7165633547193746, -1.2858275645335329]",68.12102067991694,55.882889613607674,0.6027123928070068,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
19,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,20,0.5,4.875381364469967,14.890260543147061,"[3.5988790719804085, -5.0]",79.64303298569882,63.4804477896398,0.6885972023010254,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
20,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,21,0.5,4.4171324124189155,15.378084997207225,"[0.0906307946471918, -2.483028344866168]",88.31961712163638,59.19929768986152,0.5944867134094238,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
21,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,22,0.5,2.79310070382865,16.07216026348281,"[1.4063655747077546, -1.3336054424080739]",83.6350748797336,55.37936514840185,0.45778417587280273,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
22,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,23,0.5,1.5570524076689203,19.313369657343635,"[-0.22052404654114943, -0.048475551918644236]",77.71324940626813,65.52375576145764,0.42018866539001465,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
23,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,24,0.5,1.4460952185076563,19.557534005993002,"[3.202412022680331, -3.3013971520102543]",55.186548467607466,65.70877461052298,0.41280364990234375,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
24,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,25,0.5,1.7015234998784945,18.45807447862602,"[-2.0136363632127154, -1.8419575940712747]",83.46073902205057,71.15777547198142,0.4728994369506836,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
25,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,26,0.5,1.6410990786435184,18.74897039128908,"[2.1318597649602236, -0.06639700624879251]",89.04952153454826,64.6416324543377,0.47477269172668457,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
26,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,27,0.5,1.0308756398881982,20.017991315727915,"[3.435559491968146, -2.424363647515478]",56.597248070906616,62.78333164261743,0.4500432014465332,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
27,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,28,0.5,1.412825257768846,19.816756538147107,"[2.3470186106105793, -3.411450689604114]",64.57543790318766,60.3273208384784,0.4532604217529297,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
28,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,29,0.5,1.5277624361069533,19.11796329292123,"[4.936979080046947, -1.0476661036786818]",71.40618737420006,71.50297098620453,0.45700669288635254,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
29,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,0,30,0.5,1.5663865752625599,19.65010064572026,"[5.0, 5.0]",121.64009480971744,79.32671069312254,0.46677708625793457,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
30,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,1,,,,"[3.488178375299743, 2.0495363036740644]",82.00134876197535,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
31,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,2,,,,"[4.855840387280367, 0.051350552862755805]",60.970494245921515,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
32,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",91.92116386535568,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
33,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",60.544196653613355,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
34,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,5,,,,"[-4.54959368767306, -4.027559113243068]",94.71843148164666,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
35,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,6,,,,"[1.246486891325194, 1.4618566867807221]",94.65944958162994,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
36,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,7,,,,"[2.670268283500908, -3.788428703428404]",78.77237315168055,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
37,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,8,,,,"[0.6968051707083553, -2.4534978894806514]",72.8952707371697,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
38,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,9,,,,"[-3.1340416972471647, -1.4031129864471295]",92.5335786593874,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
39,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,10,,,,"[-1.2034552406761496, 4.73768665955815]",104.1639906776096,,,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
40,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,11,3.0,1.2354207858440385,13.469557440079104,"[4.358093211357507, -1.1340552014872611]",81.48057015646883,71.6138703085589,0.4857187271118164,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
41,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,12,inf,0.9083220509881704,21.181637222420612,"[-0.19438054703199634, -1.206724727530583]",69.76284147876144,68.78529398130924,0.3988075256347656,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
42,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,13,1.0,1.1465913375032806,19.181548213465714,"[5.0, 0.9099346336360642]",77.30464504187279,69.75098078655304,0.6305313110351562,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
43,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,14,1.0,0.9851054005806316,19.56656797598551,"[-1.1517035172219678, 0.28931290100299295]",63.898690388002116,70.97981049693499,0.6257071495056152,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
44,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,15,0.5,1.3438722180382718,16.318342565595493,"[-0.3488020118806741, -0.043251716723740834]",78.83236576348878,67.63103214061128,0.46167492866516113,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
45,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,16,1.0,0.8821532021884465,15.08425830514164,"[-1.4739365146162116, -0.4965639714872561]",95.82209492237453,66.39699365115452,0.5761070251464844,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
46,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,17,inf,0.12820900519363682,36.99690125012156,"[-0.8891442471408828, -0.5495817466401611]",79.08083966761662,71.12308880332806,0.28065013885498047,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
47,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,18,0.5,0.08257425068923235,39.23676136670646,"[-0.7961375766095626, -0.3836058589423246]",75.99904064378906,68.55178783539664,0.25948119163513184,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
48,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,19,0.5,0.04294301691165466,43.598545195641094,"[-1.115193883427097, 0.2469997458144757]",70.94485626129972,76.23928092988105,0.23070287704467773,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
49,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,20,0.5,0.07140268388007406,40.749717376434155,"[4.879015580930652, 0.11658740317004757]",63.211382426221064,72.98925751183901,0.25287890434265137,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
50,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,21,0.5,0.1120513669530254,35.23872355726306,"[4.847786001468879, -0.011089315360286456]",70.24796122950272,68.90687620280104,0.40628910064697266,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
51,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,22,0.5,0.11962019920833225,32.18065530590993,"[4.785584057088966, 0.10873248667535446]",85.30892552498635,69.09538738318336,0.341402530670166,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
52,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,23,0.5,0.07140200360461982,34.88408531713647,"[4.9456587893041615, 0.14901227237420045]",88.17003032605177,73.27971916445634,0.30083751678466797,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
53,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,24,0.5,0.0012466995934729123,46.64332683864074,"[-0.17349809434245955, -1.2150902584413092]",80.32838175197135,79.70628427452594,0.32463836669921875,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
54,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,25,0.5,9.999999999999997e-06,45.8059268349775,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414,79.73220514159986,0.3132948875427246,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
55,bbob.lunacek_bi_rastrigin,2,10,20,vm_angles_ext,47.56,1,26,0.5,9.999999999999997e-06,42.28648332832494,"[4.739921999088869, 0.014232930560388546]",66.56141310819697,78.80966346354545,0.3285045623779297,"[-2.327814364020754, 1.0425016168752261]",56.668663190239414
