,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",156.5336289670738,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
1,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",174.72024981391039,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
2,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",157.2596925934784,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
3,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",122.87481041913941,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
4,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",154.23627409393927,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
5,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",158.2267811939126,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
6,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",134.5251329675062,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
7,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",205.0097083262917,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
8,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",198.4222749713466,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
9,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",177.92209547623554,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
10,bbob.lunacek_bi_rastrigin,4,20,40,R2_cv,47.56,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",131.99929954622007,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
