,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",156.5336289670738,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
1,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",174.72024981391039,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
2,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",157.2596925934784,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
3,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",122.87481041913941,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
4,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",154.23627409393927,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
5,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",158.2267811939126,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
6,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",134.5251329675062,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
7,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",205.0097083262917,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
8,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",198.4222749713466,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
9,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",177.92209547623554,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
10,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",131.99929954622007,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
11,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",154.4258974709498,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
12,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",100.12222979218018,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
13,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",181.27337171910006,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
14,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",151.7226514469744,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
15,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",139.842970829361,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
16,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",192.86587560915854,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
17,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",175.607053009176,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
18,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",106.09560114232916,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
19,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",127.64862333229026,,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
20,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,21,2.5,2.5441021399408186,,"[-2.0998054473509393, -4.154286396635438, 2.5625769659387423, 0.8475228826898346]",117.18868094011869,107.63882468717193,0.39780735969543457,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
21,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,22,2.5,2.518219367832096,,"[-0.3687812547827222, -1.742668385798841, 3.679304265593137, -0.4136904474909742]",86.63916987212886,119.30899698921658,0.4743313789367676,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
22,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,23,2.5,2.801324832092002,,"[1.369321911583753, -0.326988664471799, 3.3077573509863107, 0.4942613445691307]",115.93539211213161,113.02090370518316,0.42679357528686523,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
23,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,24,2.5,2.887161191508085,,"[-0.06365512606069991, -2.2377394003434423, 5.0, -1.723870875853539]",117.46630987962827,105.22139009671142,0.32983946800231934,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
24,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,25,2.5,2.8704919029189373,,"[-1.782202227352495, -0.7916537538263585, 3.847533868275605, 1.5158352668046982]",110.36001662269678,113.57804866558374,0.37950873374938965,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
25,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,26,2.5,2.9951453065585025,,"[-5.0, -5.0, 1.9646975631058665, 5.0]",123.65004679621316,126.50422503354463,0.2079007625579834,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
26,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,27,2.5,3.0249956750360854,,"[-5.0, -5.0, -0.6696593421134149, -0.45911767795035846]",144.52626408182655,127.53110196179239,0.2668726444244385,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
27,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,28,2.5,2.9510720685414675,,"[-1.6590561124425625, -5.0, 0.290277135625227, 4.561584847868349]",128.0695232178729,126.14931185674416,0.27986788749694824,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
28,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,29,2.5,2.9685889518218422,,"[-1.1263526092282339, -0.49196298776591113, 2.81432210279544, -1.0240197528301587]",103.77911312206254,102.79632368056892,0.21289777755737305,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
29,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,30,2.5,3.115818316343843,,"[-4.983241223006623, -1.8396956157482802, 1.040328085950125, 2.814557391601964]",107.67420630512285,126.29590925859227,0.20290136337280273,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
30,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,31,2.5,3.1891016423914635,,"[-5.0, -0.5201523223665673, 4.726458535501156, 5.0]",125.44866023085095,133.91547681848334,0.25748300552368164,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
31,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,32,2.5,3.1868769540720137,,"[-5.0, -5.0, -1.942662886043545, 4.459139468835211]",142.3425744936191,127.54001974678333,0.163909912109375,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
32,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,33,2.5,3.143064927881938,,"[-5.0, -5.0, 5.0, 2.647468361416168]",120.44755522797674,131.63268040283586,0.19190716743469238,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
33,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,34,2.5,3.1542612401505106,,"[-1.7179586590232356, -3.4413428485123547, 5.0, 5.0]",142.10872798508066,129.86224067727824,0.2039034366607666,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
34,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,35,2.5,3.1507268973185223,,"[5.0, 5.0, 5.0, 5.0]",271.48571165648104,142.44117736577627,0.21089935302734375,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
35,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,36,2.5,3.8885551006815824,,"[5.0, -5.0, -5.0, -5.0]",318.1408699964842,152.6839879614045,0.18390989303588867,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
36,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,37,2.5,4.873488149429079,,"[4.38008319365035, 3.9573903544881546, -4.981686561857623, 4.672642773865533]",288.1437597893386,149.5348163628353,0.2338879108428955,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
37,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,38,2.5,4.807969473723159,,"[-5.0, 5.0, 5.0, 5.0]",213.19334668636077,160.97412305683028,0.31092381477355957,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
38,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,39,2.5,4.853626890389684,,"[5.0, -5.0, 2.5764241308807505, 5.0]",199.91125618484404,161.11351871035416,0.30655384063720703,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
39,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,40,2.5,4.881246519738445,,"[-1.747708520659675, -0.7010755973603239, 0.7254188235629765, 5.0]",98.53905376004917,127.888402046323,0.33085203170776367,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
40,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,41,2.5,4.9029493595671045,,"[-0.0001640751841343819, -0.011679800109197513, 0.22907975965642344, 2.574356867176073]",94.3231951196629,105.78660852255766,0.2558748722076416,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
41,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,42,2.5,5.001988848110832,,"[-1.9966054149305075, -1.6641391025733099, 0.7096962703202432, 2.8475720596148757]",77.47118340807756,96.54495948003722,0.35982584953308105,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
42,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,43,2.5,4.938835223179891,,"[-0.3233151343481493, -1.9750699666253004, 1.5846244871489452, 2.947856557585549]",102.96069026805526,91.87322520177759,0.2688896656036377,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
43,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,44,2.5,4.950583367351937,,"[-2.6434427080435166, -0.05218816303797951, 0.4772205989901496, 2.296769858903001]",94.5945505601595,89.59252591494908,0.2723557949066162,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
44,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,45,2.5,5.013510859044473,,"[-2.1829547779713088, -1.8900179920767184, -0.7621202898694913, 3.500188859302784]",101.52933630247288,87.86131792805222,0.2498788833618164,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
45,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,46,2.5,4.933772188311755,,"[-5.0, -5.0, 2.9471630897281176, -5.0]",192.12634779290764,157.8748690105494,0.31084728240966797,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
46,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,47,2.5,4.946461847911236,,"[-2.9571754135257007, -1.9454312717152213, 1.866958732625872, 3.6644118144547875]",96.19957600771633,85.71117467924401,0.30745553970336914,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
47,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,48,2.5,4.915649501466806,,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278,85.6248573043628,0.3308398723602295,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
48,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,49,2.5,4.878721038871442,,"[-1.3821521435784796, -1.0960007192066012, 1.5463598032344146, 1.2641220775446909]",73.76251192588734,76.27798434109046,0.30385613441467285,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
49,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,50,2.5,4.971270864560772,,"[5.0, 5.0, -5.0, -5.0]",305.8661244795741,182.74167576847015,0.35883593559265137,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
50,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,51,2.5,5.262256795651205,,"[-5.0, -1.299753606563972, -5.0, -5.0]",260.07719193074394,187.08277253522309,0.37123775482177734,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
51,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,52,2.5,5.3801469537860935,,"[-2.2845119621661114, -1.3165856443699524, 1.6456869808918002, 1.8702541179880199]",93.72924353993277,72.44237381210615,0.3818168640136719,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
52,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,53,2.5,3.9854760532050295,,"[-3.239841222917425, -1.4919634032355915, -0.3853440240718826, 0.4032114135584346]",125.26096106116056,77.18908027304307,0.35793209075927734,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
53,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,54,2.5,3.711173663824955,,"[-4.7076422606035955, 4.922627217590064, 4.70116741398663, -3.784178077527444]",220.22087994719197,167.42247185338653,0.30730485916137695,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
54,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,55,2.5,3.738955639739326,,"[-5.0, 0.40074621472738864, -0.5157441511778944, 5.0]",135.40189495688332,130.4474001380462,0.3508312702178955,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
55,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,56,2.5,3.745569766401662,,"[0.6416948210787272, -5.0, 5.0, -5.0]",181.8948568835838,151.67934833889487,0.3118467330932617,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
56,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,57,2.5,3.739765750052339,,"[-2.3498723564561703, -2.124449658961002, 2.021166874779382, -0.3248373840582049]",82.62204268645574,75.99173553458239,0.39880990982055664,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
57,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,58,2.5,3.7797257181560604,,"[-5.0, 5.0, -5.0, 5.0]",290.48547309802626,170.12664851421994,0.3568305969238281,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
58,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,59,2.5,3.877721113472591,,"[-1.1045721943498648, -5.0, -5.0, 5.0]",183.56409657060507,161.26132210209136,0.28586339950561523,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
59,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,0,60,2.5,3.87945281451383,,"[0.8920846461487606, 1.6760943210663937, 0.2953538350708851, 0.29627294023559575]",77.25496252774732,113.92801010092077,0.32184672355651855,"[-2.4478571974136165, -1.6114291973386554, 1.3229454490485062, 1.2646790380079183]",70.79659103316278
60,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,1,,,,"[-3.2559108123501286, -2.975231848162968, 2.9279201936401833, -4.474324723568622]",147.6335305307899,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
61,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,2,,,,"[2.844084273994757, -0.7116632244862879, 3.58614870308978, -3.7045995681845807]",190.94201465788748,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
62,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,3,,,,"[-2.27479684383653, -1.0137795566215342, 3.123243445662597, -2.269071656609639]",131.19917922688137,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
63,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,4,,,,"[0.8351341417504541, 2.6057856482857975, 4.348402585354178, 4.773251055259674]",151.05300737191828,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
64,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,5,,,,"[1.4329791513764176, -0.20155649322356428, -3.1017276203380746, 1.3688433297790752]",137.9104860080364,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
65,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,6,,,,"[4.624817663684974, 3.8597956210069793, -3.7425954872158176, 3.00963140009938]",275.49138925221405,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
66,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,7,,,,"[-0.980828596831893, 4.137605029613233, 2.229386572226283, 0.861554397977315]",150.1271292941642,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
67,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,8,,,,"[-1.0803260043875635, 4.515037293391934, -1.7580342927739387, 2.442067193764615]",172.3400872172418,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
68,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,9,,,,"[-4.31174487776875, -1.8883415571711488, -2.30650165052652, -2.9586488523954513]",150.46839813296413,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
69,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,10,,,,"[4.480203561667899, -3.264294631630011, -0.7296679414427016, -1.531174789574938]",180.19241579570672,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
70,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,11,,,,"[-0.3206640845696871, 1.0736835807596714, 0.203529490947858, -4.630048723868612]",142.31106480002052,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
71,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,12,,,,"[2.080059239484296, -4.754747940760755, -1.2554444422332667, 4.123484896148911]",155.11867545256902,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
72,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,13,,,,"[-3.5739610178924783, -3.9098133595596387, 1.6583565469983714, -3.3935484707774006]",165.70195858444185,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
73,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,14,,,,"[3.9041918704899317, -2.4011820805672652, 0.9043380369714002, 1.9592236913182433]",160.5850368302413,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
74,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,15,,,,"[-2.9276134871435353, 3.069358251911165, 4.56173145179171, -1.2359548596793952]",157.88690096269525,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
75,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,16,,,,"[0.36297580569314114, 1.9964540856984172, -4.322860447787474, 0.14004530824565364]",142.45014961843896,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
76,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,17,,,,"[-4.9177846082501375, 0.3590610863177286, 1.3923909164185133, -0.8196656900332941]",135.380935483529,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
77,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,18,,,,"[3.0974725834274945, 2.018164563577515, -0.07526241521058896, 2.758893805900332]",167.73592579083652,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
78,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,19,,,,"[1.5526420689019123, 0.7886415465272814, -2.794751031042024, 3.9877546612533177]",167.1729063854983,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
79,bbob.lunacek_bi_rastrigin,4,20,40,none,47.56,1,20,,,,"[-1.8367299435764695, -4.459544309816911, -4.9134126647783605, -0.4427601333549731]",182.01053256379345,,,"[-2.051324516439363, -1.0825657123135832, 1.3775577860373673, 3.1212528820780854]",86.57782252773141
