,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",156.5336289670738,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
1,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",174.72024981391039,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
2,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",157.2596925934784,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
3,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",122.87481041913941,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
4,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",154.23627409393927,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
5,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",158.2267811939126,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
6,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",134.5251329675062,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
7,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",205.0097083262917,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
8,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",198.4222749713466,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
9,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",177.92209547623554,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
10,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",131.99929954622007,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
11,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",154.4258974709498,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
12,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",100.12222979218018,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
13,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",181.27337171910006,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
14,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",151.7226514469744,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
15,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",139.842970829361,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
16,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",192.86587560915854,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
17,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",175.607053009176,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
18,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",106.09560114232916,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
19,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",127.64862333229026,,,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
20,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,21,0.5,3.9806422409689004,,"[-2.0471405236114495, -5.0, 2.6164348032080955, 0.5699837256706126]",115.15360107173838,113.38716381959449,1.698594570159912,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
21,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,22,0.5,4.516708668523986,,"[-3.5322168581779625, -5.0, 3.456550832285506, 3.502958962546413]",98.83387151114448,124.63627329961385,1.6286489963531494,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
22,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,23,0.5,5.5604509927145,,"[-5.0, -5.0, 5.0, 5.0]",156.85950601950498,119.3990510662743,1.516998052597046,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
23,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,24,0.5,4.206170216580737,,"[-1.84247656337847, -5.0, 2.257546368724032, 3.2778846415139626]",91.24356616695184,111.87216103661211,1.8717925548553467,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
24,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,25,0.5,5.092205272630667,,"[-2.1701835211155145, -3.4199143770696527, 2.5623607209463657, 2.8118995456652907]",107.86480553416285,105.69361568710488,1.7714972496032715,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
25,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,26,0.5,5.667038101851701,,"[-2.1211995048117616, -5.0, 1.228273966421009, 4.6500609121022105]",109.8384139846938,109.99954786470765,2.079821825027466,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
26,bbob.lunacek_bi_rastrigin,4,20,40,predicted,47.56,0,27,0.5,6.16959819306743,,"[-1.20326947353316, -5.0, 3.6274102731922926, 3.298457726624664]",105.47284388257341,105.36887920852902,1.7758612632751465,"[-1.3550864923988664, -4.05981822528246, 1.5344307643615385, 3.3357983780030858]",68.42609063428515
