,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",186.37029156903702,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
1,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,2,,,,"[0.959026476063805, -2.0165276355285293]",107.60359064595582,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
2,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",57.95871755910727,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
3,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,4,,,,"[1.3933642242328208, 3.270503439016002]",201.91657495906807,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
4,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,5,,,,"[-2.543624991465423, -4.935072423787768]",362.3542898551839,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
5,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",69.11249641235369,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
6,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",807.1813822081242,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
7,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,8,,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
8,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",102.04580508973889,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
9,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",82.41713884084454,,,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
10,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,11,1.0,2.9868479109578248,12.11350512677157,"[5.0, 4.486581797237398]",533.6366346409341,155.38738592737073,0.4767732620239258,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
11,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,12,1.0,2.502693174253781,11.952981567306587,"[5.0, -5.0]",329.837695472348,202.6664824995342,0.5407392978668213,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
12,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,13,1.0,2.323967048162547,12.444700414237325,"[1.5830971415325006, 0.2062639331772765]",42.02043360165669,54.704154313908816,0.6340010166168213,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
13,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,14,0.5,2.2848865074662177,13.971818789319402,"[3.0047304317369994, 0.22697035975696045]",37.40172230505807,47.1447306118728,0.5390291213989258,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
14,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,15,0.5,2.9007467184029334,11.000126598932084,"[-5.0, -1.1849144352364631]",134.48026264992671,163.9043763366011,0.5364363193511963,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
15,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,16,0.5,3.0275600065394053,10.852937969018585,"[-0.013137423988294244, 0.2753349024137744]",52.28836971406985,86.65135196685921,0.5362696647644043,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
16,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,17,0.5,3.4510620529856664,10.851350526914999,"[5.0, -0.44315698608965814]",53.42076916244159,97.78780800753462,0.5445358753204346,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
17,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,18,0.5,3.72676979259474,11.318476098271384,"[-0.6439296925339304, -1.0454632129877355]",74.45670251539038,86.56557385532912,0.5683891773223877,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
18,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,19,0.5,4.0019304423034265,10.006303280228222,"[2.2075191864141797, -0.9142668024859345]",53.53937463847333,63.95935742042242,0.7376534938812256,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
19,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,20,0.5,4.276541754754281,10.799034698472932,"[1.208679764778358, 1.291494178838808]",40.64995540491509,64.57352548287565,0.6115453243255615,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
20,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,21,0.5,4.527263214484204,13.197352506415676,"[2.583464041876458, 1.0957421043797606]",44.5320447692592,39.20948694735233,0.6747596263885498,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
21,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,22,0.5,4.75226288360836,14.888704905671014,"[3.930620020344389, -0.12781301659332925]",46.00470753692494,35.59607415199035,0.726485013961792,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
22,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,23,3.0,3.334231910276697,14.85793869052359,"[-3.879843005875503, 0.1853247813264979]",83.64758317356059,62.173284605603456,1.0245554447174072,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
23,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,24,3.0,3.346725311709031,14.6227570623079,"[1.57152558367408, -5.0]",328.11424746099544,254.49096412346245,1.1191926002502441,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
24,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,25,3.0,3.387307859458214,13.883860511643531,"[5.0, 0.9803495051066368]",58.88639177515549,34.26429513121248,1.0478367805480957,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
25,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,26,0.5,5.337116520287207,15.467596811187317,"[0.7908267789890486, -0.5527945076837373]",61.159445424684804,53.66043502567345,1.002823829650879,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
26,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,27,0.5,5.467602335981878,14.547562125534856,"[-2.6720026339647895, -1.1242647991853616]",119.25122756162725,105.49412237521285,1.0108768939971924,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
27,bbob.rastrigin,2,10,20,vm_angles_ext,20.91,0,28,0.5,5.518182181558767,13.608122332283896,"[3.525567071595436, 1.0592130598744642]",42.08844614860945,48.23125221022498,0.953951358795166,"[4.270344553570055, 0.8243443793974414]",27.993211916111303
