,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rastrigin,4,20,40,none,20.91,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",505.2623715790055,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
1,bbob.rastrigin,4,20,40,none,20.91,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",251.74807536666586,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
2,bbob.rastrigin,4,20,40,none,20.91,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",376.8701801254908,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
3,bbob.rastrigin,4,20,40,none,20.91,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",144.9004590136294,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
4,bbob.rastrigin,4,20,40,none,20.91,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",416.60060328175507,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
5,bbob.rastrigin,4,20,40,none,20.91,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",168.11414050498587,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
6,bbob.rastrigin,4,20,40,none,20.91,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",206.51448853072978,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
7,bbob.rastrigin,4,20,40,none,20.91,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",249.31534521345927,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
8,bbob.rastrigin,4,20,40,none,20.91,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",402.4366767277999,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
9,bbob.rastrigin,4,20,40,none,20.91,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",738.4865498443324,,,"[1.132438052700888, -0.1114370831604997, 2.108342340050511, 1.3212729853561311]",38.1373657246162
