,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",34.97950041700208,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
1,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
2,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",57.34542668700686,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
3,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,4,,,,"[1.3933642242328208, 3.270503439016002]",71.12118293438957,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
4,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,5,,,,"[-2.543624991465423, -4.935072423787768]",168.4353559655864,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
5,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",33.738773031076384,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
6,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",100.80973054304178,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
7,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,8,,,,"[4.270344553570055, 0.8243443793974414]",138.75322598942782,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
8,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",194.62087700692538,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
9,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",52.051951890580575,,,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
10,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,11,0.5,1.4011038969448681,-5.410951114721557,"[0.39730645337368453, -1.4160631011361682]",-20.102549428715047,8.010472943498343,1.5721080303192139,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
11,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,12,2.0,2.4588454582747548,-3.114605631011515,"[2.4028470530875357, -4.226017159255272]",-20.979341192377884,17.32074701837591,2.029560089111328,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
12,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,13,inf,2.1431454391850755,-1231.0824952895014,"[5.0, -5.0]",60.45507282646022,48.41917301603691,1.9833524227142334,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
13,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,14,3.0,2.6249019419829964,-0.8504828313210856,"[2.0655810366965057, -2.872799513461301]",-18.19085436162464,-43.800168424575155,2.2397732734680176,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
14,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,15,1.5,2.96573246549154,-1.0530196241431278,"[1.2045193290394378, -5.0]",0.901370182127458,5.056994428290494,2.216980457305908,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
15,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,16,1.0,3.5028128919773143,-0.9932662757606001,"[1.0034885947651475, -3.181138933559329]",-3.611838368900422,-25.091057797752605,2.445162534713745,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
16,bbob.rastrigin_rotated,2,10,20,R2_cv,-44.77,0,17,0.5,4.053045851343954,-0.5724848892812303,"[1.532941205721906, -1.4822554158370562]",-25.317563658188945,-14.881503807769889,2.4202075004577637,"[0.959026476063805, -2.0165276355285293]",-40.572551126865434
