,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",90.73928368560914,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
1,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",353.06100904314803,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
2,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",210.0102038802986,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
3,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",460.9626928304375,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
4,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",213.59557670566758,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
5,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",203.04774806539064,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
6,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",89.10127822347752,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
7,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",289.81116167647724,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
8,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",287.0924884065718,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
9,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",149.85624122264502,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
10,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",21.498461945024424,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
11,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",67.39163238288728,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
12,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",204.84378106641677,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
13,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",221.32121865559427,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
14,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",688.4151941996671,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
15,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",218.16655175319883,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
16,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",112.91521760130684,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
17,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",363.41325379711134,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
18,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",185.91744741439126,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
19,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",296.40195142876655,,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
20,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,21,2.5,1.6395386385792223,,"[0.4606257983903673, -1.7747250743529122, 0.6497632122293132, -2.408273390511103]",41.740857079160186,98.17507522468742,0.5181035995483398,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
21,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,22,2.5,2.1169192038613973,,"[-0.6857355298231529, -3.7079682775841984, -0.5285842667171982, -2.4414919729877176]",44.68891054648251,105.62236339243863,0.526787281036377,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
22,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,23,2.5,2.4322687532452565,,"[-2.325548804757088, -1.2987401728899313, -0.7696101892091658, -1.8635571990724695]",105.15925580300237,101.74784913149604,0.40677738189697266,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
23,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,24,2.5,2.548916436619078,,"[1.8136466914039897, -3.196984983284439, -1.7206672091593829, -0.9232834598766048]",5.177662529452952,121.9685952808354,0.4732692241668701,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
24,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,25,2.5,2.772884177707997,,"[2.043587104477702, -2.860687461704147, -2.3240122406834685, -4.328983573576919]",143.65951197785228,109.44247108975622,0.3448503017425537,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
25,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,26,2.5,2.7514344098883163,,"[0.13007184120484228, -5.0, -2.2849841815003007, 0.7634035621239769]",56.33346500443324,99.69493421893337,0.2739415168762207,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
26,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,27,2.5,2.9238744634558587,,"[4.2662735077157095, -5.0, -3.3295924490820483, 0.380132354352015]",234.88762040913772,131.10737817771397,0.2730426788330078,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
27,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,28,2.5,2.7833157293424735,,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439,79.19695670872692,0.2330310344696045,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
28,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,29,2.5,3.0443445807502454,,"[0.5063138328001653, -2.2926100803284877, -0.1935597933856128, 4.874868474952397]",4.9754494059323875,115.56390204788366,0.2240142822265625,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
29,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,30,2.5,3.1706350949285147,,"[-0.5276442184087325, -5.0, -2.141908803597551, 5.0]",40.328190518284835,102.97075662802841,0.23498845100402832,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
30,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,31,2.5,3.2738191216710284,,"[5.0, 5.0, 3.214179386693283, 5.0]",240.54506456282203,172.1474649130147,0.15105414390563965,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
31,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,32,2.5,3.2114955344004366,,"[2.6209973491177583, -5.0, -0.2751122206699339, 5.0]",28.39033145779775,106.41407636723808,0.19844651222229004,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
32,bbob.rastrigin_rotated,4,20,40,none,-44.77,0,33,2.5,3.2654282032041135,,"[-5.0, -5.0, -5.0, -5.0]",375.9217658819389,176.88979909996823,0.20889925956726074,"[1.326514017886336, -2.0331374911188598, -1.050686067973137, 1.784259501773166]",-15.92215236413439
