,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",90.73928368560914,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
1,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",353.06100904314803,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
2,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",210.0102038802986,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
3,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",460.9626928304375,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
4,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",213.59557670566758,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
5,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",203.04774806539064,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
6,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",89.10127822347752,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
7,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",289.81116167647724,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
8,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",287.0924884065718,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
9,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",149.85624122264502,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
10,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",21.498461945024424,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
11,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",67.39163238288728,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
12,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",204.84378106641677,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
13,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",221.32121865559427,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
14,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",688.4151941996671,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
15,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",218.16655175319883,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
16,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",112.91521760130684,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
17,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",363.41325379711134,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
18,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",185.91744741439126,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
19,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",296.40195142876655,,,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
20,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,21,1.0,1.7495511367528642,0.9438845440619205,"[0.49518041611065927, -1.836404386296571, 0.38646282228364404, -2.3670645043036074]",24.865401884865186,107.4983819670274,1.0222692489624023,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
21,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,22,1.0,2.3535620173798186,0.9562788906009245,"[-0.18618568882597872, -3.560973069834986, -0.9718085461736853, -2.327891097426997]",13.514205973323548,101.29354979284105,1.364288091659546,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
22,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,23,1.0,2.884761794893675,0.9599535018889858,"[0.9133951626629644, -2.0577418095690874, -1.8174146684658026, -4.419540944732137]",89.14673076568144,105.07231102973743,1.021956205368042,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
23,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,24,1.0,3.093067698730015,0.9588668448947048,"[1.8401189273453027, -3.4673690310838574, -1.7150633024571647, -0.6057116667545828]",22.169677766683414,101.04844704813334,1.110018014907837,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
24,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,25,1.0,3.4307438073521714,0.9607366622365673,"[-0.6101961034943303, -5.0, -3.5438164903874823, -0.7646184956663643]",100.10534360518588,106.94282101961028,1.1474545001983643,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
25,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,26,0.5,4.185494533845041,0.9579722959033304,"[2.0705900289245154, -5.0, -2.0523254475693613, -3.1010367434771617]",100.76725279210285,90.22151711944494,0.869586706161499,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
26,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,27,1.0,3.6730059598244154,0.9556657028775988,"[-2.818920619351891, -5.0, -2.5653841503431947, -5.0]",155.74839429861032,149.87161152566387,1.1200933456420898,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
27,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,28,0.5,4.375149276460521,0.956243891436734,"[0.7129742897510288, -2.0995918753406504, -1.4206905172485846, -1.4467231811635572]",21.300874042994145,31.03095532099124,0.8617172241210938,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
28,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,29,0.5,4.88872847851871,0.9563357651554629,"[4.370728536449125, -4.805158524713314, -4.976380411551936, 0.2546282517259124]",398.47534764468844,145.51767122797338,0.8667287826538086,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
29,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,30,0.5,4.319164831285661,0.953650907140942,"[0.19988846482134973, -3.828776682890728, -0.8024566412684885, -0.5882479284738247]",46.596599720851735,35.254715274492355,1.0139987468719482,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
30,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,31,1.0,3.962830259285082,0.9564747646241704,"[5.0, 5.0, 2.6250996847288013, 5.0]",210.6549520741152,177.36767779017444,1.3233213424682617,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
31,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,32,1.0,3.8692330379350324,0.9543124779073878,"[5.0, 5.0, -0.28037272863403523, -5.0]",359.53653773478294,173.1789377821994,1.4213929176330566,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
32,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,33,1.0,3.7897205089700043,0.9564567014795474,"[-2.314407955334505, -2.0851319276686753, -1.477549118299922, -1.6834322920385427]",103.31444103386357,90.67739709437348,1.4975266456604004,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
33,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,34,1.0,3.914383076624585,0.9540486121098807,"[1.78719165615519, -1.1205973607299209, -0.2734118671793768, 0.8322156609265758]",-19.840124402302745,86.19669596392657,1.3189177513122559,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
34,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,35,1.0,4.1754895884727325,0.9590951094267233,"[0.6185294286226702, -2.007220483858902, -0.7992194664348795, 2.631733511973573]",19.618342354104605,66.01809780907665,1.5119335651397705,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
35,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,36,1.0,4.418268939613175,0.9594729103042642,"[0.9328373025963499, 0.25754946467964945, 1.097801244163752, 2.433409848109017]",25.39790043177775,83.61853622397976,1.283083200454712,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
36,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,37,0.5,5.558255944957334,0.9564543766224438,"[0.3539651460175704, -1.0082359873567028, -0.513071557823734, 0.7115854553978863]",30.747803096073405,12.255028012794781,1.2150027751922607,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
37,bbob.rastrigin_rotated,4,20,40,suitability_ext,-44.77,0,38,0.5,5.831009574723561,0.9534680241807191,"[1.612861942356397, -1.98230600619525, -0.38941078115297234, -0.4181028842042025]",-4.230087169770371,7.788096677856998,1.254101037979126,"[1.6303110299703756, -2.6624388643420143, -0.43797916639173695, 1.2992974748656634]",-29.05508379110299
