,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock,2,10,20,none,-135.13,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",6773.036026781767,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
1,bbob.rosenbrock,2,10,20,none,-135.13,0,2,,,,"[0.959026476063805, -2.0165276355285293]",36112.77087000672,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
2,bbob.rosenbrock,2,10,20,none,-135.13,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",76139.20115931545,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
3,bbob.rosenbrock,2,10,20,none,-135.13,0,4,,,,"[1.3933642242328208, 3.270503439016002]",31887.941825658596,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
4,bbob.rosenbrock,2,10,20,none,-135.13,0,5,,,,"[-2.543624991465423, -4.935072423787768]",413.0702143244823,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
5,bbob.rosenbrock,2,10,20,none,-135.13,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-105.86599596927364,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
6,bbob.rosenbrock,2,10,20,none,-135.13,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",7243.176838879017,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
7,bbob.rosenbrock,2,10,20,none,-135.13,0,8,,,,"[4.270344553570055, 0.8243443793974414]",328233.14036540204,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
8,bbob.rosenbrock,2,10,20,none,-135.13,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",1119.9639227926427,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
9,bbob.rosenbrock,2,10,20,none,-135.13,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",259060.322779194,,,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
10,bbob.rosenbrock,2,10,20,none,-135.13,0,11,2.5,3.2723042949968013,,"[-5.0, -2.6524759953185346]",-40.568758922119216,21076.162103609808,0.0929570198059082,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
11,bbob.rosenbrock,2,10,20,none,-135.13,0,12,2.5,3.357798787449331,,"[-1.6868050000264279, 2.943162549246079]",769.4099520400416,1291.5552569931315,0.09995198249816895,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
12,bbob.rosenbrock,2,10,20,none,-135.13,0,13,2.5,3.546873437175909,,"[-5.0, -5.0]",952.8573872895998,7240.068846256043,0.08760356903076172,"[-3.78661977723401, -4.003298086806721]",-121.56637339248913
