,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",6773.036026781767,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
1,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,2,,,,"[0.959026476063805, -2.0165276355285293]",36112.77087000672,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
2,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",76139.20115931545,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
3,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,4,,,,"[1.3933642242328208, 3.270503439016002]",31887.941825658596,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
4,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,5,,,,"[-2.543624991465423, -4.935072423787768]",413.0702143244823,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
5,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-105.86599596927364,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
6,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",7243.176838879017,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
7,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,8,,,,"[4.270344553570055, 0.8243443793974414]",328233.14036540204,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
8,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",1119.9639227926427,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
9,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",259060.322779194,,,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
10,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,11,0.5,4.661453796273589,8.043589866975944,"[-5.0, -2.5851802729310425]",-52.79628581197562,13261.163352625517,0.39197230339050293,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
11,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,12,0.5,5.017997309635244,11.570298932697357,"[-5.0, -5.0]",952.8573872895998,13395.375430426735,0.38281750679016113,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
12,bbob.rosenbrock,2,10,20,vm_angles_ext,-135.13,0,13,0.5,5.359912856678623,16.118740004286224,"[-1.1479035524722647, 4.988481916910645]",600.1055192321456,19902.007440322195,0.45718955993652344,"[-3.554650373936056, -3.653473007298546]",-134.05942060931443
