,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",5745.35304291738,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
1,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,2,,,,"[0.959026476063805, -2.0165276355285293]",146.04896921166426,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
2,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",11987.412173993596,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
3,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,4,,,,"[1.3933642242328208, 3.270503439016002]",25577.01128936491,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
4,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,5,,,,"[-2.543624991465423, -4.935072423787768]",56348.35795827765,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
5,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",123.81263850950921,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
6,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",8135.13192130922,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
7,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,8,,,,"[4.270344553570055, 0.8243443793974414]",10916.531232734125,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
8,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",2683.3120263728774,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
9,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",958.4369039954097,,,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
10,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,11,3.0,1.4599151121861387,-44.832645341563996,"[2.5776167796797984, -3.636907479693997]",5090.513348446459,7441.559692802551,1.4613025188446045,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
11,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,12,2.5,1.5610017155644136,-6.772430643421041,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945,4950.912555975954,1.3330214023590088,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
12,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,13,1.5,1.8933386541080053,-18.705938278764613,"[5.0, -5.0]",14664.22559447242,9124.157398313098,1.277132511138916,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
13,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,14,1.0,1.8031163756813686,-3.4687734370571626,"[-2.5663068868704806, 2.0588242043039116]",-230.22062715546613,6143.202693206249,1.481133222579956,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
14,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,15,1.5,1.99237730640711,-2.8735989116884513,"[5.0, 5.0]",250012.85255918326,12372.747970240482,1.3932602405548096,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
15,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,16,inf,3.0565384228511876,-4.603045690716197,"[-5.0, -1.9210160202056046]",1597.0904462173974,21702.32205910183,1.906076192855835,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
16,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,17,inf,3.0626880088394506,-3.1000220836570116,"[-1.433533724560783, 5.0]",34928.6565196963,4624.208559029488,1.9889941215515137,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
17,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,18,1.0,4.255357062047773,-2.310772393168165,"[-5.0, 3.5616358999320576]",-65.78804473961964,4088.708159188598,2.0030627250671387,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
18,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,19,0.5,4.536964369733614,-2.5655644321501696,"[-3.7745432230031266, -0.35606156688258245]",377.57563094256597,1662.9089448313716,1.9825501441955566,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
19,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,20,0.5,4.724175387822338,-2.294211461605046,"[2.211072733954673, -0.23270314182387988]",376.8127831414484,-1448.8912627344544,2.11272931098938,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
20,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,21,inf,3.102850643662656,-1.3434437529609309,"[1.0476025731144256, -5.0]",28653.771366766297,11493.43029411335,2.436326026916504,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
21,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,22,inf,3.0585417895331544,-1.2268173515688292,"[-0.2571276495245731, 2.161139102145241]",1687.35383519487,-5815.798079329703,2.3286938667297363,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
22,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,23,inf,3.00671292750331,-1.7136539083890088,"[5.0, -0.9794875655006816]",3402.9407721345033,-4188.261804840589,2.4026882648468018,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
23,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,24,inf,2.9579035377903358,-0.705576256916072,"[-2.365211947941174, -2.0005558264611243]",381.59553322526307,-100.56437997552712,2.4616572856903076,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
24,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,25,inf,2.994293347450865,-0.5668754490176664,"[-5.0, 5.0]",2682.627119398712,2950.757412228413,2.6544578075408936,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
25,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,26,inf,3.013329521190818,-0.38310008438944043,"[-0.8465045342499327, -1.6790629935191905]",-224.9186394814557,-3756.583941097877,2.859825611114502,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
26,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,27,2.0,4.328369559677284,-2.1766765960594774,"[5.0, -2.9861063319882586]",2785.384583808266,6643.123656977723,3.0213117599487305,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
27,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,28,3.0,3.9881953618256794,-0.9135530853550827,"[-4.990817276159726, -0.37538288509482687]",383.11119690771574,1284.0248614999455,3.319821357727051,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
28,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,29,inf,2.919522331464459,-1.164079999083981,"[-4.011585903792734, 2.999916864114682]",-162.6275474354199,-1374.4763618238358,3.2106120586395264,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
29,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,0,30,inf,2.9260914195957417,-1.082541845143736,"[0.8999477682957724, 1.169828333546949]",923.6794363094614,-1781.6078497631352,3.2686309814453125,"[0.3609055378412405, -0.017126240451982546]",-354.7800140065945
30,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,1,1,,,,"[3.488178375299743, 2.0495363036740644]",22425.920517199425,,,"[-3.04422675588905, -1.156610661100709]",-339.1055036169539
31,bbob.rosenbrock_rotated,2,10,20,R2_cv,-359.44,1,2,,,,"[4.855840387280367, 0.051350552862755805]",7438.738260397328,,,"[-3.04422675588905, -1.156610661100709]",-339.1055036169539
