,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",5745.35304291738,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
1,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,2,,,,"[0.959026476063805, -2.0165276355285293]",146.04896921166426,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
2,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",11987.412173993596,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
3,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,4,,,,"[1.3933642242328208, 3.270503439016002]",25577.01128936491,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
4,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,5,,,,"[-2.543624991465423, -4.935072423787768]",56348.35795827765,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
5,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",123.81263850950921,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
6,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",8135.13192130922,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
7,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,8,,,,"[4.270344553570055, 0.8243443793974414]",10916.531232734125,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
8,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",2683.3120263728774,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
9,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",958.4369039954097,,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
10,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,11,0.5,0.970277595100422,,"[2.2802655299740895, -1.710931647591273]",190.19112627844112,6982.794765678724,1.2809193134307861,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
11,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,12,0.5,1.6004590152592086,,"[3.120269839839995, -3.5562853578408515]",4358.319799627824,6825.2227888958905,1.317392349243164,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
12,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,13,0.5,1.7250877915998573,,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613,4681.5008253941,1.257171869277954,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
13,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,14,0.5,2.0905363604123663,,"[5.0, -5.0]",14664.22559447242,8069.91694420782,1.1739530563354492,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
14,bbob.rosenbrock_rotated,2,10,20,predicted,-359.44,0,15,0.5,2.005063125831193,,"[-2.635853052121994, 1.8463630665491586]",-41.65063037190271,5863.171286074564,1.2900135517120361,"[0.1521909002744598, -0.4387250474368751]",-355.0987950716613
