,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",12926.624020443764,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
1,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",13409.578765461483,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
2,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",41229.29439052182,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
3,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",40577.38958045848,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
4,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",20783.37676412235,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
5,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",22110.636034290612,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
6,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",38051.081312115304,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
7,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",72788.7152565653,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
8,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",63027.071131245626,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
9,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",10163.189018980573,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
10,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",406.82008657101477,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
11,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",15800.465734698459,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
12,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",5419.367425337309,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
13,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",84418.64597422558,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
14,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",5581.888655382841,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
15,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",3667.9279334199737,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
16,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",152686.75109839896,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
17,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",127410.87238813215,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
18,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",104503.16078941469,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
19,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",6282.876961945241,,,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
20,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,21,1.5,1.935571240057898,0.9389663791018302,"[-1.7041946782879538, -1.986141835189632, 2.089503869978666, -2.3332343318207602]",66.20269576680346,13913.898593350314,0.7653474807739258,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
21,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,22,1.0,2.362255131000697,0.9458782742681048,"[1.9452978512751071, -0.43243952136709646, -2.6088869357136253, 1.4255944516538512]",1184.5676401006513,14989.596776980918,1.087233543395996,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
22,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,23,1.0,2.7071671358572207,0.9459968602825746,"[3.3232552856938216, 1.336748036715638, -5.0, 3.037316304263811]",3733.189825237148,14873.964363415573,1.1505367755889893,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
23,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,24,0.5,3.1446526623753495,0.9318930514058071,"[3.601033065301693, -1.5253666241152637, -5.0, 0.5476162056791641]",23329.556206341585,17466.368380600226,0.7106249332427979,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
24,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,25,1.0,2.9483532789079048,0.9282570281124498,"[-3.831944585205526, -3.8789062337076627, 2.5423486751477578, -4.910571037999937]",24273.46654807472,21413.663979677614,1.1257681846618652,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
25,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,26,1.0,2.9349968637396753,0.9263853584138282,"[0.31717533310572327, -1.949668051687996, -2.536786914752769, -2.8513517439596283]",50886.61479617414,19469.551879738952,1.1660339832305908,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
26,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,27,1.0,2.687204849392926,0.9326848625629114,"[4.2339669936688775, 3.9755854635274606, -3.7587555236026713, 4.760382195651788]",29637.241925720213,23040.56483844661,1.130035400390625,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
27,bbob.rosenbrock_rotated,4,20,40,suitability_ext,-359.44,0,28,1.0,2.6634256083972274,0.9259273503451724,"[1.4660256169216321, -0.07662017780038699, 0.6442257351933414, 1.6027282679009192]",46.71823543223104,18224.58929941412,1.1955511569976807,"[-0.19126441696848062, 0.8220812954881932, -0.327463992959517, -0.6227828424539709]",-268.56979873414014
