,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,1,,,,"[-1.4092404218303631, 2.4325533215590323, -1.5102433809840488, -4.004131908882132, -3.203317559800068, 1.0218111056805697, 3.0983410560582048, -4.432374140246]",167163.06494205762,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
1,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,2,,,,"[1.3640937521336447, -3.7337681059469423, -2.703963388530383, -0.0006846250425374123, 4.2856489308531085, 1.7416036061736335, -0.4324138616074862, 0.9560860948493595]",32259.68606312913,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
2,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,3,,,,"[2.7842052694125288, -1.3853653050622725, 0.17507202736565386, 3.144328194700586, -1.2570799177863656, 0.9689291808751088, 1.5823438963265923, -3.4117973778935626]",48334.07996756744,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
3,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,4,,,,"[4.846153722129687, 3.9040806114345283, 1.5006975160526972, -3.9952088346940577, 1.8286145038798267, -3.4126148190669543, -3.922111682642735, 1.1527696440052253]",118070.52851045683,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
4,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,5,,,,"[2.2162258737443974, -0.4303720850485204, 4.868661419381068, 4.1724395311102604, 4.628541160292052, -2.72237195858725, -1.7335108789890623, 1.9105512008227326]",249282.68996138955,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
5,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,6,,,,"[-4.392882457682441, 2.1695326522310143, -4.898575007549924, 2.6655221936232163, -1.5979047501320403, 2.027431411998802, -0.5567893983833452, -0.9057967861715106]",47947.222697606034,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
6,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,7,,,,"[-0.5210038358955966, -1.9581610369133493, -4.446774576872171, 3.440157639251762, 3.030878942297324, -1.2646420087012986, 0.16597073486358482, 4.212430133276291]",85772.08542311443,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
7,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,8,,,,"[3.637415158337678, 2.8009189324281767, -1.307660552248437, 1.9869946747338973, 0.8988620400446177, -0.2996282611273138, -2.5226882614047805, 2.1049169035032875]",46116.59082510302,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
8,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,9,,,,"[2.6753259667952705, 2.5820012805109105, 4.200121139007946, -4.985528277626624, -4.841277542061207, 2.473626180107443, -1.4072770378849278, 2.518211361733033]",75330.81028703242,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
9,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,10,,,,"[-3.8600942886789458, -2.4886476234226844, -0.6249739534219119, 1.143692843787731, -2.1550533630038444, -2.998774126308831, -2.4872359187344415, 4.384988715172726]",124033.39212211927,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
10,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,11,,,,"[0.5605677886729268, -1.624355673871905, 3.3676719599508083, -2.446446425178452, 2.896336037661083, -4.433620892947182, 2.8222142805025623, 2.2669850783466554]",79519.5215385681,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
11,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,12,,,,"[-1.5287331583202262, -2.6822537792690775, -3.98185598215614, -3.4919815474811617, 1.246323423758657, 2.5340899774386063, 4.504701239983413, 0.26069745509725806]",307980.94537881046,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
12,bbob.rosenbrock_rotated,8,40,80,none,-359.44,0,13,,,,"[-3.2871910030581244, 1.2568427965442623, 4.27751611106987, 2.044406543114232, 2.6300030190480417, -3.5580932299098262, 4.299529855320422, -0.7308825399458669]",110108.88679864298,,,"[2.1092326520827642, -0.3410443190038399, 2.1565562281972386, -1.150566011360987, -1.5905499608813582, -1.9320431057354013, 0.801399874925621, 0.5019951778173645]",1797.4400121461458
