,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.schaffers10,2,10,20,none,-38.72,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",722.6217308371268,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
1,bbob.schaffers10,2,10,20,none,-38.72,0,2,,,,"[0.959026476063805, -2.0165276355285293]",35.55563837435513,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
2,bbob.schaffers10,2,10,20,none,-38.72,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-26.99135581020753,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
3,bbob.schaffers10,2,10,20,none,-38.72,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-34.46440296306426,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
4,bbob.schaffers10,2,10,20,none,-38.72,0,5,,,,"[-2.543624991465423, -4.935072423787768]",2454.649578225471,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
5,bbob.schaffers10,2,10,20,none,-38.72,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",74.74137356548665,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
6,bbob.schaffers10,2,10,20,none,-38.72,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",27.061132109995114,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
7,bbob.schaffers10,2,10,20,none,-38.72,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-32.78707406826079,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
8,bbob.schaffers10,2,10,20,none,-38.72,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",258.41886098994905,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
9,bbob.schaffers10,2,10,20,none,-38.72,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-9.770226700689186,,,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
10,bbob.schaffers10,2,10,20,none,-38.72,0,11,2.5,3.6941854543656696,,"[5.0, 5.0]",-22.28196027403853,162.01656547483097,0.09597229957580566,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
11,bbob.schaffers10,2,10,20,none,-38.72,0,12,2.5,3.7040299040081814,,"[5.0, -5.0]",31.764916037953114,246.15785302042895,0.13572907447814941,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
12,bbob.schaffers10,2,10,20,none,-38.72,0,13,2.5,3.6530727587492744,,"[-1.1479035524722647, 4.988481916910645]",-14.638177988244447,-10.84898899516503,0.13693475723266602,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
13,bbob.schaffers10,2,10,20,none,-38.72,0,14,2.5,3.8630089496153595,,"[-1.5466428425309398, 2.522747483385567]",6.533432844937998,-70.87659345029294,0.15792417526245117,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
14,bbob.schaffers10,2,10,20,none,-38.72,0,15,2.5,3.9777145388264974,,"[2.565616095433049, 5.0]",-27.112748012765017,-34.04571220403912,0.176497220993042,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
15,bbob.schaffers10,2,10,20,none,-38.72,0,16,2.5,4.1250868315968265,,"[5.0, 2.8903205071459634]",-24.343789584423163,-35.52415237003382,0.14893412590026855,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
16,bbob.schaffers10,2,10,20,none,-38.72,0,17,2.5,4.262601323254651,,"[0.4402447661482058, 0.4064268571089724]",81.12939010608915,-82.95736277802774,0.17539191246032715,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
17,bbob.schaffers10,2,10,20,none,-38.72,0,18,2.5,4.079425688087679,,"[2.8034038405846697, -4.266070761402108]",182.19673618642588,125.20401178514139,0.16293096542358398,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
18,bbob.schaffers10,2,10,20,none,-38.72,0,19,2.5,4.12330564821443,,"[5.0, -2.696878412055155]",9.1194245021492,-10.96626301226641,0.15292644500732422,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
19,bbob.schaffers10,2,10,20,none,-38.72,0,20,2.5,4.182025591572463,,"[3.455485971909351, 3.5163940730451855]",-33.83980040283875,-58.45111920773928,0.15192818641662598,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
20,bbob.schaffers10,2,10,20,none,-38.72,0,21,2.5,4.257894925074915,,"[-5.0, 5.0]",260.53368073732383,70.10316817514745,0.17591428756713867,"[3.6285330522095975, 2.039717261136089]",-35.29995193858686
