,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.schaffers10,2,10,20,predicted,-38.72,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",722.6217308371268,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
1,bbob.schaffers10,2,10,20,predicted,-38.72,0,2,,,,"[0.959026476063805, -2.0165276355285293]",35.55563837435513,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
2,bbob.schaffers10,2,10,20,predicted,-38.72,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-26.99135581020753,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
3,bbob.schaffers10,2,10,20,predicted,-38.72,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-34.46440296306426,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
4,bbob.schaffers10,2,10,20,predicted,-38.72,0,5,,,,"[-2.543624991465423, -4.935072423787768]",2454.649578225471,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
5,bbob.schaffers10,2,10,20,predicted,-38.72,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",74.74137356548665,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
6,bbob.schaffers10,2,10,20,predicted,-38.72,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",27.061132109995114,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
7,bbob.schaffers10,2,10,20,predicted,-38.72,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-32.78707406826079,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
8,bbob.schaffers10,2,10,20,predicted,-38.72,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",258.41886098994905,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
9,bbob.schaffers10,2,10,20,predicted,-38.72,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-9.770226700689186,,,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
10,bbob.schaffers10,2,10,20,predicted,-38.72,0,11,0.5,4.248713864548368,,"[5.0, 5.0]",-22.28196027403853,141.59235588846204,1.1264493465423584,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
11,bbob.schaffers10,2,10,20,predicted,-38.72,0,12,0.5,4.3829323033518985,,"[-0.6622748625610015, 5.0]",-23.205615177509788,32.75979694812912,1.1964247226715088,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
12,bbob.schaffers10,2,10,20,predicted,-38.72,0,13,0.5,4.721556129581065,,"[5.0, -5.0]",31.764916037953114,319.1632104450448,1.2855885028839111,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
13,bbob.schaffers10,2,10,20,predicted,-38.72,0,14,0.5,4.4663025228473066,,"[2.560898743636902, 4.976104749240811]",-24.3022665219219,-5.2629896234463445,1.3174588680267334,"[3.460297005949872, 3.4242447641895715]",-35.86682362809469
