,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",-28.5996401204548,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
1,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",-26.277324802891435,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
2,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",6.668831879060804,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
3,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",37.26867024574584,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
4,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",-17.628551927456037,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
5,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",-17.200581139112963,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
6,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",0.4989276790021506,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
7,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",-15.676085388272352,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
8,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",49.500009046710204,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
9,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",-20.55346087455804,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
10,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",-20.882315341870488,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
11,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",20.22859838444954,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
12,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",19.143118303154026,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
13,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",-10.012915201614383,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
14,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",118.75364475801973,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
15,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",-34.2245865718869,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
16,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",8.617716661777777,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
17,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",45.665323710633714,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
18,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",322.5345235186205,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
19,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",91.72581829029988,,,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
20,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,21,0.5,5.452283459528644,13.356021899843412,"[5.0, 5.0, -5.0, 5.0]",-24.38115572721406,-7.793154597232721,0.6751444339752197,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
21,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,22,0.5,5.5982123481078325,14.493309950430179,"[5.0, 5.0, 1.9005325923124807, 5.0]",-24.83001939225136,-3.196508195064812,0.6652367115020752,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
22,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,23,0.5,5.727270795438404,15.89032166151211,"[5.0, 5.0, -5.0, -3.922824550710791]",-8.9274386839557,1.6813210422989044,0.7185044288635254,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
23,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,24,0.5,5.737441538316537,15.956407332658737,"[0.04008559584816741, 5.0, -5.0, 5.0]",-12.973165997330351,-20.26429260972515,0.7591593265533447,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
24,bbob.schaffers10,4,20,40,vm_angles_ext,-38.72,0,25,0.5,5.825316387702321,17.610772885315544,"[5.0, -1.8130378660617898, -5.0, -0.07400794537427877]",-23.371021216532867,-8.64987735241154,0.8644723892211914,"[2.083627192808285, 2.406179063959991, 0.518283377113841, 2.8547414951326084]",-36.3425371930662
