,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.schwefel,4,20,40,R2_cv,183.12,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",144785.6103138303,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
1,bbob.schwefel,4,20,40,R2_cv,183.12,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",78976.42723228305,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
2,bbob.schwefel,4,20,40,R2_cv,183.12,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",160659.52663114047,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
3,bbob.schwefel,4,20,40,R2_cv,183.12,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",21891.860185677106,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
4,bbob.schwefel,4,20,40,R2_cv,183.12,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",167440.0032528209,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
5,bbob.schwefel,4,20,40,R2_cv,183.12,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",14938.200257687316,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
6,bbob.schwefel,4,20,40,R2_cv,183.12,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",1690.2234220249375,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
7,bbob.schwefel,4,20,40,R2_cv,183.12,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",26739.643369100497,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
8,bbob.schwefel,4,20,40,R2_cv,183.12,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",15719.000724322923,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
9,bbob.schwefel,4,20,40,R2_cv,183.12,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",229895.12768947374,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
10,bbob.schwefel,4,20,40,R2_cv,183.12,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",4456.406860226201,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
11,bbob.schwefel,4,20,40,R2_cv,183.12,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",20666.646013227444,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
12,bbob.schwefel,4,20,40,R2_cv,183.12,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",9429.889193578252,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
13,bbob.schwefel,4,20,40,R2_cv,183.12,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",95174.67118519374,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
14,bbob.schwefel,4,20,40,R2_cv,183.12,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",5469.928992293019,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
15,bbob.schwefel,4,20,40,R2_cv,183.12,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",59728.20429307497,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
16,bbob.schwefel,4,20,40,R2_cv,183.12,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",13626.719162239637,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
17,bbob.schwefel,4,20,40,R2_cv,183.12,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",25094.94845097373,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
18,bbob.schwefel,4,20,40,R2_cv,183.12,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",56299.859522274615,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
19,bbob.schwefel,4,20,40,R2_cv,183.12,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",1500.8709901181037,,,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
20,bbob.schwefel,4,20,40,R2_cv,183.12,0,21,2.5,7.868674810455974,0.8939032680139704,"[4.903685221395795, 4.121509530115887, -3.8165056598053093, -4.748097107094939]",26777.35804366484,6484.023168628788,2.666778564453125,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
21,bbob.schwefel,4,20,40,R2_cv,183.12,0,22,3.0,7.497413834683982,0.30822518099864177,"[5.0, 5.0, 5.0, 1.1355342855145845]",29718.615872106766,24848.980704834645,2.9919285774230957,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
22,bbob.schwefel,4,20,40,R2_cv,183.12,0,23,2.5,7.783277645933838,0.7625325909897744,"[-4.499786858093186, -4.359201354756671, -2.8455305732967204, -4.950721246404579]",53414.127277790496,39135.65986134112,2.677962064743042,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
23,bbob.schwefel,4,20,40,R2_cv,183.12,0,24,2.0,8.15281368453711,0.7295357602011956,"[-5.0, 5.0, 5.0, -2.5661568055254103]",38759.57605466454,28364.505603333837,3.095170021057129,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
24,bbob.schwefel,4,20,40,R2_cv,183.12,0,25,1.5,8.748660754079015,0.5383660841565606,"[-5.0, -5.0, 5.0, -5.0]",62208.40079462091,27120.68978337183,2.8654866218566895,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
25,bbob.schwefel,4,20,40,R2_cv,183.12,0,26,inf,5.7995103076690375,0.49662383336282634,"[4.7973434232700605, -4.525597484348519, -4.5204975170889, -3.998626072059582]",95942.70740188601,46848.65363597874,2.79067063331604,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
26,bbob.schwefel,4,20,40,R2_cv,183.12,0,27,2.5,7.641298739396101,0.6469399629271031,"[-0.44407975562987523, 0.597966537399878, 5.0, -0.40530218378661786]",10307.204958645612,3175.964779734306,2.805617570877075,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
27,bbob.schwefel,4,20,40,R2_cv,183.12,0,28,2.0,8.142197494777953,0.6989585502469202,"[-5.0, 5.0, -5.0, -5.0]",49733.98173940613,33053.719278808276,3.529086112976074,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
28,bbob.schwefel,4,20,40,R2_cv,183.12,0,29,2.5,7.705347158478238,0.743007365281173,"[1.9030346188797262, 5.0, -1.0326128006393296, -2.110433466146323]",2602.5148665762404,-7860.799310677838,3.2088348865509033,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
29,bbob.schwefel,4,20,40,R2_cv,183.12,0,30,3.0,7.439479930853738,0.7878272231224105,"[-5.0, -2.311401795607251, 5.0, 2.4249113484329525]",29840.78813248292,24570.234478180217,3.6852190494537354,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
30,bbob.schwefel,4,20,40,R2_cv,183.12,0,31,3.0,7.463808147792231,0.7895137953141534,"[-0.6747463774328241, 1.193164339335117, -0.4277418702267808, -2.424094137864644]",909.0272088379061,-7509.024256443816,3.684534788131714,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
31,bbob.schwefel,4,20,40,R2_cv,183.12,0,32,3.0,7.514493020555349,0.7343855419111314,"[5.0, 5.0, 0.1253190731243039, -1.1661074418047122]",3308.2329962285876,1631.990776479397,3.7074036598205566,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
32,bbob.schwefel,4,20,40,R2_cv,183.12,0,33,2.0,8.45553627297038,0.6706143851334418,"[5.0, 5.0, 5.0, -5.0]",74044.89866976623,30518.361640673975,3.9779510498046875,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
33,bbob.schwefel,4,20,40,R2_cv,183.12,0,34,2.5,7.63815787179949,0.6762568186481572,"[5.0, -0.5204986493855825, 5.0, 0.547597259266406]",12801.529059546041,19964.066736343622,3.625077962875366,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
34,bbob.schwefel,4,20,40,R2_cv,183.12,0,35,2.5,7.714690031966574,0.6629958071725552,"[-0.6749439974866325, -0.5232478363272532, 2.3310939765905783, -2.0907689595010575]",187.23609920909587,-6951.841217740883,3.977978467941284,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
35,bbob.schwefel,4,20,40,R2_cv,183.12,0,36,2.0,8.285045788148217,0.6260529025975122,"[2.3474571796947132, 2.7386094026026844, 1.671121922720752, -0.49286725752885485]",469.3696196357459,675.377034964069,4.355776786804199,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
36,bbob.schwefel,4,20,40,R2_cv,183.12,0,37,2.5,7.901903817089704,0.7270717460347706,"[5.0, 1.5741079334820127, 1.4216955313937536, -1.1825308508577927]",2687.0266018905663,285.23586669418,3.977940559387207,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
37,bbob.schwefel,4,20,40,R2_cv,183.12,0,38,2.5,7.9914824056002605,0.7576180701173421,"[2.3143991838662608, -1.3529319804169908, 2.2129554917985805, -0.9202067404001805]",1935.9138911684208,1672.037759085877,4.235860586166382,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
38,bbob.schwefel,4,20,40,R2_cv,183.12,0,39,2.0,8.636863678492505,0.7651036180228958,"[-1.0412721906374813, 5.0, 1.0625799980324342, -1.8974603627344073]",4987.626651947338,9117.225321562175,4.7336585521698,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
39,bbob.schwefel,4,20,40,R2_cv,183.12,0,40,2.0,8.721151749677391,0.7630373604563838,"[3.314324537139953, 2.600199894983984, -0.6970722995891042, -2.3985974484753787]",997.7517058994257,-2570.737172646106,4.7776172161102295,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
40,bbob.schwefel,4,20,40,R2_cv,183.12,0,41,2.0,8.792846953026528,0.7678395708366038,"[-2.9329632696825145, -2.2335206274339026, 0.9982950349655635, -2.0434551715107405]",1119.1946774173148,2748.8663337054386,5.595837831497192,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
41,bbob.schwefel,4,20,40,R2_cv,183.12,0,42,3.0,7.902084403377626,0.5548267142676304,"[4.705349418016965, 4.893014305669409, -4.190834246946552, -0.7561447356395368]",33552.00411147381,16484.81451928434,5.852282762527466,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
42,bbob.schwefel,4,20,40,R2_cv,183.12,0,43,1.5,9.690261211127702,0.6929151871842496,"[-0.27447451190169636, 5.0, -2.6511172817381023, -3.9275088065206085]",11935.35307763642,12566.943104705242,5.4552061557769775,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
43,bbob.schwefel,4,20,40,R2_cv,183.12,0,44,1.5,9.756456831392338,0.7346088513121234,"[-2.3819212118948587, -1.6590211246503908, 3.0153186053737815, -0.30162863381708116]",510.5304728051329,1162.1763641837606,5.568009614944458,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
44,bbob.schwefel,4,20,40,R2_cv,183.12,0,45,2.0,8.97657792473792,0.7513169535361399,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691,-2782.8144458076276,6.258963108062744,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
45,bbob.schwefel,4,20,40,R2_cv,183.12,0,46,1.5,9.931105485352482,0.7431106933110389,"[2.053447512655266, -1.3829684334785461, 5.0, -1.559292130994894]",8151.630082621629,8483.41718501105,5.552510976791382,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
46,bbob.schwefel,4,20,40,R2_cv,183.12,0,47,1.5,9.995031604293471,0.5341307871697236,"[-2.6144536485686856, 1.739036922172396, 1.2053381958002636, -1.746790875954743]",193.557650134561,4070.8129463061778,5.79857063293457,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
47,bbob.schwefel,4,20,40,R2_cv,183.12,0,48,1.5,10.067856848487635,0.5354336047924925,"[1.2320233253509865, 0.12397665398753058, 0.6410580348510235, -1.5278285473065625]",189.61007247875122,-1797.9472420348611,5.890514612197876,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
48,bbob.schwefel,4,20,40,R2_cv,183.12,0,49,2.0,9.177251259453962,0.54523950160044,"[-5.0, 0.9799760868197076, -0.3663524566375833, -2.493752165344129]",3391.5011956437793,13900.037899117848,6.992414236068726,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
49,bbob.schwefel,4,20,40,R2_cv,183.12,0,50,2.0,9.162896892645424,0.48203458602156257,"[-4.91405415359634, 4.093531935539669, -0.36775455628663334, -1.3989025465276397]",7575.61365779419,14890.650171091722,6.951153516769409,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
50,bbob.schwefel,4,20,40,R2_cv,183.12,0,51,2.0,9.18000535665083,0.42792717078579684,"[-2.3191116714325988, 3.4302477296365232, -1.1061172226313987, -2.1695377595906455]",2271.210042745726,656.3887105581962,6.908135652542114,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
51,bbob.schwefel,4,20,40,R2_cv,183.12,0,52,2.0,9.229506052398012,0.476488293406366,"[-1.961137173057431, -0.5864561931930433, 0.6511288859053939, -1.3693526170134]",186.23474287798905,-2613.605432676006,7.118285179138184,"[0.598659678837176, 2.8371792082164675, 0.5626066718880797, -1.952045038858913]",186.0695873791691
