,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",781.4554988253547,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
1,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",971.6818907089348,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
2,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",1173.573245878286,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
3,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",476.4287406413149,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
4,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",911.2524254153423,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
5,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",443.7405516577576,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
6,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",863.0246037890774,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
7,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",1765.009530218895,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
8,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",2441.5688486012928,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
9,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",1209.7115216392644,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
10,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",414.85247666178515,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
11,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",626.366937448372,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
12,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",367.28009654256715,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
13,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",1449.546806724607,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
14,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",1617.8932056395854,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
15,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",503.8555985010188,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
16,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",1416.1489246335448,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
17,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",645.6457221202643,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
18,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",921.4363310643756,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
19,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",1575.2746768595196,,,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
20,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,21,0.5,8.501873470291002,,"[3.0302505536821043, -5.0, 0.6999067232234176, -0.5767417250738717]",608.5032857058092,463.44506248612925,1.5851073265075684,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
21,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,22,0.5,8.623901092728646,,"[5.0, -5.0, 5.0, 4.4032583961028475]",1774.5536109162806,736.1003861922914,1.4108695983886719,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
22,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,23,0.5,6.7830784826032735,,"[5.0, -5.0, -3.5332940700451942, -4.723236712655444]",884.2903994270825,825.7638892853435,1.7963504791259766,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
23,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,24,0.5,6.7147689399224015,,"[1.6347608880295703, -2.6223988432341727, 2.0575668993530973, -0.5395020895462773]",35.11167249372708,433.09538968422976,1.8739442825317383,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
24,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,25,0.5,7.3984052290986035,,"[2.569718220380128, -1.641494988060166, 0.9389128526884958, -0.18845728233710407]",100.74097050066754,313.2928831127641,1.802764892578125,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
25,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,26,0.5,8.312821761060286,,"[1.4154884419292204, -2.117069782031602, 1.7387950477463974, 0.7280233386201411]",125.37731679776326,221.01169605678353,2.1346302032470703,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
26,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,27,0.5,9.213781769262761,,"[2.508319367705489, -1.7180636645198517, 2.6752754687747293, -0.33931304071287105]",231.0859461790175,221.21687186813404,1.9050896167755127,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
27,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,28,0.5,9.897157974512167,,"[1.6946933762162937, -2.6573154993733477, 0.8683083367791131, -0.6597547377314985]",-1.9478503793064093,141.55676532993482,2.0178449153900146,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
28,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,29,0.5,10.733665817666228,,"[1.069100089588654, -3.377298988827639, 1.4643744722212595, -0.08178890088734592]",121.22667671452567,133.39982513264056,2.2095096111297607,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
29,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,30,0.5,11.485285224472594,,"[2.269023106456863, -2.4571836564325538, 1.3281516589426938, -1.443353057669687]",74.73367734988696,135.1181650690413,2.0154900550842285,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
30,bbob.sharp_ridge,4,20,40,predicted,-51.73,0,31,0.5,12.22947633918919,,"[1.4353298894668847, -1.8810145776622278, 1.3308281315359745, -0.6146786759012025]",102.77112895419413,71.79637596529733,2.075469970703125,"[1.744943022710502, -2.7804814519405436, 1.4698600384351652, -0.7916827818238172]",-34.97674614955753
