,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.sphere,2,10,20,R2_cv,-92.65,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",-92.64869074803019,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
1,bbob.sphere,2,10,20,R2_cv,-92.65,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-88.42895845611399,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
2,bbob.sphere,2,10,20,R2_cv,-92.65,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-55.828710044308,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
3,bbob.sphere,2,10,20,R2_cv,-92.65,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-45.67077435848601,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
4,bbob.sphere,2,10,20,R2_cv,-92.65,0,5,,,,"[-2.543624991465423, -4.935072423787768]",-86.36020388164255,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
5,bbob.sphere,2,10,20,R2_cv,-92.65,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-80.70238334373795,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
6,bbob.sphere,2,10,20,R2_cv,-92.65,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",-14.755404696240788,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
7,bbob.sphere,2,10,20,R2_cv,-92.65,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-51.49422016695301,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
8,bbob.sphere,2,10,20,R2_cv,-92.65,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",-52.78079525882701,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
9,bbob.sphere,2,10,20,R2_cv,-92.65,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-70.13272089704981,,,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
10,bbob.sphere,2,10,20,R2_cv,-92.65,0,11,3.0,6.083165675582414,0.06617740056842625,"[2.163430571980726, -5.0]",-81.5948771025619,-84.48855440199792,2.2367684841156006,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
11,bbob.sphere,2,10,20,R2_cv,-92.65,0,12,inf,4.723546472831938,-4.197439315031549,"[-5.0, -3.1000576120269723]",-73.89820010560496,-82.52605316348085,2.2820520401000977,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
12,bbob.sphere,2,10,20,R2_cv,-92.65,0,13,0.5,9.071108248678089,0.23725068264340315,"[-0.33475000789488274, -5.0]",-89.52480316283774,-88.06588447383461,2.1419949531555176,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
13,bbob.sphere,2,10,20,R2_cv,-92.65,0,14,inf,4.723355668584843,0.3221355140202226,"[-1.0563860106482497, -2.515356025516257]",-91.94119550154498,-92.6253877940901,2.4513373374938965,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
14,bbob.sphere,2,10,20,R2_cv,-92.65,0,15,3.0,6.622429908122621,0.2994952342969325,"[-1.2342870003745876, -3.5001891778083607]",-92.27932428338106,-92.03596492182294,3.2460811138153076,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
15,bbob.sphere,2,10,20,R2_cv,-92.65,0,16,3.0,6.8550360156973715,0.3338765017749867,"[-0.5018578071561139, -3.573433739351779]",-92.52552398163947,-92.49975967442364,3.7584598064422607,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
16,bbob.sphere,2,10,20,R2_cv,-92.65,0,17,3.0,7.070371489757286,0.4127707911991715,"[-0.7679866342077959, -3.33641755970257]",-92.63581042981045,-92.64993733674889,4.763345718383789,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
17,bbob.sphere,2,10,20,R2_cv,-92.65,0,18,inf,4.456828154810355,0.799191890368285,"[-0.6793598321387169, -3.2497450892481217]",-92.64973031826457,-92.6505664093786,5.193803071975708,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
18,bbob.sphere,2,10,20,R2_cv,-92.65,0,19,3.0,7.0688043766527855,0.8905252168378015,"[-0.5363046027637357, -3.164055007577322]",-92.62121945303508,-92.61087375920795,5.876882076263428,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
19,bbob.sphere,2,10,20,R2_cv,-92.65,0,20,inf,4.419768917507765,0.8233306657171706,"[-0.6893589706717131, -3.262652158792671]",-92.64972118726844,-92.6521693075316,5.677275657653809,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
20,bbob.sphere,2,10,20,R2_cv,-92.65,0,21,inf,4.388041607238321,0.8235057298524457,"[-0.689880667745753, -3.265232160795468]",-92.64970806402641,-92.65181161050239,5.737258672714233,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
21,bbob.sphere,2,10,20,R2_cv,-92.65,0,22,2.0,8.03701600215757,0.7164551619321083,"[-0.36176964703154385, -2.2984543341896924]",-91.61943617370196,-91.7866689788835,6.85661768913269,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
22,bbob.sphere,2,10,20,R2_cv,-92.65,0,23,3.0,7.090742909744105,0.7131298312076246,"[-0.7234346111127324, -3.295851203712843]",-92.64647195890545,-92.64907799584034,7.038243293762207,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
23,bbob.sphere,2,10,20,R2_cv,-92.65,0,24,2.0,8.113379351598121,0.7297730227113112,"[0.10612055629451114, -3.318471763139677]",-92.04040210882333,-91.94790203400464,6.812652826309204,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
24,bbob.sphere,2,10,20,R2_cv,-92.65,0,25,2.0,8.224971919236523,0.748950159809424,"[-0.8678573298352887, -3.067103741394629]",-92.57286882741097,-92.56546271332554,7.078877925872803,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
25,bbob.sphere,2,10,20,R2_cv,-92.65,0,26,2.5,7.605833907212086,0.760985423960823,"[-0.6327698219684833, -3.273555900829495]",-92.64832091904744,-92.64856380370131,6.651256084442139,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
26,bbob.sphere,2,10,20,R2_cv,-92.65,0,27,3.0,6.995002074752945,0.7363519178784023,"[-0.6747639345265303, -3.276843000868544]",-92.64985110909126,-92.65055657972296,7.327327251434326,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
27,bbob.sphere,2,10,20,R2_cv,-92.65,0,28,3.0,6.934121531945042,0.7665759357504509,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946,-92.65047980770598,7.723463296890259,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
28,bbob.sphere,2,10,20,R2_cv,-92.65,0,29,3.0,6.875759117564053,0.7631068598933044,"[-0.6751149238387382, -3.277268638017594]",-92.64983917419362,-92.6504131615578,7.7083420753479,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
29,bbob.sphere,2,10,20,R2_cv,-92.65,0,30,3.0,6.794999619755437,0.7549993931802228,"[-0.6750338731970597, -3.277426862646832]",-92.64983557215024,-92.65035566478647,7.834649324417114,"[-0.674593885119977, -3.276665098681451]",-92.64985600140946
30,bbob.sphere,2,10,20,R2_cv,-92.65,1,1,,,,"[3.488178375299743, 2.0495363036740644]",-47.09408861173979,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
31,bbob.sphere,2,10,20,R2_cv,-92.65,1,2,,,,"[4.855840387280367, 0.051350552862755805]",-51.087280978880436,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
32,bbob.sphere,2,10,20,R2_cv,-92.65,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",-43.15781554991261,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
33,bbob.sphere,2,10,20,R2_cv,-92.65,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",-84.47154889405851,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
34,bbob.sphere,2,10,20,R2_cv,-92.65,1,5,,,,"[-4.54959368767306, -4.027559113243068]",-77.03866923838298,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
35,bbob.sphere,2,10,20,R2_cv,-92.65,1,6,,,,"[1.246486891325194, 1.4618566867807221]",-66.62505439409836,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
36,bbob.sphere,2,10,20,R2_cv,-92.65,1,7,,,,"[2.670268283500908, -3.788428703428404]",-81.19970743279619,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
37,bbob.sphere,2,10,20,R2_cv,-92.65,1,8,,,,"[0.6968051707083553, -2.4534978894806514]",-90.1159705618358,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
38,bbob.sphere,2,10,20,R2_cv,-92.65,1,9,,,,"[-3.1340416972471647, -1.4031129864471295]",-83.1264107713005,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
39,bbob.sphere,2,10,20,R2_cv,-92.65,1,10,,,,"[-1.2034552406761496, 4.73768665955815]",-28.328612279136763,,,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
40,bbob.sphere,2,10,20,R2_cv,-92.65,1,11,inf,4.042333775505034,-15.546283625433905,"[-0.6319488252905855, -5.0]",-89.63741214152486,-84.23196399388362,2.017434597015381,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
41,bbob.sphere,2,10,20,R2_cv,-92.65,1,12,inf,4.177509275417256,-3.500728556585166,"[-1.0572786670401653, -3.2528445508676502]",-92.50203322182706,-90.70274233038543,2.1198487281799316,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
42,bbob.sphere,2,10,20,R2_cv,-92.65,1,13,3.0,5.951463449011029,-4.63396479488851,"[0.04298597614469386, -3.7249479171162925]",-91.92591433072813,-92.05761079447213,2.4048569202423096,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
43,bbob.sphere,2,10,20,R2_cv,-92.65,1,14,3.0,6.320659802302948,-4.792634732229536,"[-0.5885470021885505, -2.627185024143532]",-92.23634857492334,-92.51212443223991,3.0734550952911377,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
44,bbob.sphere,2,10,20,R2_cv,-92.65,1,15,3.0,6.537579872379293,-3.640649436699712,"[-0.5799958500299381, -3.384138949544512]",-92.62714560486995,-92.67839793601868,3.6746621131896973,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
45,bbob.sphere,2,10,20,R2_cv,-92.65,1,16,inf,4.364346840732942,-2.9652006860357023,"[-0.6506630662346016, -3.3001144580051442]",-92.64826284521928,-92.65466064297505,4.224753141403198,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
46,bbob.sphere,2,10,20,R2_cv,-92.65,1,17,inf,4.31996097034913,0.5948940605544821,"[-0.6552888294671546, -3.292429659903199]",-92.6489299608002,-92.65249209692577,5.044831991195679,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
47,bbob.sphere,2,10,20,R2_cv,-92.65,1,18,0.5,15.090783338969471,-3.1577571388513372,"[0.9703259471341612, -5.0]",-86.93921808185448,-87.72253626555288,5.3751747608184814,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
48,bbob.sphere,2,10,20,R2_cv,-92.65,1,19,inf,4.36786562905975,0.7192499488441955,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704,-92.65492155985162,5.559772491455078,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
49,bbob.sphere,2,10,20,R2_cv,-92.65,1,20,3.0,6.702711239176754,0.7274967992803589,"[-0.5945881453843788, -3.167939825600389]",-92.63450101241287,-92.63482194991464,6.3640429973602295,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
50,bbob.sphere,2,10,20,R2_cv,-92.65,1,21,3.0,6.731403445134991,0.7732258453400382,"[-0.7067333076826382, -3.1940258409106788]",-92.64383954903492,-92.64438619650586,6.417801856994629,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
51,bbob.sphere,2,10,20,R2_cv,-92.65,1,22,inf,4.22820031983369,0.8519926689384014,"[-0.6616559549313675, -3.2962645203843763]",-92.6488857942165,-92.6527967130931,6.059821128845215,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
52,bbob.sphere,2,10,20,R2_cv,-92.65,1,23,3.0,6.644319068681972,0.84920759407536,"[-0.722717209620328, -3.4035479813722347]",-92.62825726984886,-92.6285994712893,6.505986213684082,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
53,bbob.sphere,2,10,20,R2_cv,-92.65,1,24,3.0,6.596992514843076,0.8514949935376135,"[-0.7015511912469342, -3.2120825053182314]",-92.64639423475637,-92.64676878620413,7.130600929260254,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
54,bbob.sphere,2,10,20,R2_cv,-92.65,1,25,3.0,6.562604190646272,0.8482930339673505,"[-0.6915552295424795, -3.222400977518488]",-92.64785056425742,-92.64815586789665,6.98334527015686,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
55,bbob.sphere,2,10,20,R2_cv,-92.65,1,26,3.0,6.473719795185859,0.8442590518450691,"[-0.5838268055304078, -3.2288467014070195]",-92.64079113098616,-92.64097865643316,7.315305948257446,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
56,bbob.sphere,2,10,20,R2_cv,-92.65,1,27,2.5,6.90742441027582,0.8624111567732984,"[-0.7464231004276524, -3.207303077278165]",-92.64127374296095,-92.64197705750945,6.766121864318848,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
57,bbob.sphere,2,10,20,R2_cv,-92.65,1,28,2.5,6.853324888128973,0.8651582641228488,"[-0.5155295480248482, -3.222262853989407]",-92.6234565961448,-92.62396789106458,6.9885947704315186,"[-0.6565371228398962, -3.28949708645668]",-92.64912557274704
