,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.sphere,2,10,20,none,-92.65,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",-92.64869074803019,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
1,bbob.sphere,2,10,20,none,-92.65,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-88.42895845611399,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
2,bbob.sphere,2,10,20,none,-92.65,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-55.828710044308,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
3,bbob.sphere,2,10,20,none,-92.65,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-45.67077435848601,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
4,bbob.sphere,2,10,20,none,-92.65,0,5,,,,"[-2.543624991465423, -4.935072423787768]",-86.36020388164255,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
5,bbob.sphere,2,10,20,none,-92.65,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-80.70238334373795,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
6,bbob.sphere,2,10,20,none,-92.65,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",-14.755404696240788,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
7,bbob.sphere,2,10,20,none,-92.65,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-51.49422016695301,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
8,bbob.sphere,2,10,20,none,-92.65,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",-52.78079525882701,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
9,bbob.sphere,2,10,20,none,-92.65,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-70.13272089704981,,,"[-0.6720690644771212, -3.2814597881222505]",-92.64972191719299
