,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.sphere,4,20,40,predicted,-92.65,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",-32.98074822632688,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
1,bbob.sphere,4,20,40,predicted,-92.65,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",-16.741102636625797,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
2,bbob.sphere,4,20,40,predicted,-92.65,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",-33.62311610649511,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
3,bbob.sphere,4,20,40,predicted,-92.65,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",-80.98609694010284,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
4,bbob.sphere,4,20,40,predicted,-92.65,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",-31.009607890679384,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
5,bbob.sphere,4,20,40,predicted,-92.65,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",-23.550860933089567,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
6,bbob.sphere,4,20,40,predicted,-92.65,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",-49.69169396612262,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
7,bbob.sphere,4,20,40,predicted,-92.65,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",-8.920028039340878,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
8,bbob.sphere,4,20,40,predicted,-92.65,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",-9.95644821239361,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
9,bbob.sphere,4,20,40,predicted,-92.65,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",-24.004211248442957,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
10,bbob.sphere,4,20,40,predicted,-92.65,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",-87.04344437553183,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
11,bbob.sphere,4,20,40,predicted,-92.65,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",-69.2292217353661,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
12,bbob.sphere,4,20,40,predicted,-92.65,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",-89.25263619046723,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
13,bbob.sphere,4,20,40,predicted,-92.65,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",-12.142011658926847,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
14,bbob.sphere,4,20,40,predicted,-92.65,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",-62.17490609819452,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
15,bbob.sphere,4,20,40,predicted,-92.65,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",-25.23659628119364,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
16,bbob.sphere,4,20,40,predicted,-92.65,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",-24.34461552474825,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
17,bbob.sphere,4,20,40,predicted,-92.65,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",-46.09277158701364,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
18,bbob.sphere,4,20,40,predicted,-92.65,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",-74.5361756476474,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
19,bbob.sphere,4,20,40,predicted,-92.65,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-67.66579176516453,,,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
20,bbob.sphere,4,20,40,predicted,-92.65,0,21,inf,5.306056972412366,,"[-1.1147089091573796, -1.3652798919671993, 3.628877424481799, 1.552117130060899]",-84.62951853424333,-86.77530400036332,1.5638580322265625,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
21,bbob.sphere,4,20,40,predicted,-92.65,0,22,3.0,7.140654457029809,,"[-4.986154128333166, -5.0, -0.6623283447122706, -3.5954810821022813]",-48.978310464063924,-64.83255252707914,2.089101791381836,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
22,bbob.sphere,4,20,40,predicted,-92.65,0,23,1.0,10.179750091702994,,"[-3.144665522209458, -5.0, 5.0, 5.0]",-52.15308660011216,-71.05399123892752,1.7358505725860596,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
23,bbob.sphere,4,20,40,predicted,-92.65,0,24,1.0,9.547196569800832,,"[-0.5402943726971028, -3.7563633612790968, 1.710961032282313, 0.7961902942762576]",-91.96302204856784,-90.70028239033051,1.9332761764526367,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
24,bbob.sphere,4,20,40,predicted,-92.65,0,25,1.0,10.513571048274432,,"[-1.6970808841357703, -2.6336942903358325, 2.1280626912373326, -0.1554522681240897]",-91.0421562948416,-92.03305954559684,1.9515340328216553,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
25,bbob.sphere,4,20,40,predicted,-92.65,0,26,1.0,11.33053921769966,,"[0.3723020684880056, -2.326709886728718, 2.447486077390511, -0.12510516975256436]",-90.38915091052597,-90.78944335603371,2.1198923587799072,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
26,bbob.sphere,4,20,40,predicted,-92.65,0,27,1.0,12.039386761814551,,"[0.11958095741340763, -5.0, 0.9290257463201277, -0.6519238770008485]",-86.96068559495203,-85.655306210725,1.985414743423462,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
27,bbob.sphere,4,20,40,predicted,-92.65,0,28,0.5,19.986021517595553,,"[-1.1845851933483942, -3.7622614920448316, 3.2161977241680453, 0.5293789889111195]",-90.69825330411516,-90.19621035524588,1.8556807041168213,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
28,bbob.sphere,4,20,40,predicted,-92.65,0,29,0.5,21.470249553178867,,"[-0.541743922841316, -3.3518597435081348, 1.6648463907528337, -0.5581347444176098]",-91.84278201084841,-92.79037387579268,2.0852577686309814,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
29,bbob.sphere,4,20,40,predicted,-92.65,0,30,0.5,22.924681314161525,,"[-1.490450960553378, -5.0, 2.213133531451667, -0.11938031458137142]",-88.81687045309913,-87.84771275575321,1.8648009300231934,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
30,bbob.sphere,4,20,40,predicted,-92.65,0,31,0.5,24.085442372475672,,"[0.2634397376221165, -3.9798490243294995, 2.5822500882153934, 0.18583039396416315]",-90.97746575820003,-90.75688133913482,1.7869789600372314,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
31,bbob.sphere,4,20,40,predicted,-92.65,0,32,0.5,25.319288965006177,,"[-0.9337748415355502, -2.6605819049475277, 2.438107214225706, 0.10194132418087865]",-92.04871215695177,-92.6647631555472,1.8600313663482666,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
32,bbob.sphere,4,20,40,predicted,-92.65,0,33,0.5,26.537961052743572,,"[-0.6348147203085615, -2.683242380582309, 3.784848216220874, -0.16998866697769133]",-89.13868319476953,-88.78179012490432,1.9941480159759521,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
33,bbob.sphere,4,20,40,predicted,-92.65,0,34,0.5,27.512979992774525,,"[-0.31075761259376206, -2.925238885725642, 2.629645074318962, 1.0760467394569706]",-91.36603192048406,-90.48423871884488,1.6578924655914307,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
34,bbob.sphere,4,20,40,predicted,-92.65,0,35,0.5,28.547600849848237,,"[-1.4738916356166802, -3.6460833067397225, 1.2992478490629622, 0.1256069106208818]",-91.2849007419791,-90.33920417772308,1.7674517631530762,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
35,bbob.sphere,4,20,40,predicted,-92.65,0,36,0.5,29.514957641890167,,"[-0.38004310798462715, -2.736356018515289, 1.403160687075437, 0.3198934491009094]",-91.85831319774942,-91.34590131182584,1.8754937648773193,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
36,bbob.sphere,4,20,40,predicted,-92.65,0,37,0.5,30.47587755331066,,"[-0.8450157162199148, -3.718523936077914, 2.336021719614674, -0.012576163456451748]",-92.27076481219078,-93.0408112644343,1.8381147384643555,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
37,bbob.sphere,4,20,40,predicted,-92.65,0,38,0.5,31.39427747070401,,"[-0.3314045750711241, -5.0, 2.442937832205421, 0.9440728157850379]",-88.8699677552134,-87.84480070238655,1.753154993057251,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
38,bbob.sphere,4,20,40,predicted,-92.65,0,39,0.5,32.083248645699534,,"[0.3857569863773265, -3.488749058603814, 1.4780367800415208, -0.0808340804211529]",-91.04938758545539,-90.47520368756246,1.8028051853179932,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
39,bbob.sphere,4,20,40,predicted,-92.65,0,40,0.5,32.85747794385796,,"[-1.5438989898680608, -3.1906009530990525, 2.2022030371099848, 1.0050336798369803]",-91.27392468112527,-90.28336115854323,2.0565788745880127,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
40,bbob.sphere,4,20,40,predicted,-92.65,0,41,0.5,33.58701460305501,,"[-1.2500580226517544, -2.9566028727444826, 2.213555003900427, -1.350993903369874]",-89.6717979689202,-88.45930497181408,1.772923231124878,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
41,bbob.sphere,4,20,40,predicted,-92.65,0,42,0.5,34.19569542090341,,"[-0.1870399376706737, -3.127794564229588, 2.5555890693834185, -0.17064705875151942]",-91.97419267812244,-92.49799122858121,2.0512330532073975,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
42,bbob.sphere,4,20,40,predicted,-92.65,0,43,0.5,34.906874049473586,,"[-1.9411623767185415, -3.623665709734002, 2.7281516424832297, -0.29987525676979687]",-90.1653291058015,-89.78957134665524,1.937408447265625,"[-0.9372044485825631, -3.162223472703036, 1.858839233154396, 0.345551006786113]",-92.52091225912989
