,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.sphere,8,40,80,suitability_ext,-92.65,0,1,,,,"[-1.4092404218303631, 2.4325533215590323, -1.5102433809840488, -4.004131908882132, -3.203317559800068, 1.0218111056805697, 3.0983410560582048, -4.432374140246]",23.442789379247287,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
1,bbob.sphere,8,40,80,suitability_ext,-92.65,0,2,,,,"[1.3640937521336447, -3.7337681059469423, -2.703963388530383, -0.0006846250425374123, 4.2856489308531085, 1.7416036061736335, -0.4324138616074862, 0.9560860948493595]",-35.435978898015094,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
2,bbob.sphere,8,40,80,suitability_ext,-92.65,0,3,,,,"[2.7842052694125288, -1.3853653050622725, 0.17507202736565386, 3.144328194700586, -1.2570799177863656, 0.9689291808751088, 1.5823438963265923, -3.4117973778935626]",-39.365555012828686,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
3,bbob.sphere,8,40,80,suitability_ext,-92.65,0,4,,,,"[4.846153722129687, 3.9040806114345283, 1.5006975160526972, -3.9952088346940577, 1.8286145038798267, -3.4126148190669543, -3.922111682642735, 1.1527696440052253]",64.06771869589451,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
4,bbob.sphere,8,40,80,suitability_ext,-92.65,0,5,,,,"[2.2162258737443974, -0.4303720850485204, 4.868661419381068, 4.1724395311102604, 4.628541160292052, -2.72237195858725, -1.7335108789890623, 1.9105512008227326]",-10.545519164008567,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
5,bbob.sphere,8,40,80,suitability_ext,-92.65,0,6,,,,"[-4.392882457682441, 2.1695326522310143, -4.898575007549924, 2.6655221936232163, -1.5979047501320403, 2.027431411998802, -0.5567893983833452, -0.9057967861715106]",48.835633667301465,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
6,bbob.sphere,8,40,80,suitability_ext,-92.65,0,7,,,,"[-0.5210038358955966, -1.9581610369133493, -4.446774576872171, 3.440157639251762, 3.030878942297324, -1.2646420087012986, 0.16597073486358482, 4.212430133276291]",21.927915965079535,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
7,bbob.sphere,8,40,80,suitability_ext,-92.65,0,8,,,,"[3.637415158337678, 2.8009189324281767, -1.307660552248437, 1.9869946747338973, 0.8988620400446177, -0.2996282611273138, -2.5226882614047805, 2.1049169035032875]",29.05911213774276,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
8,bbob.sphere,8,40,80,suitability_ext,-92.65,0,9,,,,"[2.6753259667952705, 2.5820012805109105, 4.200121139007946, -4.985528277626624, -4.841277542061207, 2.473626180107443, -1.4072770378849278, 2.518211361733033]",107.64238108533195,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
9,bbob.sphere,8,40,80,suitability_ext,-92.65,0,10,,,,"[-3.8600942886789458, -2.4886476234226844, -0.6249739534219119, 1.143692843787731, -2.1550533630038444, -2.998774126308831, -2.4872359187344415, 4.384988715172726]",37.16467352694454,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
10,bbob.sphere,8,40,80,suitability_ext,-92.65,0,11,,,,"[0.5605677886729268, -1.624355673871905, 3.3676719599508083, -2.446446425178452, 2.896336037661083, -4.433620892947182, 2.8222142805025623, 2.2669850783466554]",-31.546275484413187,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
11,bbob.sphere,8,40,80,suitability_ext,-92.65,0,12,,,,"[-1.5287331583202262, -2.6822537792690775, -3.98185598215614, -3.4919815474811617, 1.246323423758657, 2.5340899774386063, 4.504701239983413, 0.26069745509725806]",0.17067418891735997,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
12,bbob.sphere,8,40,80,suitability_ext,-92.65,0,13,,,,"[-3.2871910030581244, 1.2568427965442623, 4.27751611106987, 2.044406543114232, 2.6300030190480417, -3.5580932299098262, 4.299529855320422, -0.7308825399458669]",-32.697690123555276,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
13,bbob.sphere,8,40,80,suitability_ext,-92.65,0,14,,,,"[4.6834674319269265, 4.6152663980944535, 0.8893117927563674, -2.7327543289952887, -2.510127677797109, 4.56699845108586, 3.8464066882627517, -3.75709134127838]",80.91340391525554,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
14,bbob.sphere,8,40,80,suitability_ext,-92.65,0,15,,,,"[-4.679804943206685, 3.4960020676191075, 3.560512249410893, -3.1281896808155194, -4.482276055199252, -1.5165206241810187, 4.039670680096904, 0.23332749780822404]",67.44550411074707,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
15,bbob.sphere,8,40,80,suitability_ext,-92.65,0,16,,,,"[-2.836077494701031, 0.39242531701304184, -2.2415155201960175, 1.3594420394428859, 2.4352838517072666, -1.0604189285235863, -3.722029580164795, 0.6935326428956685]",-12.043743364513517,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
16,bbob.sphere,8,40,80,suitability_ext,-92.65,0,17,,,,"[1.2188613235411792, -0.8220826892518946, -0.39653076620318295, 3.8614773744566833, 0.29757230602180584, -4.1401189880015465, -2.8221053036078025, -0.3532240856702229]",-17.677707701219404,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
17,bbob.sphere,8,40,80,suitability_ext,-92.65,0,18,,,,"[3.7954697572572726, 4.093373384395061, 3.010230589325639, -1.0923511027729207, 1.361847122369678, -1.8984810504032925, -0.9620728020687652, -2.536368384546633]",-4.913307813069665,,,"[-0.6554835705441033, -3.2847727590803335, 2.05369087910574, 0.2410960191900913, 3.438458261401439, -0.9643500526973753, 1.2052895598971838, -3.4667331505695396]",-92.64754115860573
