,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,1,,,,"[3.6815191563392737, 0.3651066431180645, -1.0204867619680975, 4.491736182235735]",-30.310298101914995,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
1,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,2,,,,"[0.09336488039986346, 2.0436222113611393, -4.80331788788359, 0.635251719508001]",319.5357292781791,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
2,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,3,,,,"[-2.7718124957327115, -0.9675362118938837, -4.407926777060766, 2.998630749914925]",59.71719473581891,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
3,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,4,,,,"[1.0712978617062152, -4.016792787652732, 4.635172276785028, 1.4121721896987207]",655.6208286376417,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
4,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,5,,,,"[-1.4315894611749433, 0.7292693898754541, -3.6498559452686923, 3.7886563894011704]",146.0358554584622,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
5,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,6,,,,"[4.485840164427268, 1.9378583617502176, -1.8353122073468153, -0.32359475578712527]",30.54354942755124,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
6,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,7,,,,"[2.692307444259373, 1.3081612228690584, 1.5013950321053944, -2.990417669388115]",27.17840665447048,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
7,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,8,,,,"[-1.8427709922403475, 4.674770361866091, -2.34422336528547, 0.30553928801044794]",708.678473872353,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
8,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,9,,,,"[-3.0675482525112057, 3.639255829902959, -0.2626771612378631, -4.655120937779478]",420.52999063378803,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
9,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,10,,,,"[3.2570823205841055, -1.9447439171745002, -3.4670217579781246, 4.821102401645465]",-2.796830915175107,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
10,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,11,,,,"[-0.28576491536488025, -2.160934695537971, 0.20284998490015127, -0.6689556127535665]",13.065609593622497,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
11,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,12,,,,"[0.8041904997359195, -2.945137176002396, 1.3864212032333096, -4.311593572343021]",278.6104138983408,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
12,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,13,,,,"[-0.5420076717911924, -3.9163220738266986, 3.106450846255658, -1.1196847214964762]",374.62634087502374,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
13,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,14,,,,"[-2.4382421154053517, 4.470715982597403, -0.6680585302728304, 3.42486026655258]",586.2257269886544,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
14,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,15,,,,"[-4.725169683324643, -1.3981621351436466, 4.384678895503127, -2.0260106505322053]",-15.735347169438725,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
15,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,16,,,,"[1.7977240800892353, 2.9007434777453724, -2.545376522809561, 1.709833807006575]",173.89726518795726,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
16,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,17,,,,"[2.350651933590539, 3.164002561021821, 2.4002422780158934, -3.9710565552532486]",143.96478598822486,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
17,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,18,,,,"[4.817444915877585, -3.0527476397851148, 3.6854459242301445, -3.4635772765339334]",786.5609270639296,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
18,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,19,,,,"[-3.720188577357892, -4.977295246845369, 0.7500520931561763, 2.287385687575462]",228.1721517825029,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
19,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,20,,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436,,,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
20,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,21,0.5,4.294702051269185,,"[5.0, 0.8653456199052988, -4.846561600539968, 5.0]",-7.769507165392014,94.71295754900495,1.673330545425415,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
21,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,22,0.5,4.664862439402557,,"[5.0, -1.8264762535222763, -5.0, 1.6024916505766356]",36.21865787946501,84.22859924591606,1.5144612789154053,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
22,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,23,0.5,4.897830584960983,,"[0.32093578839571285, -5.0, -5.0, 5.0]",283.4116777187601,112.7928448978884,1.5527763366699219,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
23,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,24,0.5,4.568165985907722,,"[-5.0, -2.5619130559577616, 0.8486965437148667, -3.054629934348708]",-38.54452254330502,83.89158022192956,1.686927318572998,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
24,bbob.step_ellipsoid,4,20,40,predicted,-83.87,0,25,0.5,4.938869471320837,,"[-5.0, -5.0, -3.8930018865564864, -3.840787118502507]",188.14907218984723,149.79135742053023,1.5811002254486084,"[-4.310106726007689, -0.497548252617662, 2.525528162531117, -1.730022569654548]",-80.50273939313436
