,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,1,,,,"[-1.4092404218303631, 2.4325533215590323, -1.5102433809840488, -4.004131908882132, -3.203317559800068, 1.0218111056805697, 3.0983410560582048, -4.432374140246]",2099.9517082852008,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
1,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,2,,,,"[1.3640937521336447, -3.7337681059469423, -2.703963388530383, -0.0006846250425374123, 4.2856489308531085, 1.7416036061736335, -0.4324138616074862, 0.9560860948493595]",1198.7274786374392,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
2,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,3,,,,"[2.7842052694125288, -1.3853653050622725, 0.17507202736565386, 3.144328194700586, -1.2570799177863656, 0.9689291808751088, 1.5823438963265923, -3.4117973778935626]",639.794378032175,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
3,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,4,,,,"[4.846153722129687, 3.9040806114345283, 1.5006975160526972, -3.9952088346940577, 1.8286145038798267, -3.4126148190669543, -3.922111682642735, 1.1527696440052253]",145.8945437510207,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
4,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,5,,,,"[2.2162258737443974, -0.4303720850485204, 4.868661419381068, 4.1724395311102604, 4.628541160292052, -2.72237195858725, -1.7335108789890623, 1.9105512008227326]",754.7332151200214,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
5,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,6,,,,"[-4.392882457682441, 2.1695326522310143, -4.898575007549924, 2.6655221936232163, -1.5979047501320403, 2.027431411998802, -0.5567893983833452, -0.9057967861715106]",726.4037706511671,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
6,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,7,,,,"[-0.5210038358955966, -1.9581610369133493, -4.446774576872171, 3.440157639251762, 3.030878942297324, -1.2646420087012986, 0.16597073486358482, 4.212430133276291]",8.888658367300508,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
7,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,8,,,,"[3.637415158337678, 2.8009189324281767, -1.307660552248437, 1.9869946747338973, 0.8988620400446177, -0.2996282611273138, -2.5226882614047805, 2.1049169035032875]",148.52848602456996,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
8,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,9,,,,"[2.6753259667952705, 2.5820012805109105, 4.200121139007946, -4.985528277626624, -4.841277542061207, 2.473626180107443, -1.4072770378849278, 2.518211361733033]",1541.7519891869315,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
9,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,10,,,,"[-3.8600942886789458, -2.4886476234226844, -0.6249739534219119, 1.143692843787731, -2.1550533630038444, -2.998774126308831, -2.4872359187344415, 4.384988715172726]",673.0782665550622,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
10,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,11,,,,"[0.5605677886729268, -1.624355673871905, 3.3676719599508083, -2.446446425178452, 2.896336037661083, -4.433620892947182, 2.8222142805025623, 2.2669850783466554]",-0.24392932311612014,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
11,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,12,,,,"[-1.5287331583202262, -2.6822537792690775, -3.98185598215614, -3.4919815474811617, 1.246323423758657, 2.5340899774386063, 4.504701239983413, 0.26069745509725806]",2956.289546222649,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
12,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,13,,,,"[-3.2871910030581244, 1.2568427965442623, 4.27751611106987, 2.044406543114232, 2.6300030190480417, -3.5580932299098262, 4.299529855320422, -0.7308825399458669]",217.8671460869453,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
13,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,14,,,,"[4.6834674319269265, 4.6152663980944535, 0.8893117927563674, -2.7327543289952887, -2.510127677797109, 4.56699845108586, 3.8464066882627517, -3.75709134127838]",2306.7732418268242,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
14,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,15,,,,"[-4.679804943206685, 3.4960020676191075, 3.560512249410893, -3.1281896808155194, -4.482276055199252, -1.5165206241810187, 4.039670680096904, 0.23332749780822404]",457.83792566181603,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
15,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,16,,,,"[-2.836077494701031, 0.39242531701304184, -2.2415155201960175, 1.3594420394428859, 2.4352838517072666, -1.0604189285235863, -3.722029580164795, 0.6935326428956685]",267.2338029994491,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
16,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,17,,,,"[1.2188613235411792, -0.8220826892518946, -0.39653076620318295, 3.8614773744566833, 0.29757230602180584, -4.1401189880015465, -2.8221053036078025, -0.3532240856702229]",591.8828093281614,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
17,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,18,,,,"[3.7954697572572726, 4.093373384395061, 3.010230589325639, -1.0923511027729207, 1.361847122369678, -1.8984810504032925, -0.9620728020687652, -2.536368384546633]",328.7152862412998,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
18,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,19,,,,"[-4.851627584187032, 3.5225102595844255, -1.0107667221420509, -0.7056765700453758, -3.6038460093428064, 0.5425490036804739, -4.252488640201823, -1.8412615394395675]",1217.031137073352,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
19,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,20,,,,"[-0.2696575092914095, -2.9131536440841597, -2.3184622746498897, -3.6756630176649465, -0.7359503567355228, -2.2817042755653114, -3.466194573850194, -4.0148660379000845]",1939.7553769460797,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
20,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,21,,,,"[-3.0951926270777226, -1.1074435152946442, -0.872212386708366, 4.755884419515988, -3.943922797025457, 1.4227856593201853, -3.0674591963752, 3.0342199489526713]",1006.4689076341141,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
21,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,22,,,,"[0.7796732068155778, 4.872323373614089, -3.086073932740581, 2.2512706629597705, 3.6710141136580745, 3.95432190526836, -1.2200245303260173, -1.2030838495278133]",457.3050988368743,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
22,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,23,,,,"[4.083027648607162, 3.0103965920555122, -4.731428644303604, -2.9370621258254386, -4.715175352386919, 2.938213314919473, 0.4646883607747423, 3.5824845376712666]",1403.4226688166427,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
23,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,24,,,,"[2.3213453658363115, -0.0417632321955681, -0.09888931827621938, 1.5224360584459866, 1.6096498081124446, 3.6054160212684323, -4.548532443222698, 1.6184944378455315]",811.9345643542335,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
24,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,25,,,,"[1.6191413181512697, -4.272233910061568, 0.25451432671832386, 0.6071510998860568, -2.7516022206660775, 0.30683769969365304, 4.755433571539964, -2.8974675070802376]",1160.2824582933154,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
25,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,26,,,,"[-0.07992040907066666, -3.296876928931946, 2.0818683415207833, -1.2987768496142014, 4.1055780268705355, -0.1505597940949066, -4.240605773281096, -3.5180663163824692]",1596.1819635252987,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
26,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,27,,,,"[4.375006794085346, 1.0639756301793382, 4.705693314881335, 4.65298331705387, -0.015723874613742694, 0.06852978405605548, 2.2280580283101283, -2.3487729270894917]",724.1147922789826,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
27,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,28,,,,"[3.031619342219816, -0.6180750841875025, -4.228155483410221, -0.9414792794347182, 3.271169009972059, 1.9681492477377738, 1.9816092736673419, 3.482418436607695]",720.5986550779969,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
28,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,29,,,,"[1.7827864264131694, 1.841482505163139, -3.374142923449713, -4.29088585404912, 2.081566640568181, 4.92049565303855, 0.8222800341835139, 4.884911167783169]",2309.7840716851024,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
29,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,30,,,,"[-1.1268674651361317, 1.5525835668850334, 1.226813631119155, -4.644689625830876, -0.2993087368239671, 4.047965812046607, -2.122211509032315, 4.5028261666580445]",2434.4755702427865,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
30,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,31,,,,"[3.4542641688310702, -4.740754785031067, 2.7997707408478476, 3.6296848758561833, -2.4533835160449087, 3.0992877736897206, 2.586219734002155, -2.2284226906768474]",1273.2366446102942,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
31,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,32,,,,"[-3.516317604102823, 0.7912529490104001, 3.9045463050084397, 2.918613595974824, 0.5014933071975038, -2.1952976255190944, 1.3786162153051027, -1.6056570991061951]",106.16576721639146,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
32,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,33,,,,"[-4.219382226467949, -4.021703718053724, 1.8228953107715338, 0.05271134407371392, -1.9497990949290287, -3.830571681184958, -0.19915979568651387, -1.306332110468916]",530.2343790843013,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
33,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,34,,,,"[0.15942301237885736, -2.104362028051095, 0.614647504092459, 4.471846583614861, -0.8517369501598262, -0.7500751725267305, 3.3139048184131497, 3.787031021941436]",87.18551830612728,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
34,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,35,,,,"[0.46526708021995056, -3.1759464423166994, -1.9552757720986595, -1.9954570807179484, -1.2109476405921815, -4.6060266213610035, 2.255077822872586, -3.2434961012130885]",607.1536960873663,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
35,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,36,,,,"[-2.6259192448001447, 0.5616383653540238, -3.728459416918291, -0.36903676799218843, -4.215946560274271, -4.925392141515468, 1.1765189360063601, 2.808086932504132]",152.00479804367322,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
36,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,37,,,,"[-2.3926711964648746, 4.476538711641673, 1.402154893423834, -2.0184352533494514, 3.8809582591957508, -0.6071349020357308, -4.855934360742612, -4.896575088397696]",535.424022250492,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
37,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,38,,,,"[-2.030672665044019, -3.9834422274892107, 2.3289873879812415, 0.794054660401807, -3.47420030806594, -3.145830011730869, 3.7399454447738503, -0.1778717060294399]",181.1038326081478,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
38,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,39,,,,"[-0.8922564635658397, -4.9564893055426, -2.883040118368586, -1.703311023841048, 0.0007474267318769989, 4.412361297158029, 0.7072446399948316, 1.4020813001365244]",3741.4978442824167,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
39,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,40,,,,"[-1.938262497466419, 0.1401927670354226, 2.6029049726426967, 0.4681603820195823, 4.818469122266505, 3.4299793995333747, -1.7976543901010045, -4.715737499645798]",1483.8692471785598,,,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
40,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,41,1.0,11.639807057879537,11.538056608463835,"[1.72598634361544, 5.0, -5.0, 5.0, 4.540553857001128, -5.0, 3.6894949344002317, 4.972661420790001]",2961.7337177000677,-112.2446441181578,2.6584010124206543,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
41,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,42,1.0,8.62020362388986,13.0414006900038,"[-4.6749686900873035, 0.42387093412253285, 5.0, 4.011537669452267, -5.0, -5.0, 4.997274106642262, 2.9466641653532264]",1108.4597933801047,243.82046417919253,3.0643372535705566,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
42,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,43,1.0,8.143030520880044,13.369144278646333,"[-2.175720413517744, 5.0, 5.0, -1.9830892451266418, 1.4165925008434423, -5.0, -1.2152620836263714, 0.8593864115625345]",296.9097559825227,308.79277387463424,3.538140058517456,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
43,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,44,1.0,8.269804886381278,13.730778664446442,"[4.228894985960643, -1.986778911784073, 1.9132237732867505, 0.25137636386488704, -2.0377457021835705, -5.0, 2.645520617382239, 3.4794445372660747]",299.62942811082564,261.8455908243408,3.0652525424957275,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
44,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,45,1.0,8.383406226174813,14.314504893994163,"[-1.4466110673640296, -5.0, 0.3831186831708993, 4.480231751475977, 1.6464104189701143, -5.0, 4.431410751509299, 0.6276488785411705]",362.30016500388166,301.6311574722014,3.7694125175476074,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
45,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,46,1.0,8.469931418282783,14.743467700656701,"[-5.0, 5.0, -0.691700529603148, 5.0, 5.0, -5.0, -5.0, -5.0]",1004.8389370086555,645.0539361847519,3.3553380966186523,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
46,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,47,0.5,9.082321911667899,14.790355936521534,"[-0.620000023853988, 0.18547011675838998, 2.070143399237277, 0.7788991874228246, -0.35075383067046606, -5.0, 1.8259223219224223, 1.0599094867053103]",174.74431059119235,22.119877243315614,2.871070384979248,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
47,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,48,1.0,8.491064660556905,14.529606799084295,"[5.0, 2.7451700705686792, 5.0, -5.0, 5.0, -5.0, 1.590988437391995, 1.3550539830738004]",500.9665226472656,444.02146566567217,3.582815647125244,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
48,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,49,1.0,8.527953653656137,14.932065188669354,"[5.0, -2.50233805493663, -5.0, 5.0, 5.0, -0.27182161087153145, -5.0, 5.0]",337.16285248295833,585.6001830320985,3.815964460372925,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
49,bbob.step_ellipsoid,8,40,80,vm_angles_ext,-83.87,0,50,1.0,8.585053330370428,15.130463046264802,"[5.0, -5.0, -5.0, 5.0, -5.0, -5.0, 0.20730145619097592, 5.0]",969.2053752185276,652.8732953420905,3.7947590351104736,"[-5.0, -0.9513248563630289, 1.6074051502590219, 0.3591643228891378, 1.4358975304591188, -5.0, 3.2149670973963214, 0.23969137223122808]",-51.86584284093212
