,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.weierstrass,2,10,20,none,-260.22,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",-104.29326387261577,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
1,bbob.weierstrass,2,10,20,none,-260.22,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-188.1238840132985,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
2,bbob.weierstrass,2,10,20,none,-260.22,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-46.03961476433747,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
3,bbob.weierstrass,2,10,20,none,-260.22,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-169.46146135086775,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
4,bbob.weierstrass,2,10,20,none,-260.22,0,5,,,,"[-2.543624991465423, -4.935072423787768]",-91.73155227475831,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
5,bbob.weierstrass,2,10,20,none,-260.22,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-219.2818267124655,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
6,bbob.weierstrass,2,10,20,none,-260.22,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",-207.14526476611786,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
7,bbob.weierstrass,2,10,20,none,-260.22,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-147.6584518956589,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
8,bbob.weierstrass,2,10,20,none,-260.22,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",-68.01154023903408,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
9,bbob.weierstrass,2,10,20,none,-260.22,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-153.83947317618686,,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
10,bbob.weierstrass,2,10,20,none,-260.22,0,11,2.5,9.999999999999997e-06,,"[2.0377221796725102, -0.5400592992013395]",-226.48929154580543,-139.5586333065341,0.06896734237670898,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
11,bbob.weierstrass,2,10,20,none,-260.22,0,12,2.5,9.999999999999997e-06,,"[2.655065086950014, -2.445845521777473]",-242.90985999004374,-147.4614204191951,0.04797768592834473,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
12,bbob.weierstrass,2,10,20,none,-260.22,0,13,2.5,0.6957100221816779,,"[2.200256387578252, -1.6688567338854545]",-246.9218946113152,-205.77136292996352,0.1797630786895752,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
13,bbob.weierstrass,2,10,20,none,-260.22,0,14,2.5,1.084601798410059,,"[2.4024981654348196, -3.794646708232723]",-204.83843846784106,-189.68143178925726,0.1459362506866455,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
14,bbob.weierstrass,2,10,20,none,-260.22,0,15,2.5,1.1610036088590914,,"[-0.1642555015680588, -0.05365212378044892]",-169.6787613939611,-185.94826930550323,0.1579287052154541,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
15,bbob.weierstrass,2,10,20,none,-260.22,0,16,2.5,1.1489777591688999,,"[-1.992626592996424, 4.909411376907135]",-193.4324300909262,-176.43445502621535,0.13193202018737793,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
16,bbob.weierstrass,2,10,20,none,-260.22,0,17,2.5,1.1640558873546651,,"[0.3774800486771923, 4.884868564523826]",-12.326401187508765,-179.2405080006566,0.1209414005279541,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
17,bbob.weierstrass,2,10,20,none,-260.22,0,18,2.5,0.9721969235691735,,"[3.7281046013649197, -3.383900552174333]",-167.97902098620693,-182.04974772230884,0.0969538688659668,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
18,bbob.weierstrass,2,10,20,none,-260.22,0,19,2.5,0.9794512175796755,,"[1.8356163365930183, -2.8321095268765992]",-98.20845368652158,-218.72708417444537,0.08296012878417969,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
19,bbob.weierstrass,2,10,20,none,-260.22,0,20,2.5,0.49493959651739833,,"[2.764712094065035, -1.8842009934430148]",-203.55291382943724,-220.83394474125612,0.2258915901184082,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
20,bbob.weierstrass,2,10,20,none,-260.22,0,21,2.5,0.4972532828170393,,"[1.818522089754948, -1.1992281953568267]",-126.77831269639779,-212.3429638237861,0.20890235900878906,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
21,bbob.weierstrass,2,10,20,none,-260.22,0,22,2.5,0.29414454185358163,,"[2.344481497027167, -2.0353269509030474]",-232.97531710259625,-209.48382809164087,0.3184928894042969,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
22,bbob.weierstrass,2,10,20,none,-260.22,0,23,2.5,0.3751624012640545,,"[3.085884273593594, -2.5457878036588424]",-26.775045802475546,-194.90470034574628,0.23088932037353516,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
23,bbob.weierstrass,2,10,20,none,-260.22,0,24,2.5,0.20936955802911797,,"[2.4914612833487118, -2.280031707468898]",-238.78507277630476,-220.0571985877968,0.1189429759979248,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
24,bbob.weierstrass,2,10,20,none,-260.22,0,25,2.5,0.26609549291605716,,"[2.479875611883121, -1.62975812211391]",-222.74115466438192,-213.32609379912526,0.24488306045532227,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
25,bbob.weierstrass,2,10,20,none,-260.22,0,26,2.5,0.2932548152285861,,"[1.9739376908676558, -1.9346615814479362]",-190.25912329726384,-201.98244345166853,0.37171149253845215,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
26,bbob.weierstrass,2,10,20,none,-260.22,0,27,2.5,0.2996196496262381,,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105,-212.45806507031597,0.3878192901611328,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
27,bbob.weierstrass,2,10,20,none,-260.22,0,28,2.5,0.3271599537764865,,"[2.2283066545629966, -0.1388944163170185]",-172.45326547773652,-187.33422478582713,0.20763230323791504,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
28,bbob.weierstrass,2,10,20,none,-260.22,0,29,2.5,0.323592589330242,,"[2.477049999848129, -0.8154140059484298]",-185.41984801178674,-180.0524723787026,0.39681339263916016,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
29,bbob.weierstrass,2,10,20,none,-260.22,0,30,2.5,0.32433070306814654,,"[-1.3371859154157475, 0.024924775668578647]",-176.9121708821454,-181.48008187472334,0.3008534908294678,"[2.4160279195158063, -2.5834583655478682]",-252.3599459985105
30,bbob.weierstrass,2,10,20,none,-260.22,1,1,,,,"[3.488178375299743, 2.0495363036740644]",-169.0909433733251,,,"[5.0, -3.1911311310261006]",-255.43395282648635
31,bbob.weierstrass,2,10,20,none,-260.22,1,2,,,,"[4.855840387280367, 0.051350552862755805]",-54.06052577763484,,,"[5.0, -3.1911311310261006]",-255.43395282648635
32,bbob.weierstrass,2,10,20,none,-260.22,1,3,,,,"[-2.3118314520104857, 3.576673551027424]",-239.4202934875281,,,"[5.0, -3.1911311310261006]",-255.43395282648635
33,bbob.weierstrass,2,10,20,none,-260.22,1,4,,,,"[-0.8277025938204421, -0.4091991363691614]",-38.5979110749098,,,"[5.0, -3.1911311310261006]",-255.43395282648635
34,bbob.weierstrass,2,10,20,none,-260.22,1,5,,,,"[-4.54959368767306, -4.027559113243068]",-161.98595955948508,,,"[5.0, -3.1911311310261006]",-255.43395282648635
35,bbob.weierstrass,2,10,20,none,-260.22,1,6,,,,"[1.246486891325194, 1.4618566867807221]",-156.50714735329973,,,"[5.0, -3.1911311310261006]",-255.43395282648635
36,bbob.weierstrass,2,10,20,none,-260.22,1,7,,,,"[2.670268283500908, -3.788428703428404]",-232.64582804166992,,,"[5.0, -3.1911311310261006]",-255.43395282648635
37,bbob.weierstrass,2,10,20,none,-260.22,1,8,,,,"[0.6968051707083553, -2.4534978894806514]",-141.04776510171166,,,"[5.0, -3.1911311310261006]",-255.43395282648635
38,bbob.weierstrass,2,10,20,none,-260.22,1,9,,,,"[-3.1340416972471647, -1.4031129864471295]",-24.826691616447306,,,"[5.0, -3.1911311310261006]",-255.43395282648635
39,bbob.weierstrass,2,10,20,none,-260.22,1,10,,,,"[-1.2034552406761496, 4.73768665955815]",-235.51024437052416,,,"[5.0, -3.1911311310261006]",-255.43395282648635
40,bbob.weierstrass,2,10,20,none,-260.22,1,11,2.5,2.0844726755091028,,"[-3.952270015736294, 5.0]",-166.8947095533634,-196.84804888806653,0.12094283103942871,"[5.0, -3.1911311310261006]",-255.43395282648635
