,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.weierstrass,2,10,20,predicted,-260.22,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",-104.29326387261577,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
1,bbob.weierstrass,2,10,20,predicted,-260.22,0,2,,,,"[0.959026476063805, -2.0165276355285293]",-188.1238840132985,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
2,bbob.weierstrass,2,10,20,predicted,-260.22,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",-46.03961476433747,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
3,bbob.weierstrass,2,10,20,predicted,-260.22,0,4,,,,"[1.3933642242328208, 3.270503439016002]",-169.46146135086775,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
4,bbob.weierstrass,2,10,20,predicted,-260.22,0,5,,,,"[-2.543624991465423, -4.935072423787768]",-91.73155227475831,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
5,bbob.weierstrass,2,10,20,predicted,-260.22,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",-219.2818267124655,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
6,bbob.weierstrass,2,10,20,predicted,-260.22,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",-207.14526476611786,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
7,bbob.weierstrass,2,10,20,predicted,-260.22,0,8,,,,"[4.270344553570055, 0.8243443793974414]",-147.6584518956589,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
8,bbob.weierstrass,2,10,20,predicted,-260.22,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",-68.01154023903408,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
9,bbob.weierstrass,2,10,20,predicted,-260.22,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",-153.83947317618686,,,"[-1.621462360705061, -0.3506538753909732]",-247.40330862988847
